Symbol,Name,Sector,Country,sss_value,sss_value_normalized,annualized_revenue,annualized_earnings,annualized_retained_earnings,quarterized_revenue,quarterized_earnings,quarterized_retained_earnings,effective_earnings,effective_retained_earnings,effective_revenue,annualized_total_revenue,annualized_net_income,quarterized_total_revenue,quarterized_net_income,effective_net_income,effective_total_revenue,enterprise_value_to_revenue,evr_effective,evr_effective_normalized,trailing_price_to_earnings,forward_price_to_earnings,effective_price_to_earnings,trailing_12months_price_to_sales,trailing_12months_price_to_sales_normalized,pe_effective,pe_effective_normalized,enterprise_value_to_ebitda,effective_ev_to_ebitda,effective_ev_to_ebitda_normalized,ebitda,quarterized_ebitd,annualized_ebitd,ebitd,profit_margin,annualized_profit_margin,annualized_profit_margin_boost,quarterized_profit_margin,quarterized_profit_margin_boost,effective_profit_margin,effective_profit_margin_normalized,held_percent_institutions,held_percent_insiders,held_percent_insiders_normalized,forward_eps,trailing_eps,previous_close,trailing_eps_percentage,price_to_book,price_to_book_normalized,shares_outstanding,net_income_to_common_shareholders,nitcsh_to_shares_outstanding,employees,enterprise_value,market_cap,nitcsh_to_num_employees,eqg,rqg,eqg_yoy,rqg_yoy,niqg_yoy,trqg_yoy,eqg_effective,eqg_factor_effective,eqg_factor_effective_normalized,rqg_effective,rqg_factor_effective,rqg_factor_effective_normalized,price_to_earnings_to_growth_ratio,effective_peg_ratio,effective_peg_ratio_normalized,annualized_cash_flow_from_operating_activities,quarterized_cash_flow_from_operating_activities,annualized_ev_to_cfo_ratio,quarterized_ev_to_cfo_ratio,ev_to_cfo_ratio_effective,ev_to_cfo_ratio_effective_normalized,annualized_debt_to_equity,quarterized_debt_to_equity,debt_to_equity_effective,debt_to_equity_effective_used,debt_to_equity_effective_used_normalized,financial_currency,summary_currency,financial_currency_conversion_rate_mult_to_usd,summary_currency_conversion_rate_mult_to_usd,last_dividend_0,last_dividend_1,last_dividend_2,last_dividend_3,fifty_two_week_change,fifty_two_week_low,fifty_two_week_high,two_hundred_day_average,previous_close_percentage_from_200d_ma,previous_close_percentage_from_52w_low,previous_close_percentage_from_52w_high,dist_from_low_factor,eff_dist_from_low_factor,eff_dist_from_low_factor_normalized,annualized_total_ratio,quarterized_total_ratio,annualized_other_current_ratio,quarterized_other_current_ratio,annualized_other_ratio,quarterized_other_ratio,annualized_total_current_ratio,quarterized_total_current_ratio,total_ratio_effective,other_current_ratio_effective,other_ratio_effective,total_current_ratio_effective,effective_current_ratio,effective_current_ratio_normalized,annualized_total_assets,quarterized_total_assets,effective_total_assets,annualized_total_stockholder_equity,quarterized_total_stockholder_equity,effective_total_stockholder_equity,calculated_roa,calculated_roa_normalized,calculated_roe,calculated_roe_normalized,annualized_working_capital,quarterized_working_capital,effective_working_capital,annualized_total_liabilities,quarterized_total_liabilities,effective_total_liabilities,altman_z_score_factor,altman_z_score_factor_normalized,skip_reason
SWX:LOGN,LOGITECH N,Technology,Switzerland,161932.0176083,-4.034751957290808,4137676200.0,673375733.3333334,2043288533.3333333,5772443000.0,1062025000.0,9315136000.0,1062025000.0,9315136000.0,5772443000.0,4137676200.0,673375733.3333334,5772443000.0,1062025000.0,1062025000.0,5772443000.0,2.4926484,2.4926484,0.10382906154492454,15.349651,15.349651,15.349651,2.5659604,0.11635828147502676,15.349651,0.03975173208346447,10.6182727,10.6183595,0.000106183595,1354908169.998985,1354886000.0,822265600.0,1354886000.0,0.18398,5.9009245,34.8046875,0.3997173,2.5,3.5224446,1.0,0.72609,0.0067,0.011586283224099471,0.0,5.72,89.34,0.0640251,6.243334,0.23418903471791427,168700000,1062025024,6.2953469,9000,14387019781,15962283423,118002.7804444,1.592,0.657,0.8789094,0.468665,0.8789094,0.468665,1.4137274,12.1400267,0.3384487066473182,0.6099162,8.0597134,0.6190048496530446,10.8575751,10.8575751,0.0019101082560615248,955048466.6666666,1224821000.0,15.0641777,11.7462223,11.7462223,7.74910897975604e-05,0.7400245,0.7494425,0.7494425,0.8667035,0.20615689468220116,USD,CHF,1.0,1.077669,0.7941,0.729993,0.667796,0.609,0.3396399,64.38,124.9,102.41839,-12.7695719,38.7698043,-28.4707766,0.8248513,0.8258513,0.01455426477749664,2.3818536,2.3459368,0.3589618,0.3534853,1.450793,1.4156327,1.9167135,1.998845,2.3559368,0.3634853,1.4256327,2.008845,2.1823909,0.29704191621363185,3225621666.6666665,3950347800.0,3950347800.0,1830307933.3333333,2262438733.333333,2262438733.333333,0.3688434,0.9583514345518831,0.569416,0.7643350404882157,1098912933.3333333,1475358200.0,1475358200.0,1395313733.3333333,1687909066.6666667,1687909066.6666667,3.4665038,0.7629167787345033,None
SWX:CLN,CLARIANT N,Basic Materials,Switzerland,822994.9312313,-2.250576219684183,4573699080.6,506863653.0,2072932243.8,4255714881.0,887999256.0,9522283284.0,887999256.0,9522283284.0,4255714881.0,4573699080.6,506863653.0,4255714881.0,887999256.0,887999256.0,4255714881.0,2.0109304,2.0109304,0.08376352487745953,7.2371054,7.2371054,7.2371054,1.5104907,0.06849603058410808,7.2371054,0.018742281171121998,12.447077,12.7595573,0.000127595573,607502353.5930736,577000000.0,625800000.0,577000000.0,0.20866,0.3809932,2.5,0.316972,2.5,0.3480824,0.09881841718674582,0.5635,0.03597,0.06220277724938179,0.0,2.501,18.825,0.1328552,2.6182554,0.09821142113668217,329553984,106000000,0.3216468,13057,7941293684,6428217441,8118.2507467,0.88,0.046,42.4965648,-0.1145393,42.4965648,-0.1145393,11.2841412,33.8418758,0.9434690201323177,0.0058652,1.0158441,0.07801920405649071,0.6413519,0.6413519,0.00011282920430647037,465265629.6,317912355.0,17.0683007,24.9795063,24.9795063,0.0001647924853075551,2.0136027,2.1244154,2.1244154,1.4585375,0.34693244203760687,CHF,CHF,1.077669,1.077669,0.7,0.615,3.0,0.36,-0.0189702,15.115,20.7,19.296818,-2.445056,24.5451538,-9.057971,1.3285586,5.4990082,0.09691093463971685,1.5296745,1.5001171,1.2360645,1.4517942,0.2704782,0.2756742,1.5371725,1.3974733,1.5101171,1.4617942,0.2856742,1.4074733,1.4587952,0.19855440268342775,8015773866.6,7798228417.8,7798228417.8,2609108493.6,2447170765.2,2447170765.2,0.2138719,0.5556950244340467,0.4628677,0.621313770986743,1211733333.3333333,964800000.0,964800000.0,5240057745.6,5199537391.2,5199537391.2,1.8446059,0.4059654546643391,None
SWX:UHR,SWATCH GROUP I,Consumer Cyclical,Switzerland,3526564968.0218434,-2.0902525429435443,7376356926.6,354553101.0,15121492185.0,7317372510.0,559310211.0,59465775420.0,559310211.0,59465775420.0,7317372510.0,7376356926.6,354553101.0,7317372510.0,559310211.0,559310211.0,7317372510.0,1.836348,1.836348,0.07649144962037129,25.976622,25.976622,25.976622,1.967235,0.08920795654427258,25.976622,0.06727291181913053,10.1106906,10.1108228,0.00010110822799999999,1233032260.0724792,1233000000.0,976866666.6666666,1233000000.0,0.07643,0.0155783,1.0,0.1945099,2.5,0.1452111,0.041224523446018145,0.33218,0.02598,0.044927110173448394,0.0,10.009,251.4,0.039813,1.2140512,0.04553936704749826,28896000,519000000,17.9609635,31545,12467133801,14394991704,16452.6866381,-0.5884847,0.544,-0.5884847,-0.1826978,-0.5884847,-0.1826978,-0.5884847,0.1911515,0.0053290638931374704,0.3623255,6.2693484,0.48150062802041527,-44.1415448,2265.4395189,0.3985452266094792,1048787470.8,1411746390.0,11.887188,8.831001,8.831001,5.825906185117455e-05,0.1874635,0.1746649,0.1746649,0.4189293,0.0996478767876076,CHF,CHF,1.077669,1.077669,3.5,5.5,8.0,7.5,0.233982,190.85,333.9,292.11328,-13.9374971,31.7264868,-24.7079964,0.8465571,0.8475571,0.014936793642447736,6.394037,6.7578675,0.1170652,0.0891089,0.8830738,0.8978423,7.2106337,7.9162937,6.7678675,0.0991089,0.9078423,7.9262937,7.3470806,1.0,14278755027.0,14070261997.8,14070261997.8,11952570568.2,11920958944.2,11920958944.2,0.1397512,0.36311009767382885,0.1469182,0.19721034945532925,8059133333.333333,8209200000.0,8209200000.0,2242701033.6,2082056508.0,2082056508.0,3.4021413,0.7487517196420252,None
SWX:ADEN,ADECCO N,Industrials,Switzerland,60209.927007,-1.9118304222486098,25255534666.666668,300625600.0,3930986000.0,24119550000.0,586644000.0,14650786000.0,586644000.0,14650786000.0,24119550000.0,25255534666.666668,300625600.0,24119550000.0,586644000.0,586644000.0,24119550000.0,0.46232,0.46232,0.019257530156860273,14.421871,14.421871,14.421871,0.3844909,0.017435460175763574,14.421871,0.037349015435874454,9.6699239,9.3577831,9.3577831e-05,1045503251.5323749,1113000000.0,924666666.6666666,1113000000.0,0.02432,0.0033641,1.0,0.0653092,2.5,0.0547487,0.015542813647090432,0.48923,0.04328,0.07484393103567538,0.0,3.347,48.1,0.0695842,2.4853258,0.09322519827731915,163092000,498000000,3.0534913,31000,9457248494,8483896474,16064.516129,5.905,0.259,-0.4634442,-0.0983164,-0.4634442,-0.0983164,4.312889,21.0174961,0.5859414108216132,0.1696709,4.3691126,0.33555807183915787,3.3439004,3.3439004,0.0005882723999290997,900855866.6666666,630230000.0,10.4980706,15.0060272,15.0060272,9.899637275380307e-05,1.88672,2.0417111,2.0417111,1.4298846,0.3401169706709404,EUR,CHF,1.178,1.077669,2.5,2.5,2.5,2.5,-0.0002071,43.86,67.04,59.85028,-19.6327904,9.6671227,-28.25179,0.3658326,0.3668326,0.006464818532606917,1.5359636,1.4922276,2.6553081,4.4410256,2.2741081,2.2818782,1.2884048,1.2866099,1.5022276,4.4510256,2.2918782,1.2966099,1.3994188,0.19047277091257173,11775759200.0,11531049333.333334,11531049333.333334,4096926933.3333335,3791746400.0,3791746400.0,0.1508752,0.39201315343666787,0.254716,0.34190884023806206,1284600000.0,1271266666.6666667,1271266666.6666667,7668780000.0,7728151200.0,7728151200.0,2.2272525,0.4901792701708186,None
SWX:SCMN,SWISSCOM N,Communication Services,Switzerland,253193557.3137996,-1.843204654075462,12192172309.2,1692084019.2,11435433137.4,12112999560.0,1979677953.0,48391648776.0,1979677953.0,48391648776.0,12112999560.0,12192172309.2,1692084019.2,12112999560.0,1979677953.0,1979677953.0,12112999560.0,3.5132009,3.5132009,0.14633927210343195,15.108704,15.108704,15.108704,2.4693468,0.11197715678459286,15.108704,0.03912774000766323,10.5762436,10.3891622,0.000103891622,3871051249.2357855,4008000000.0,3855466666.6666665,4008000000.0,0.16343,0.3474553,2.5,0.4145,2.5,0.3694773,0.10489229553816119,0.18875,0.50952,0.8811108997527107,0.0,35.463,531.2,0.0667602,2.7595372,0.1035109371268902,51801900,1836999936,35.4620185,19110,39492777524,29911195063,96127.6784929,0.187,0.027,-0.0253124,-0.0233414,-0.0253124,-0.0233414,0.1339219,3.9095342,0.10899290638161922,0.0144147,1.4506105,0.11141028097322021,112.81727,112.81727,0.01984726763283656,4311178912.2,4256792550.0,9.1605517,9.2775904,9.2775904,6.1205260076798e-05,1.6508006,1.4703325,1.4703325,1.2135727,0.28866432326983166,CHF,CHF,1.077669,1.077669,22.0,22.0,22.0,22.0,480.4273317,456.3,562.4,516.3986,2.8662742,16.4146395,-5.5476529,1.4118756,7.9209738,0.13959407702187274,1.608127,1.6829825,0.2881614,0.230177,0.2409467,0.1087263,0.8476127,0.9267088,1.6929825,0.240177,0.1187263,0.9367088,1.3148457,0.17896165451077262,25742926004.4,26557284545.4,26557284545.4,9735661746.0,10770080296.8,10770080296.8,0.1745437,0.45351009476377646,0.2838127,0.38096574656414606,-693133333.3333334,-311400000.0,-311400000.0,16008772995.0,15785839201.2,15785839201.2,2.147316,0.4725866464202516,None
SWX:CFR,RICHEMONT N,Consumer Cyclical,Switzerland,850150925.3443393,-1.795121843057032,15792660666.666666,1643624133.3333333,16935006533.333334,15483632000.0,1532578000.0,66745480000.0,1532578000.0,66745480000.0,15483632000.0,15792660666.666666,1643624133.3333333,15483632000.0,1532578000.0,1532578000.0,15483632000.0,4.6824718,4.6824718,0.195044215904888,39.712574,39.712574,39.712574,4.281083,0.19413372892736458,39.712574,0.10284556971313268,28.3340733,26.4582388,0.000264582388,2503513770.272326,2835000000.0,2787200000.0,2835000000.0,0.09898,0.2438276,2.5,0.3124515,2.5,0.2723488,0.07731812162496467,0.42183,0.00551,0.009528420979819117,0.0,2.505,97.98,0.0255664,3.1973772,0.1199344260770075,513447008,1300999936,2.5338544,34760,61542387647,60641039504,37428.0764097,16.844,0.121,0.2182947,-0.0002173,0.2182947,-0.0002173,12.6875737,35.8696206,1.0,0.0906957,3.2615723,0.2504963850444155,3.1300369,3.1300369,0.0005506486733365742,3271698666.6666665,3790804000.0,18.8105305,16.234653,16.234653,0.00010710174908363803,0.8665176,0.9826006,0.9826006,0.9922621,0.23602266893676993,EUR,CHF,1.178,1.077669,1.0,2.0,1.9,1.8,0.6196679,56.2,119.0,103.12902,-4.9927945,74.341637,-17.6638655,1.3305732,5.54923,0.09779601089352004,2.1895655,2.024254,0.0718537,0.0835105,2.8260573,2.9271156,2.7228894,2.6600269,2.034254,0.0935105,2.9371156,2.6700269,2.3521405,0.32014627687628744,38202225866.66666,41045054000.0,41045054000.0,20361258800.0,20635497200.0,20635497200.0,0.1373389,0.35684231257703847,0.174269,0.2339237098550811,12232200000.0,12995400000.0,12995400000.0,17718847733.333332,20277149600.0,20277149600.0,2.242639,0.4935655693625282,None
SWX:KNIN,KUEHNE+NAGEL INT N,Industrials,Switzerland,759007625.2874473,-1.686921986779108,22097531000.4,845826475.8,3346593312.6,25699172643.0,1331998884.0,14264026884.0,1331998884.0,14264026884.0,25699172643.0,22097531000.4,845826475.8,25699172643.0,1331998884.0,1331998884.0,25699172643.0,1.9915323,1.9915323,0.08295551420144338,34.538036,34.538036,34.538036,1.793943,0.08134970615452754,34.538036,0.08944481889269344,25.1215421,23.6756032,0.000236756032,2136998458.2386,2383000000.0,1644666666.6666667,2383000000.0,0.05183,0.0961038,2.5,0.3438812,6.25,0.241366,0.06852229840605584,0.21781,0.57827,1.0,0.0,10.293,360.8,0.0285283,15.69883,0.5888670770938467,120338000,1236000000,10.2710698,69445,47504758570,46102852247,17798.2576139,1.582,0.479,0.0096254,0.0018622,0.0096254,0.0018622,1.1889064,11.1536983,0.31095110886118493,0.3597155,6.247629,0.4798325272748534,29.0502576,29.0502576,0.005110638091047978,1635614163.6,2072357487.0,29.0439883,22.9230521,22.9230521,0.00015122583613246072,2.9788064,3.0107095,3.0107095,1.7361396,0.4129637744289701,CHF,CHF,1.077669,1.077669,4.5,4.0,4.0,6.0,1.04193,173.25,364.6,300.2028,20.1854213,108.2539683,-1.0422381,1.9602822,56.7429075,1.0,1.3415804,1.3344712,0.5377943,0.4520903,0.3673146,0.3611097,1.1010183,1.0765371,1.3444712,0.4620903,0.3711097,1.0865371,1.2155042,0.1654404335784747,10153150716.6,11599526203.8,11599526203.8,2548830874.2,2896127670.6,2896127670.6,0.2148322,0.5581901345067772,0.5599241,0.7515939307006262,522266666.6666667,425333333.3333333,425333333.3333333,7597853828.4,8696357762.4,8696357762.4,2.7874597,0.6134710641817974,None
SWX:ROG,ROCHE GS,Healthcare,Switzerland,195123268064500.44,-1.5446088549037102,65557335364.8,14223865752.6,45247729080.0,66921089562.0,15107841711.0,198845017866.0,15107841711.0,198845017866.0,66921089562.0,65557335364.8,14223865752.6,66921089562.0,15107841711.0,15107841711.0,66921089562.0,5.2891995,5.2891995,0.22031692091386978,21.11193,21.11193,21.11193,4.818419,0.21850023650661832,21.11193,0.054674584140372705,14.0765125,14.0220529,0.000140220529,23514056486.296127,23696000000.0,24102400000.0,23696000000.0,0.22576,3.5322505,15.46875,0.5893899,2.5,2.2290774,0.6328211379108701,0.37467,1.23e-05,2.127034084424231e-05,0.0,16.242,345.15,0.0470578,7.7465267,0.290574172435681,694260992,14019000320,20.1926948,101465,328434779396,322453842111,138165.8731582,-0.034,0.058,0.146231,-0.0005065,0.146231,-0.0005065,0.0110578,1.3015589,0.03628582845952935,0.0433734,2.3326273,0.17915123522048407,1909.2408755,1909.2408755,0.33588132944184595,21269593830.0,21247322004.0,15.4415163,15.4577024,15.4577024,0.00010197612254812895,1.4176178,1.2379558,1.2379558,1.1136346,0.26489272392075863,CHF,CHF,1.077669,1.077669,9.1,9.0,8.7,8.3,0.014497,290.55,374.7,331.44232,4.1357664,18.7919463,-7.886309,1.2976827,4.7754149,0.08415879817226497,1.7846942,1.8850964,0.0547893,0.1558424,0.7045492,0.9901537,1.3188575,1.2520323,1.8950964,0.1658424,1.0001537,1.2620323,1.5785644,0.2148560068879604,90177761338.8,94336126786.8,94336126786.8,36166643484.6,40433494278.6,40433494278.6,0.2601491,0.675935270042466,0.4736467,0.6357825730601347,7780133333.333333,6361800000.0,6361800000.0,50563295500.2,50042853217.8,50042853217.8,2.9034409,0.6389964951643806,None
SWX:NOVN,NOVARTIS N,Healthcare,Switzerland,108608746.8664177,-1.4331759026079154,48632933333.333336,9628600000.0,62425133333.333336,51556000000.0,8984000000.0,221008000000.0,8984000000.0,221008000000.0,51556000000.0,48632933333.333336,9628600000.0,51556000000.0,8984000000.0,8984000000.0,51556000000.0,4.2611032,4.2611032,0.1774924800473564,21.15847,21.15847,21.15847,3.359709,0.15235229877132192,21.15847,0.05479511102474059,11.5224369,11.684118,0.00011684118,18543396146.651703,18023000000.0,16497133333.333334,18023000000.0,0.17426,1.0244967,5.625,0.8362942,4.375,0.8592622,0.2439391665663102,0.33594,0.0365,0.06311930413128815,0.0,3.66,77.89,0.0469893,3.2051656,0.12022657092749875,2236740096,8984000512,4.0165599,109000,219661344689,186666447889,82422.0230459,0.551,0.144,-0.1071595,0.0391817,-0.1071595,0.0391817,0.3864601,6.4665916,0.18028045716212568,0.1177954,3.6821339,0.28279650008049656,54.7494276,54.7494276,0.009631739381052285,13657666666.666666,13423000000.0,16.0833728,16.3645493,16.3645493,0.00010795868892272747,1.1787329,1.334845,1.334845,1.1563549,0.2750543125008117,USD,CHF,1.0,1.077669,3.0,2.95,2.85,2.8,-0.0507478,70.42,86.92,81.90343,-4.9001977,10.6077819,-10.3888633,0.9054545,0.9064545,0.015974763013333428,1.8776581,1.7512679,0.0570669,0.1572359,1.1766289,0.8061047,0.9975838,0.8051085,1.7612679,0.1672359,0.8161047,0.8151085,1.2881882,0.175333342606858,130277133333.33331,124861600000.0,124861600000.0,60405066666.66666,53473866666.66666,53473866666.66666,0.1719517,0.44677540215884315,0.2680073,0.35974993764951696,-360733333.3333333,-5872333333.333333,-5872333333.333333,69800933333.33333,71310533333.33333,71310533333.33333,2.2125062,0.48693386778751446,None
SWX:ABBN,ABB LTD N,Industrials,Switzerland,41322912088.188576,-1.3198774287390773,26766933333.33333,3565533333.333333,21426666666.666668,28114000000.0,5705000000.0,86738000000.0,5705000000.0,86738000000.0,28114000000.0,26766933333.33333,3565533333.333333,28114000000.0,5705000000.0,5705000000.0,28114000000.0,2.6963278,2.6963278,0.11231314656791988,12.965138,12.965138,12.965138,2.3617628,0.10709855875392596,12.965138,0.033576443672963266,20.938031,21.1458475,0.00021145847499999998,3550479223.428895,3480000000.0,3027400000.0,3480000000.0,0.20292,0.4066798,2.5,0.1176559,1.0,0.3171736,0.09004360210519706,0.58284,0.00043,0.0007435972815466824,0.0,2.553,33.76,0.075622,4.7660184,0.1787745535548504,2006000000,886000000,0.441675,106370,75815740213,71555709759,8329.4161888,1.357,0.21,1.3729628,-0.0204165,1.3729628,-0.0204165,1.3609907,11.9161506,0.3322073219809858,0.1523959,4.1537913,0.31902089212584467,9.5262503,9.5262503,0.0016758962456855193,2166066666.6666665,2796000000.0,35.0015728,27.1157869,27.1157869,0.00017888575781503915,1.8987658,1.7942329,1.7942329,1.3404898,0.3188532347234838,USD,CHF,1.0,1.077669,0.8,0.8,0.8,0.8,0.4441536,21.85,34.79,31.34014,7.7212801,54.5080092,-2.9606209,1.8408037,38.9085355,0.6856986575811259,1.557337,1.5724823,0.5067775,0.1170228,0.550537,0.4834247,1.2609285,1.1754279,1.5824823,0.1270228,0.4934247,1.1854279,1.3839551,0.18836803015336462,43031733333.333336,40179400000.0,40179400000.0,14820466666.666666,14288933333.333334,14288933333.333334,0.2419882,0.6287485111964264,0.49926,0.6701636629707394,4516666666.666667,2777133333.333333,2777133333.333333,27809800000.0,25553266666.666668,25553266666.666668,2.4034745,0.5289626462577427,None
