pb,pi,ev,pe,evr / pm,0.01247,13.05477,23.86626,42.13787,71.20356,124.3713,227.54929,529.92601
3366.906500,0.000010,3.000000,19183.130667,9189326.337182,3288.000000,2537.000000,2181.000000,1828.000000,1458.000000,1097.000000,728.000000,359.000000
3366.906500,0.000010,3.000000,19183.130667,10.517000,2564.000000,1893.000000,1561.000000,1242.000000,932.000000,657.000000,421.000000,190.000000
3366.906500,0.000010,3.000000,19183.130667,5.674250,2185.000000,1568.000000,1264.000000,980.000000,722.000000,513.000000,324.000000,144.000000
3366.906500,0.000010,3.000000,19183.130667,3.686000,1789.000000,1229.000000,961.000000,736.000000,541.000000,386.000000,246.000000,105.000000
3366.906500,0.000010,3.000000,19183.130667,2.471750,1368.000000,886.000000,668.000000,494.000000,353.000000,249.000000,161.000000,58.000000
3366.906500,0.000010,3.000000,19183.130667,1.566250,928.000000,545.000000,392.000000,280.000000,202.000000,144.000000,94.000000,34.000000
3366.906500,0.000010,3.000000,19183.130667,0.869125,455.000000,243.000000,172.000000,127.000000,96.000000,63.000000,40.000000,18.000000
3366.906500,0.000010,3.000000,39.541631,9189326.337182,2380.000000,2011.000000,1735.000000,1459.000000,1164.000000,887.000000,583.000000,300.000000
3366.906500,0.000010,3.000000,39.541631,10.517000,1980.000000,1625.000000,1356.000000,1091.000000,827.000000,595.000000,385.000000,176.000000
3366.906500,0.000010,3.000000,39.541631,5.674250,1746.000000,1408.000000,1152.000000,902.000000,668.000000,479.000000,307.000000,136.000000
3366.906500,0.000010,3.000000,39.541631,3.686000,1444.000000,1125.000000,891.000000,685.000000,506.000000,367.000000,235.000000,98.000000
3366.906500,0.000010,3.000000,39.541631,2.471750,1115.000000,824.000000,623.000000,462.000000,330.000000,237.000000,154.000000,53.000000
3366.906500,0.000010,3.000000,39.541631,1.566250,763.000000,514.000000,368.000000,261.000000,189.000000,138.000000,91.000000,31.000000
3366.906500,0.000010,3.000000,39.541631,0.869125,374.000000,229.000000,160.000000,117.000000,88.000000,59.000000,37.000000,15.000000
3366.906500,0.000010,3.000000,25.399810,9189326.337182,1910.000000,1632.000000,1426.000000,1208.000000,982.000000,758.000000,506.000000,268.000000
3366.906500,0.000010,3.000000,25.399810,10.517000,1617.000000,1351.000000,1148.000000,938.000000,729.000000,531.000000,345.000000,157.000000
3366.906500,0.000010,3.000000,25.399810,5.674250,1457.000000,1205.000000,1003.000000,800.000000,605.000000,445.000000,288.000000,128.000000
3366.906500,0.000010,3.000000,25.399810,3.686000,1234.000000,990.000000,800.000000,625.000000,471.000000,345.000000,222.000000,95.000000
3366.906500,0.000010,3.000000,25.399810,2.471750,969.000000,740.000000,570.000000,427.000000,307.000000,223.000000,146.000000,51.000000
3366.906500,0.000010,3.000000,25.399810,1.566250,682.000000,479.000000,350.000000,249.000000,182.000000,135.000000,89.000000,29.000000
3366.906500,0.000010,3.000000,25.399810,0.869125,351.000000,220.000000,155.000000,113.000000,86.000000,58.000000,37.000000,15.000000
3366.906500,0.000010,3.000000,18.249600,9189326.337182,1432.000000,1229.000000,1067.000000,919.000000,753.000000,591.000000,397.000000,216.000000
3366.906500,0.000010,3.000000,18.249600,10.517000,1208.000000,1016.000000,856.000000,714.000000,562.000000,414.000000,270.000000,121.000000
3366.906500,0.000010,3.000000,18.249600,5.674250,1096.000000,911.000000,752.000000,613.000000,470.000000,348.000000,226.000000,99.000000
3366.906500,0.000010,3.000000,18.249600,3.686000,950.000000,769.000000,620.000000,497.000000,380.000000,279.000000,182.000000,79.000000
3366.906500,0.000010,3.000000,18.249600,2.471750,767.000000,596.000000,462.000000,355.000000,257.000000,188.000000,121.000000,41.000000
3366.906500,0.000010,3.000000,18.249600,1.566250,554.000000,399.000000,293.000000,215.000000,158.000000,118.000000,77.000000,23.000000
3366.906500,0.000010,3.000000,18.249600,0.869125,299.000000,188.000000,133.000000,96.000000,74.000000,50.000000,32.000000,12.000000
3366.906500,0.000010,3.000000,13.611625,9189326.337182,948.000000,804.000000,689.000000,595.000000,484.000000,380.000000,260.000000,146.000000
3366.906500,0.000010,3.000000,13.611625,10.517000,765.000000,629.000000,516.000000,426.000000,326.000000,232.000000,156.000000,68.000000
3366.906500,0.000010,3.000000,13.611625,5.674250,690.000000,560.000000,448.000000,359.000000,265.000000,187.000000,127.000000,55.000000
3366.906500,0.000010,3.000000,13.611625,3.686000,623.000000,494.000000,387.000000,306.000000,226.000000,159.000000,109.000000,48.000000
3366.906500,0.000010,3.000000,13.611625,2.471750,536.000000,414.000000,315.000000,244.000000,172.000000,119.000000,80.000000,27.000000
3366.906500,0.000010,3.000000,13.611625,1.566250,397.000000,287.000000,208.000000,153.000000,114.000000,79.000000,53.000000,18.000000
