Symbol,Name,Sector,Country,sss_value,sss_value_normalized,annualized_revenue,annualized_earnings,annualized_retained_earnings,quarterized_revenue,quarterized_earnings,quarterized_retained_earnings,effective_earnings,effective_retained_earnings,effective_revenue,annualized_total_revenue,annualized_net_income,quarterized_total_revenue,quarterized_net_income,effective_net_income,effective_total_revenue,enterprise_value_to_revenue,evr_effective,evr_effective_normalized,trailing_price_to_earnings,forward_price_to_earnings,effective_price_to_earnings,trailing_12months_price_to_sales,trailing_12months_price_to_sales_normalized,pe_effective,pe_effective_normalized,enterprise_value_to_ebitda,effective_ev_to_ebitda,effective_ev_to_ebitda_normalized,ebitda,quarterized_ebitd,annualized_ebitd,ebitd,profit_margin,annualized_profit_margin,annualized_profit_margin_boost,quarterized_profit_margin,quarterized_profit_margin_boost,effective_profit_margin,effective_profit_margin_normalized,held_percent_institutions,held_percent_insiders,held_percent_insiders_normalized,forward_eps,trailing_eps,previous_close,trailing_eps_percentage,price_to_book,price_to_book_normalized,shares_outstanding,net_income_to_common_shareholders,nitcsh_to_shares_outstanding,employees,enterprise_value,market_cap,nitcsh_to_num_employees,eqg,rqg,eqg_yoy,rqg_yoy,niqg_yoy,trqg_yoy,eqg_effective,eqg_factor_effective,eqg_factor_effective_normalized,rqg_effective,rqg_factor_effective,rqg_factor_effective_normalized,price_to_earnings_to_growth_ratio,effective_peg_ratio,effective_peg_ratio_normalized,annualized_cash_flow_from_operating_activities,quarterized_cash_flow_from_operating_activities,annualized_ev_to_cfo_ratio,quarterized_ev_to_cfo_ratio,ev_to_cfo_ratio_effective,ev_to_cfo_ratio_effective_normalized,annualized_debt_to_equity,quarterized_debt_to_equity,debt_to_equity_effective,debt_to_equity_effective_used,debt_to_equity_effective_used_normalized,financial_currency,summary_currency,financial_currency_conversion_rate_mult_to_usd,summary_currency_conversion_rate_mult_to_usd,last_dividend_0,last_dividend_1,last_dividend_2,last_dividend_3,fifty_two_week_change,fifty_two_week_low,fifty_two_week_high,two_hundred_day_average,previous_close_percentage_from_200d_ma,previous_close_percentage_from_52w_low,previous_close_percentage_from_52w_high,dist_from_low_factor,eff_dist_from_low_factor,eff_dist_from_low_factor_normalized,annualized_total_ratio,quarterized_total_ratio,annualized_other_current_ratio,quarterized_other_current_ratio,annualized_other_ratio,quarterized_other_ratio,annualized_total_current_ratio,quarterized_total_current_ratio,total_ratio_effective,other_current_ratio_effective,other_ratio_effective,total_current_ratio_effective,effective_current_ratio,effective_current_ratio_normalized,annualized_total_assets,quarterized_total_assets,effective_total_assets,annualized_total_stockholder_equity,quarterized_total_stockholder_equity,effective_total_stockholder_equity,calculated_roa,calculated_roa_normalized,calculated_roe,calculated_roe_normalized,annualized_working_capital,quarterized_working_capital,effective_working_capital,annualized_total_liabilities,quarterized_total_liabilities,effective_total_liabilities,altman_z_score_factor,altman_z_score_factor_normalized,skip_reason
TLV:XENA,XENIA VENTURE,Financial Services,Israel,6.5085205,-3.322524602733562,39834066.6666667,30590533.3333333,2463533.3333333,72390000.0,62165000.0,161824000.0,62165000.0,161824000.0,72390000.0,39834066.6666667,30590533.3333333,72390000.0,62165000.0,62165000.0,72390000.0,0.6292078,0.6292078,0.00016473977331575972,0.7395659,0.7395659,0.7395659,0.642147,7.736025871689096e-05,0.7395659,2.3977537482257683e-05,0.6457016,0.9685525,9.685525e-06,35270111.6367077,0.0,762428.5714286,0.0,0.85875,0.0,0.0,0.0,0.0,0.5007143,0.004870716149960341,0.0462,0.71661,0.779008587889988,0.0,1.239,290.1,0.0042709,0.3871238,3.8712380000000004e-05,50730000,62165000,1.225409,1,45547937,4648502111,62165000.0,0.3738957,1425.7188003,0.3738957,1425.7188003,0.3738957,1425.7188003,0.3738957,6.3647015,0.038632407840454394,1425.7188003,377.8369172,1.0,1.9780002,1.9780002,5.268427668500953e-06,-1397200.0,-1361000.0,306.7537338,334665.2302682,334665.2302682,0.0001740336404338678,0.0749346,0.0884855,0.0884855,0.2984652,5.437243905850085e-06,USD,ILS,1.0,0.3054407,0.0,0.0,0.0,0.0,290.1,170.4296,335.0,296.481,-2.1522458,70.2169107,-13.4029851,1.4543369,9.4621555,0.06391798342900484,14.6978228,12.4256798,0.6504065,0.1626016,0.0826999,0.07577,4.5120618,1.3083078,12.4356798,0.1726016,0.08577,1.3183078,6.8769938,0.010203779225058874,98557200.0,134583600.0,134583600.0,91430866.6666667,123559400.0,123559400.0,0.5619062,0.7270804928358323,0.6031183,0.4927813924332776,2949333.3333333,699600.0,699600.0,7126333.3333333,11024200.0,11024200.0,16.002824,0.334364424574519,None
TLV:CDEV,COHEN DEV&IND BLDG,Energy,Israel,8508623.2622729,-3.0297703818685178,11127800.0,6299600.0,11512600.0,13864000.0,13093000.0,36113000.0,13093000.0,36113000.0,13864000.0,11127800.0,6299600.0,13864000.0,13093000.0,13093000.0,13864000.0,8.990647,8.990647,0.002353939586797899,9.5373553,9.5373553,9.5373553,8.8077726,0.0010610834700707835,9.5373553,0.00030921151744200075,9.7808221,10.5007985,0.000105007985,11108401.8175005,9473000.0,10349400.0,9473000.0,0.9443901,1.1653117,2.5,2.498945,2.5,1.9058277,0.018539006689906344,0.4627,0.24634,0.26778997717143166,0.0,1.992,6229.0,0.0003198,7.0130712,0.0007013071199999999,6427430,13093000,2.0370506,10000000,124644876,12211096084,1.3093,-0.2415517,0.127,-0.2415517,0.3384045,-0.2415517,0.3384045,-0.2415517,0.2258448,0.001370830732948883,0.1798511,4.4908858,0.011885778216909504,-39.4836999,2532.6907138,0.006745852620408911,8039400.0,9579000.0,15.5042511,13.0123057,13.0123057,6.7666991566304634e-09,0.1751469,0.1987538,0.1987538,0.4468181,8.139840059238109e-06,USD,ILS,1.0,0.3054407,83.579,106.373,75.981,113.971,6229.0,5572.0,7400.0,6634.0425,-6.1055156,11.7910983,-15.8243243,0.7188184,0.7198184,0.004862458724451609,7.1680968,6.0558592,1.5495847,0.525,2.0462828,0.5115707,3.7034161,2.6126399,6.0658592,0.535,0.5215707,2.6226399,4.3442496,0.006445805406564468,20658733.3333333,19459733.3333333,19459733.3333333,17731200.0,16253466.6666667,16253466.6666667,0.7728253,1.0,0.9055512,0.7398859912816863,3738666.6666667,5199066.6666667,5199066.6666667,2927533.3333333,3206266.6666667,3206266.6666667,47.8604266,1.0,None
TLV:RMN,RAM-ON INVESTMENTS,Basic Materials,Israel,19.6680829,-3.0082877955248213,926462.73124,18396632.27286,39260838.5101667,1046439.8382,32234378.8338,153421947.2879,32234378.8338,153421947.2879,1046439.8382,926462.73124,18396632.27286,1046439.8382,32234378.8338,32234378.8338,1046439.8382,18.5356689,18.5356689,0.0048530261272062706,0.7327492,0.7327492,0.7327492,22.5397185,0.002715388306051252,0.7327492,2.3756532593098642e-05,604.7973267,604.7973202,0.006047973201999999,104999.9977274,105000.0,413066.6666667,105000.0,32.2627,147.0497125,5.625,49.5375879,2.5,102.8009608,1.0,0.21949,0.19257,0.2093379715186433,0.0,6.336,1530.0,0.0041412,0.4703849,4.703849e-05,16632800,110532000,6.6454235,308,63503716,7722107637,358870.1298701,2.222,0.509,5.8813939,0.006388,5.8813939,0.006388,3.1368485,17.9611504,0.10902042892923425,0.383347,6.4415023,0.017048366654416478,0.2335941,0.2335941,6.22180735693848e-07,5998509.1818733,3678116.9094,10.5865832,17.2652795,17.2652795,8.97834364832354e-09,0.3526728,0.2472391,0.2472391,0.4982314,9.076453949583255e-06,ILS,ILS,0.3054407,0.3054407,39.7278,31.3007,361.163,30.0968,1530.0,693.8,1854.0,1472.8723,3.8786594,120.5246469,-17.4757282,1.4414756,8.9710605,0.06060057841784569,4.6135278,7.0057873,0.0,0.0,18.3041524,6.2352352,1.7002319,1.7015103,7.0157873,0.01,6.2452352,1.7115103,4.3636488,0.00647458908148108,73487627.39278,66191585.7545933,66191585.7545933,55159902.54184,52622606.64694,52622606.64694,0.586986,0.7595325877659543,0.7125576,0.5821994230931385,21519533.3333333,21370066.6666667,21370066.6666667,17582958.6107733,12835799.2513733,12835799.2513733,19.0949652,0.39897189717067844,None
TLV:BRMG,BRIMAG DIGITAL AGE,Consumer Cyclical,Israel,5.66e-05,-2.445728523946215,149592474.3302933,8698767.87158,50471774.6883933,162567147.2866,16871017.0645,212790150.7062,16871017.0645,212790150.7062,162567147.2866,149592474.3302933,8698767.87158,162567147.2866,16871017.0645,16871017.0645,162567147.2866,0.2602355,0.2602355,6.813510143821069e-05,1.8453942,1.8453942,1.8453942,0.191492,2.3069282675485337e-05,1.8453942,5.9829703614026735e-05,2.0006366,1.908023,1.908023e-05,76333714.0458015,83401000.0,52658333.3333333,83401000.0,0.10378,0.3716865,5.625,1.3425573,12.03125,0.8981975,0.008737248105564399,0.12635,0.67767,0.7366778997717143,0.0,5.462,3298.0,0.0016562,0.4247774,4.2477740000000004e-05,10111500,55235000,5.4625921,344,138576950,10191929795,160566.8604651,360.511,0.238,0.8811927,0.0458304,0.8811927,0.0458304,270.6035482,164.7503186,1.0,0.1899576,4.6084124,0.012196829346775117,0.0068195,0.0068195,1.8163821462375105e-08,15664607.7503533,21787696.0124,8.8464999,6.3603306,6.3603306,3.307518644210067e-09,1.1660566,1.0736591,1.0736591,1.0371752,1.8894579788527588e-05,ILS,ILS,0.3054407,0.3054407,395.589,148.346,79.1177,98.8971,3298.0,1399.0,3970.0,3066.0781,7.5641224,135.7398142,-16.9269521,1.4772462,10.3924347,0.07020212983623181,1.8865636,1.9345765,0.2054785,0.1769313,1.1575854,0.801833,1.8011516,1.877262,1.9445765,0.1869313,0.811833,1.887262,1.9159193,0.0028427563145729954,137253627.09782,144513199.1164266,144513199.1164266,63741014.65578,69817248.3144467,69817248.3144467,0.2167438,0.2804563981018737,0.3416454,0.27914340508391816,140049533.3333333,156114466.6666667,156114466.6666667,73512612.44204,74695950.80198,74695950.80198,9.3857946,0.19610762516688476,None
TLV:IDIN,I.D.I. INSURANCE,Financial Services,Israel,7.01e-05,-2.1563373357956337,681379862.5263001,62136697.5603867,104567134.93988,662380229.2235,74324718.1752,516639504.6592,74324718.1752,516639504.6592,662380229.2235,681379862.5263001,62136697.5603867,662380229.2235,74324718.1752,74324718.1752,662380229.2235,0.0717786,0.0717786,1.879314002929174e-05,2.0370088,2.0370088,2.0370088,0.2283936,2.7514864953479667e-05,2.0370088,6.604205906963632e-05,0.3799682,0.3775149,3.775149e-06,414202355.3054662,419551000.0,350845600.0,419551000.0,0.11221,0.2365531,2.5,0.2486491,2.5,0.2357018,0.002292797636965276,0.09093,0.49347,0.5364387433416675,0.0,16.569,11150.0,0.001486,0.5757723,5.7577230000000004e-05,14674900,243336000,16.5817825,1500,155351421,49529543599,162224.0,5.464,0.092,0.0240596,-0.0539569,0.0240596,-0.0539569,4.1040149,20.5083684,0.12448150980389058,0.0555108,2.6060724,0.006897347192308713,0.4963454,0.4963454,1.3220220293674253e-06,40026985.5993333,61186186.4647,3.8811671,2.538995,2.538995,1.3203359743683981e-09,7.2762064,6.3186602,6.3186602,2.5146945,4.581106053636983e-05,ILS,ILS,0.3054407,0.3054407,340.717,749.578,272.574,477.004,11150.0,7780.0,13400.0,11795.178,-5.4698454,43.3161954,-16.7910448,1.1992883,2.9753735,0.020099001128030515,1.1396471,1.1589506,1.1527758,437.2980456,0.821587,0.3112482,0.861513,1219.5140176,1.1689506,437.3080456,0.3212482,1219.5240176,610.3464841,0.9056051169549267,1766776157.39756,1842373015.7255468,1842373015.7255468,217266587.7918333,252526804.7388267,252526804.7388267,0.1403418,0.181595762975151,0.3943241,0.32218485008330705,-491576733.3333333,2207547000.0,2207547000.0,1549509569.6057267,1589846210.98672,1589846210.98672,4.6501691,0.09716104578140139,None
TLV:ASPF,ALTSHULER SHAHM,Financial Services,Israel,77.4806315,-2.083866146166512,763794533.3333334,105057200.0,87898866.6666667,989782000.0,161561000.0,387235000.0,161561000.0,387235000.0,989782000.0,763794533.3333334,105057200.0,989782000.0,161561000.0,161561000.0,989782000.0,1.0925614,1.0925614,0.00028605544522739397,6.8994543,6.8994543,6.8994543,1.0948296,0.00013189550228671977,6.8994543,0.00022368787431299085,3.9349925,3.9184812,3.9184812e-05,277128318.3264768,279454000.0,185233000.0,279454000.0,0.16323,0.0,0.0,0.0,0.0,0.1032743,0.001004604423891727,0.03017,0.71768,0.7801717577997608,0.0,0.819,1831.0,0.0004473,3.6432319,0.00036432319,191772992,161560992,0.8424596,951,1081346324,108364257879,169885.3753943,0.918,0.431,0.7439338,0.3160708,0.7439338,0.3160708,0.8744835,9.601382,0.0582783819879059,0.4022677,6.5924577,0.017447891934049477,7.8897482,7.8897482,2.101444060237486e-05,95549200.0,130737000.0,11.3171677,8.2711576,8.2711576,4.30119276680363e-09,1.574585,1.4798129,1.4798129,1.2174756,2.2179174612722612e-05,USD,ILS,1.0,0.3054407,17.2129,0.0,0.0,0.0,-0.131816,1607.0,2349.0,1961.7007,-6.6626219,13.9390168,-22.051937,0.6037736,0.6047736,0.004085317446230894,1.6358858,1.6785665,0.0230655,0.0043621,16.0586372,6.2586901,0.8929682,9.8434137,1.6885665,0.0143621,6.2686901,9.8534137,5.7709901,0.008562739854498696,630149266.6666666,713311733.3333334,713311733.3333334,245165466.6666667,288280133.3333333,288280133.3333333,0.3264942,0.4224683120493079,0.6604306,0.5396087478584963,-44909200.0,137601333.3333333,137601333.3333333,384983800.0,425031600.0,425031600.0,12.5153758,0.26149737244506716,None
TLV:SPRG,SPRING VENTURES,Financial Services,Israel,3523200.4200136,-2.019193687975707,4254727.86286,1379533.1029067,1250372.4122333,5748393.974,2599300.357,7072173.9678,2599300.357,7072173.9678,5748393.974,4254727.86286,1379533.1029067,5748393.974,2599300.357,2599300.357,5748393.974,1.8146232,1.8146232,0.0004751063394661009,5.655189,5.655189,5.655189,2.5553758,0.0003078493444754585,5.655189,0.00018334742883190173,2.4288644,2.4115141,2.4115141e-05,14263223.8430584,14467000.0,9508200.0,14467000.0,0.45218,0.2963019,1.0,1.1299374,2.5,0.8272016,0.008046632964932366,0.01,0.77936,0.8472225241874117,0.0,1.01,1760.0,0.0005739,0.6508365,6.508365e-05,8419880,8510000,1.0107032,5,34148492,4809217442,1702000.0,-0.131,0.049,1.2863332,1.1409514,1.2863332,1.1409514,0.2233333,4.9758154,0.030202159499799593,0.3219879,5.9243973,0.015679773548607598,25.3217446,25.3217446,6.744477572113217e-05,-1045808.5940867,-1049188.8045,306.2532234,325475.1906841,325475.1906841,0.00016925460783681392,0.0831781,0.0994673,0.0994673,0.3163844,5.763684177606086e-06,ILS,ILS,0.3054407,0.3054407,0.0,0.0,0.0,0.0,1760.0,728.8,2044.0,1207.5468,45.7500446,141.492865,-13.8943249,1.5681265,14.8691656,0.10044297839154397,16.5607022,11.2699107,2.5812438,3.4666667,10.3833095,8.2125533,24.0584187,18.2708695,11.2799107,3.4766667,8.2225533,18.2808695,14.7803901,0.02193048908094782,23103453.0971467,24487547.44784,24487547.44784,21291863.9427333,22265038.73836,22265038.73836,0.2061478,0.2667456668408759,0.2167436,0.1770916468775717,36352800.0,29103000.0,29103000.0,1811589.1544133,2222508.70948,2222508.70948,36.0875149,0.7540157383386132,None
TLV:GLRS,GLOBRANDS GROUP,Consumer Defensive,Israel,28.614706,-1.8765952412333213,495437466.6666667,69362333.3333333,40491200.0,537167000.0,76178000.0,208616000.0,76178000.0,208616000.0,537167000.0,495437466.6666667,69362333.3333333,537167000.0,76178000.0,76178000.0,537167000.0,0.3824118,0.3824118,0.00010012341430807381,2.1124092,2.1124092,2.1124092,0.0028954,3.488124885561812e-07,2.1124092,6.848662272133689e-05,1.8952595,1.8725193,1.8725193e-05,111064784.6897663,113730000.0,103019600.0,113730000.0,0.14181,0.0,0.0,0.0,0.0,0.0910343,0.0008855393888497587,0.04992,0.69952,0.7604304815740841,0.0,62.609,43890.0,0.0014265,2.3008616,0.00023008616000000002,1176000,76178000,64.7772109,199,205445318,155532847,382804.0201005,0.271,0.141,0.0502436,0.0667107,0.0502436,0.0667107,0.2158109,4.8955451,0.02971493555582113,0.1224277,3.7489666,0.009922181844437302,9.788242,9.788242,2.6071102004328973e-05,69500533.3333333,61222000.0,2.9560251,3.3557433,3.3557433,1.7450639326724645e-09,4.1109098,3.4740049,3.4740049,1.8648683,3.3972951618439965e-05,USD,ILS,1.0,0.3054407,0.0,0.0,0.0,0.0,43890.0,43000.0,43890.0,43890.0,0.0,2.0697674,0.0,2.0,64.0,0.4323275959115563,1.2449222,1.2985627,1.4256588,0.8981938,2.3017417,2.6429748,1.1413942,1.2021448,1.3085627,0.9081938,2.6529748,1.2121448,1.2603537,0.001870057073526238,254928933.3333333,296593800.0,296593800.0,49821866.6666667,67779666.6666667,67779666.6666667,0.3568429,0.46173811856314745,1.2239064,1.0,26207000.0,41033400.0,41033400.0,205107066.6666667,228814133.3333333,228814133.3333333,2.1460299,0.04483933914621647,None
TLV:MYDS,MYDAS REAL ESTATE,Financial Services,Israel,18.9958947,-1.8611240328841783,22531600.0,8853133.3333333,-81369066.6666667,35598000.0,20644000.0,-314431000.0,20644000.0,-314431000.0,35598000.0,22531600.0,8853133.3333333,35598000.0,20644000.0,20644000.0,35598000.0,0.558651,0.558651,0.00014626652610254113,0.9468662,0.9468662,0.9468662,0.5933921,7.148669444310918e-05,0.9468662,3.0698440532727244e-05,0.7361121,0.7360834,7.360834e-06,27012894.1908714,27015000.0,15628733.3333333,27015000.0,0.57992,0.0,0.0,0.0,0.0,0.3413829,0.0033208142934010396,0.01,0.70574,0.7671920860963148,0.0,0.3,93.1,0.0032223,0.3114692,3.114692e-05,74363104,20644000,0.2776108,10000000,19882967,2112357273,2.0644,1.0593819,0.938,1.0593819,2.0032551,1.0593819,2.0032551,1.0593819,10.542628,0.06399154848129077,1.2043138,11.2241231,0.029706263705456676,0.8937911,0.8937911,2.380623500998585e-06,-11075333.3333333,-14627000.0,5570.2616635,13593.3327457,13593.3327457,7.068846624632054e-06,1.7627216,0.5815072,0.5815072,0.7635662,1.3910149885692227e-05,USD,ILS,1.0,0.3054407,0.0,0.0,0.0,0.0,93.1,50.0,125.0,91.687325,1.5407528,86.2,-25.52,1.1493333,2.305027,0.01557073095970667,2.7562348,3.5969524,28.0595457,1.4175837,0.2317109,2.5702577,2.0084866,1.2137898,3.6069524,1.4275837,2.5802577,1.2237898,2.4153711,0.003583820804228092,98570666.6666667,79068600.0,79068600.0,40685866.6666667,52260000.0,52260000.0,0.3610897,0.46723328027692673,0.4950249,0.4044630373695243,1827733.3333333,1932800.0,1932800.0,55432000.0,26808600.0,26808600.0,6.5814898,0.13751423185183226,None
TLV:DLTI,DELTA ISRAEL BRAND,Consumer Cyclical,Israel,269.3216721,-1.8352378307507555,708390600.0,64930733.3333333,2961500.0,761494000.0,91427000.0,11846000.0,91427000.0,11846000.0,761494000.0,708390600.0,64930733.3333333,761494000.0,91427000.0,91427000.0,761494000.0,1.02231,1.02231,0.00026766215812714706,7.0078341,7.0078341,7.0078341,0.6184057,7.450011437256587e-05,7.0078341,0.00022720166627773612,4.4276684,4.2765387,4.2765387e-05,189641902.8697572,202588000.0,141177866.6666667,202588000.0,0.14422,0.0,0.0,0.0,0.0,0.0924114,0.0008989351780455344,0.16012,0.8,0.8696597456245244,0.0,2.701,6145.0,0.0004395,2.0912786,0.00020912785999999998,25000000,110355000,4.4142,885,782350433,47320402539,124694.9152542,4.657,0.302,0.8657967,0.0406425,0.8657967,0.0406425,3.7091992,19.5092813,0.11841725992267671,0.2366606,5.1147778,0.013536998549277809,1.8893119,1.8893119,5.032205299265443e-06,157162866.6666667,211857000.0,4.9779598,3.6928231,3.6928231,1.920353205070758e-09,5.2834192,4.7983302,4.7983302,2.1915091,3.992348018660134e-05,USD,ILS,1.0,0.3054407,41.64,14.2,0.0,0.0,6145.0,4990.0,6801.0,6006.3833,2.3078231,23.1462926,-9.6456403,1.2755384,4.3068642,0.029093378835992938,1.5696142,1.4653481,0.0648724,0.0072622,3.6543773,4.8580451,1.2428378,1.5279797,1.4753481,0.0172622,4.8680451,1.5379797,1.5066639,0.00223552125377315,505715000.0,722671000.0,722671000.0,124943285.7142857,230887800.0,230887800.0,0.2265126,0.2930967710296234,0.4959802,0.40524357091359275,19462571.4285714,142760857.1428571,142760857.1428571,380771714.2857143,489386571.4285714,489386571.4285714,7.7585878,0.16210862190685113,None
TLV:MTRN,MAYTRONICS LTD,Technology,Israel,155943.8486114,-1.816943309552547,287860368.1792467,39892001.1726467,96037173.9618333,397956244.5044,64321535.2502,496973399.749,64321535.2502,496973399.749,397956244.5044,287860368.1792467,39892001.1726467,397956244.5044,64321535.2502,64321535.2502,397956244.5044,2.0433983,2.0433983,0.0005350044496203142,14.4402039,14.4402039,14.4402039,1.9763195,0.00023808970193310347,4.8134013,0.0001560557484977307,8.612206,8.4879309,8.4879309e-05,318327986.5938431,327515000.0,208018866.6666667,327515000.0,0.16163,2.171031,15.46875,0.1672366,1.0,1.321461,0.012854558845718492,0.17683,0.56306,0.6120882704641809,0.0,1.634,7500.0,0.0002179,5.1171751,0.00051171751,109129000,210586000,1.9296979,907,2662385737,257493092215,232178.6108049,0.418,0.319,0.2876568,0.2174591,0.2876568,0.2174591,0.3854142,6.4581737,0.039199764558148775,0.2936148,5.6686231,0.015002830168126301,37.4667147,37.4667147,9.979305177689637e-05,56871429.3229333,91941315.9884,46.8141168,28.9574465,28.9574465,1.5058540225482234e-08,1.0881821,1.2597399,1.2597399,1.1233814,2.0465027986831756e-05,ILS,ILS,0.3054407,0.3054407,68.676,41.3434,50.8311,12.9573,7500.0,4385.0,7995.0,6673.1133,12.3913182,71.0376283,-6.1913696,1.7257618,26.4170956,0.17845061612052737,2.0306368,1.8547004,0.1219012,0.1216591,6.3124581,1.1387076,1.7646292,1.7220294,1.8647004,0.1316591,1.1487076,1.7320294,1.7983649,0.0026683342953857363,272834660.92244,384940866.48414,384940866.48414,125315192.2603333,166328608.7816733,166328608.7816733,0.2670946,0.34560799187086655,0.4867136,0.39767224029549975,249231200.0,356712266.6666667,356712266.6666667,139801593.0545067,208038654.08886,208038654.08886,27.3735774,0.5719459550325028,None
TLV:SPNTC,SPUNTECH INDUSTRIE,Consumer Cyclical,Israel,0.0511838,-1.7863645901074574,205558679.2319933,18196894.4177733,59463806.3574,218774039.4599,30873029.6339,247655901.1705,30873029.6339,247655901.1705,218774039.4599,205558679.2319933,18196894.4177733,218774039.4599,30873029.6339,30873029.6339,218774039.4599,0.3301814,0.3301814,8.644840224339271e-05,1.6673826,1.6673826,1.6673826,0.2332545,2.810046370516259e-05,1.6673826,5.405837233539874e-05,1.4987975,1.4987733,1.4987733e-05,157731896.7801101,157737000.0,107751333.3333333,157737000.0,0.14112,0.2513021,2.5,0.6934531,4.375,0.4982195,0.004846447894288552,0.05231,0.69568,0.7562561147950864,0.0,1.51,821.2,0.0018388,0.6517597,6.517597e-05,66357000,101077000,1.5232304,402,236400526,16707018045,251435.3233831,1.232,-0.03,1.3229763,0.1046195,1.3229763,0.1046195,1.2547441,11.4515359,0.06950842946655157,0.0036549,0.8545553,0.0022617040873950897,1.3288627,1.3288627,3.5394420163955905e-06,29804720.24158,41440972.4132,7.9316472,5.704512,5.704512,2.9664778425385716e-09,1.5147793,1.4434948,1.4434948,1.2024553,2.1905544606145494e-05,ILS,ILS,0.3054407,0.3054407,60.0,45.2714,25.0,38.0,821.2,759.9,1199.0,890.6078,-7.793307,8.0668509,-31.5095913,0.2792075,0.2802075,0.0018928349192404283,1.6750012,1.6946773,0.0,0.0,0.0079437,0.0019859,0.9695961,1.1507651,1.7046773,0.01,0.0119859,1.1607651,1.4327212,0.0021258083460626966,184280865.56146,188813463.0104667,188813463.0104667,73794391.6691467,77296513.6472067,77296513.6472067,0.2635107,0.34097059193067303,0.4994104,0.40804623621544917,-14053066.6666667,26478200.0,26478200.0,110486473.8923133,111516949.36326,111516949.36326,9.7882379,0.20451631118557562,None
TLV:CBI,CLAL BIOTECHNOLOGY,Healthcare,Israel,55.2602015,-1.761027634411177,22820228.1173933,2809871.17558,-345679763.2587,23981371.1198,33350459.1516,-1437325741.3808,33350459.1516,-1437325741.3808,23981371.1198,22820228.1173933,2809871.17558,23981371.1198,33350459.1516,33350459.1516,23981371.1198,1.6634301,1.6634301,0.00043552082094438675,0.6776687,0.6776687,0.6776687,0.9286838,0.00011187970828203731,0.6776687,2.1970762382098523e-05,-3.5354761,3.915805,3.9158050000000004e-05,-36938567.4730022,-36939000.0,-31290066.6666667,-36939000.0,1.39068,0.6679909,1.0,1.2740437,1.0,1.264114,0.01229671386495446,0.05102,0.64545,0.7016523535166865,0.0,0.686,148.3,0.0046258,0.2215828,2.215828e-05,156846000,109188000,0.6961478,10000000,130593893,7291468505,10.9188,0.3148404,0.234,0.3148404,1.9547163,0.3148404,1.9547163,0.3148404,5.8610638,0.035575432265051776,0.6641791,8.3997183,0.02223106826682525,2.1524201,2.1524201,5.732997200443958e-06,-8614629.1400867,-10996170.6407,659.6502269,118763.0654704,118763.0654704,6.175953389700983e-05,0.4056544,0.4860133,0.4860133,0.6981465,1.2718376556179973e-05,ILS,ILS,0.3054407,0.3054407,22.3722,0.0,0.0,0.0,148.3,143.1,267.8,202.03474,-26.5967823,3.6338225,-44.6228529,0.0834002,0.0844002,0.0005701333681321021,5.8656251,4.8630092,1.3273736,0.698681,0.2956127,0.2963814,6.0526785,3.8094269,4.8730092,0.708681,0.3063814,3.8194269,4.346218,0.006448726031420434,212721324.7351333,186065942.4631133,186065942.4631133,92142805.0368333,82327223.7897733,82327223.7897733,0.27924,0.3613235746811084,0.5050964,0.41269201631758773,148842800.0,115985666.6666667,115985666.6666667,36682695.01232,39168188.1645,39168188.1645,10.0549387,0.2100887813649367,None
TLV:MRHL,MERCHAVIA HOLD,Healthcare,Israel,11631.6120033,-1.7366317332509706,6673400.0,2891266.6666667,-7113400.0,7426000.0,2988000.0,-23200000.0,2988000.0,-23200000.0,7426000.0,6673400.0,2891266.6666667,7426000.0,2988000.0,2988000.0,7426000.0,1.9862809,1.9862809,0.0005200499186555272,4.6100238,4.6100238,4.6100238,1.8159041,0.0002187642564413803,4.6100238,0.00014946202692498397,3.3027303,3.3027445,3.3027445000000005e-05,4466038.3797281,4466000.0,4006133.3333333,4466000.0,0.40237,0.0,0.0,0.0,0.0,0.2399257,0.002333885774343852,0.06782,0.66142,0.7190129361887161,0.0,0.043,63.0,0.0006825,0.3940975,3.940975e-05,68026200,2988000,0.0439243,1,14750246,1348490371,2988000.0,-0.157,0.5,1.1457228,0.3238612,1.1457228,0.3238612,0.1686807,4.3570756,0.02644653823449419,0.4559653,7.0025202,0.01853318159562837,27.3298835,27.3298835,7.279347818483925e-05,-2214800.0,-2212000.0,1501.534179,66682.8525628,66682.8525628,3.4676621699597197e-05,0.0330906,0.031343,0.031343,0.1780396,3.2434090476879276e-06,USD,ILS,1.0,0.3054407,0.0,0.0,0.0,0.0,63.0,59.0,113.9,77.63333,-18.8492881,6.779661,-44.6883231,0.1457195,0.1467195,0.0009911076360678997,31.7330232,33.1090684,1.1015682,0.7736239,14.0516388,13.5555556,9.1779586,8.2800299,33.1190684,0.7836239,13.5655556,8.2900299,20.7045492,0.030720494322849224,33325733.3333333,37086400.0,37086400.0,32272266.6666667,35953600.0,35953600.0,0.1805686,0.2336473715340323,0.1831071,0.1496087445902726,7714200.0,7797200.0,7797200.0,1053466.6666667,1132800.0,1132800.0,26.724837,0.5583911155526559,None
