Symbol,Name,Sector,Country,sss_value,sss_value_normalized,annualized_revenue,annualized_revenue_bonus,annualized_earnings,annualized_retained_earnings,annualized_retained_earnings_bonus,quarterized_revenue,quarterized_revenue_bonus,quarterized_earnings,quarterized_earnings_bonus,quarterized_retained_earnings,quarterized_retained_earnings_bonus,effective_earnings,effective_retained_earnings,effective_revenue,annualized_total_revenue,annualized_total_revenue_bonus,annualized_net_income,quarterized_total_revenue,quarterized_total_revenue_bonus,quarterized_net_income,quarterized_net_income_bonus,effective_net_income,effective_total_revenue,enterprise_value_to_revenue,evr_effective,evr_effective_normalized,trailing_price_to_earnings,forward_price_to_earnings,effective_price_to_earnings,trailing_12months_price_to_sales,trailing_12months_price_to_sales_normalized,pe_effective,pe_effective_normalized,enterprise_value_to_ebitda,effective_ev_to_ebitda,effective_ev_to_ebitda_normalized,ebitda,quarterized_ebitd,annualized_ebitd,ebitd,profit_margin,annualized_profit_margin,annualized_profit_margin_boost,quarterized_profit_margin,quarterized_profit_margin_boost,effective_profit_margin,effective_profit_margin_normalized,held_percent_institutions,held_percent_insiders,held_percent_insiders_normalized,forward_eps,trailing_eps,previous_close,trailing_eps_percentage,price_to_book,price_to_book_normalized,shares_outstanding,net_income_to_common_shareholders,nitcsh_to_shares_outstanding,employees,enterprise_value,market_cap,nitcsh_to_num_employees,eqg,rqg,eqg_yoy,rqg_yoy,niqg_yoy,trqg_yoy,eqg_effective,eqg_factor_effective,eqg_factor_effective_normalized,rqg_effective,rqg_factor_effective,rqg_factor_effective_normalized,price_to_earnings_to_growth_ratio,effective_peg_ratio,effective_peg_ratio_normalized,annualized_cash_flow_from_operating_activities,annualized_cash_flow_from_operating_activities_bonus,quarterized_cash_flow_from_operating_activities,quarterized_cash_flow_from_operating_activities_bonus,annualized_ev_to_cfo_ratio,quarterized_ev_to_cfo_ratio,ev_to_cfo_ratio_effective,ev_to_cfo_ratio_effective_normalized,annualized_debt_to_equity,annualized_debt_to_equity_bonus,quarterized_debt_to_equity,quarterized_debt_to_equity_bonus,debt_to_equity_effective,debt_to_equity_effective_used,debt_to_equity_effective_used_normalized,financial_currency,summary_currency,financial_currency_conversion_rate_mult_to_usd,summary_currency_conversion_rate_mult_to_usd,last_dividend_0,last_dividend_1,last_dividend_2,last_dividend_3,fifty_two_week_change,fifty_two_week_low,fifty_two_week_high,two_hundred_day_average,previous_close_percentage_from_200d_ma,previous_close_percentage_from_52w_low,previous_close_percentage_from_52w_high,dist_from_low_factor,eff_dist_from_low_factor,eff_dist_from_low_factor_normalized,annualized_total_ratio,annualized_total_ratio_bonus,quarterized_total_ratio,quarterized_total_ratio_bonus,annualized_other_current_ratio,annualized_other_current_ratio_bonus,quarterized_other_current_ratio,quarterized_other_current_ratio_bonus,annualized_other_ratio,annualized_other_ratio_bonus,quarterized_other_ratio,quarterized_other_ratio_bonus,annualized_total_current_ratio,annualized_total_current_ratio_bonus,quarterized_total_current_ratio,quarterized_total_current_ratio_bonus,total_ratio_effective,other_current_ratio_effective,other_ratio_effective,total_current_ratio_effective,effective_current_ratio,effective_current_ratio_normalized,annualized_total_assets,annualized_total_assets_bonus,quarterized_total_assets,quarterized_total_assets_bonus,effective_total_assets,annualized_total_stockholder_equity,annualized_total_stockholder_equity_bonus,quarterized_total_stockholder_equity,quarterized_total_stockholder_equity_bonus,effective_total_stockholder_equity,calculated_roa,calculated_roa_normalized,calculated_roe,calculated_roe_normalized,annualized_working_capital,quarterized_working_capital,effective_working_capital,annualized_total_liabilities,annualized_total_liabilities_bonus,quarterized_total_liabilities,quarterized_total_liabilities_bonus,effective_total_liabilities,altman_z_score_factor,altman_z_score_factor_normalized,skip_reason
TLV:ENRG,ENERGIXS-RENEWABLE,Technology,Israel,2.1270132,-0.3376994438186134,290200619.9534934,4.0,19596655.6480267,55414593.4385067,2.0,78940403.36,1.0,22705589.8016,1.0,149696161.6024,1.0,22705589.8016,149696161.6024,78940403.36,290200619.9534934,4.0,19596655.6480267,78940403.36,1.0,22705589.8016,1.0,22705589.8016,78940403.36,10.0850393,10.0850393,0.09365588067589317,100.94203,100.94203,100.94203,8.2498769,8.2498769e-13,33.6473433,0.00019099815276898063,14.4431816,14.264908,0.00014264908000000001,182416823.2694824,186920000.0,174350066.6666667,186920000.0,0.28763,3944.9480033,14000.0,3.2138933,10.0,1316.1508422,0.4607169024166435,0.21829,0.55564,0.631473673443875,0.0,0.138,1356.0,0.0001018,4.2122772,0.00042122772,487075008,73288000,0.1504655,66,2569639100,210206867840,1110424.2424242,0.4,0.071,0.5371832,0.2182625,0.5371832,0.2182625,0.4342958,6.8401122,0.04151805142548598,0.1078156,3.5335289,0.110625315100335,232.4269117,232.4269117,8.983141486844978e-05,45453624.0116,1.0,49639819.97,1.0,56.5332062,51.7656813,51.7656813,5.1765681299999996e-12,1.4322183,1.0,1.3974645,1.0,1.3974645,1.183144,0.00014274820342476957,ILS,ILS,0.3098132,0.3098132,5.0,5.0,4.0,4.0,1356.0,1094.0,1560.0,1286.755,5.3813663,23.9488117,-13.0769231,1.1244635,2.0214929,0.02917057976854297,1.7054298,1.0,1.7177999,1.0,1.5244193,1.0,0.6369174,2.0,0.874897,1.0,0.3851772,1.0,2.6459614,1.0,0.812065,0.25,1.7277999,0.6469174,0.3951772,0.822065,1.2749325,0.0017562176742801922,1886721492.6576,2.0,1181649252.3782134,1.0,1181649252.3782134,774253218.0261867,2.0,492285574.0494934,1.0,492285574.0494934,0.1192152,0.13380470281521972,0.1461228,0.11939050241096869,464285666.6666667,584905066.6666666,584905066.6666666,1107921001.71552,2.0,687920382.5552001,1.0,687920382.5552001,13.5900238,0.2639505845594011,None
TLV:RADA,RADA ELECTRONIC,Technology,Israel,0.4709666,-0.2521845826464426,231814933.3333333,0.0,2637666.6666667,-302351466.6666667,0.25,291336000.0,0.0,37958000.0,0.0,-741482666.6666666,0.375,37958000.0,-741482666.6666666,291336000.0,231814933.3333333,4.0,2637666.6666667,291336000.0,3.0,37958000.0,2.0,37958000.0,291336000.0,5.1444482,5.1444482,0.0477745115740415,47.6393933,47.6393933,47.6393933,4.9793181,4.9793181e-13,15.8797978,9.014120428773711e-05,31.7220834,47.583125,0.00047583125000000005,7874477.0927132,0.0,4222733.3333333,0.0,0.19542,0.0483771,0.0,2590.8570512,10000.0,863.7012828,0.3023375185170682,0.57653,0.04734,0.053800956916048234,0.0,0.207,3240.0,6.39e-05,3.6577724,0.00036577724,49035000,18978000,0.3870297,244,499589637,48355150934,77778.6885246,13.772,0.614,0.1532572,0.5872326,0.1532572,0.5872326,10.3673143,32.4483141,0.1969544846755762,0.6073082,8.0429978,0.25180469472778366,4.5951528,4.5951528,1.7759951915272065e-06,360066.6666667,0.5,90016.6666667,1.0,1387.4920501,5549.9682006,5549.9682006,5.5499682006e-10,0.2311149,0.5,0.3312231,1.0,0.3312231,0.5765199,6.955804193202839e-05,USD,ILS,1.0,0.3098132,0.0,0.0,0.0,0.0,3240.0,3110.0,4760.0,3807.565,-14.9062459,4.1800643,-31.9327731,0.1575758,0.1585758,0.002288283091798401,3.33547,1.0,4.1243195,1.0,0.0878698,0.0833333,0.1862775,1.0,0.2386306,1.0,4.460881,1.0,1.7292185,0.5,4.4176227,1.0,4.1343195,0.1962775,4.470881,4.4276227,4.2809711,0.005897031496885299,167725600.0,2.0,248837400.0,1.5,248837400.0,56993066.6666667,1.0,188984700.0,1.5,188984700.0,0.2525414,0.2834473034943492,0.3008522,0.24581307851646172,45516066.6666667,103349733.3333333,103349733.3333333,53745466.6666667,2.0,59852700.0,1.5,59852700.0,21.9623191,0.4265604718606232,None
TLV:RMN,RAM-ON INVESTMENTS,Basic Materials,Israel,0.988234,-0.16629988361698778,3758901.59296,4.0,18659987.07336,39822872.3726667,1.0,1061420.0232,1.0,32695826.2488,1.0,155618240.9204,1.0,32695826.2488,155618240.9204,1061420.0232,3758901.59296,4.0,18659987.07336,1061420.0232,1.0,32695826.2488,1.0,32695826.2488,1061420.0232,18.6615981,18.6615981,0.1733030831991973,2.6830807,2.6830807,2.6830807,25.5847056,2.55847056e-12,2.6830807,1.5230428532231354e-05,620.3634456,617.3809433,0.006173809433,104000.0047444,105000.0,413066.6666667,105000.0,30.82184,3659.9039543,140.0,198.1503516,10.0,1296.2930486,0.45376570741461136,0.21949,0.19257,0.2188519280380948,0.0,6.336,1686.0,0.003758,1.722391,0.0001722391,16632800,105534000,6.3449329,308,63897440,8760203410,342642.8571429,0.152,0.505,5.8813939,0.006388,5.8813939,0.006388,1.5843485,12.8370905,0.07791845629851182,0.380347,6.4172279,0.20090619847715444,1.6934915,1.6934915,6.545229052866743e-07,6084380.1263733,1.0,1865385.2772,0.5,10.5018818,34.254286,34.254286,3.4254286e-12,0.3526728,1.0,0.2472391,1.0,0.2472391,0.4982314,6.011241001924342e-05,ILS,ILS,0.3098132,0.3098132,39.7278,31.3007,361.163,30.0968,1686.0,1283.0,1854.0,1500.45,12.3662901,31.410756,-9.0614887,1.4115587,7.9103118,0.1141475101673356,9.2270556,2.0,7.0057873,1.0,0.0,1.0,0.0,1.0,3.0506921,0.1666667,3.1176176,0.5,1.7002319,1.0,1.7015103,1.0,7.0157873,0.01,3.1276176,1.7115103,4.3636488,0.006010919909023852,149079261.55856,2.0,67139143.5250933,1.0,67139143.5250933,55949537.56384,1.0,53375919.31144,1.0,53375919.31144,0.586986,0.658821083944787,0.7125576,0.5821994230931385,21519533.3333333,21370066.6666667,21370066.6666667,17834665.3627733,1.0,13019548.6083733,1.0,13019548.6083733,20.1831084,0.39200396841142826,None
TLV:SRAC,S.R ACCORD LTD,Financial Services,Israel,0.4538077,-0.05349710416889299,101674578.5928533,4.0,15440883.3458667,-81236325.7141333,0.5,32241020.4712,1.0,19763603.6544,1.0,-368267928.4074667,0.375,19763603.6544,-368267928.4074667,32241020.4712,101674578.5928533,4.0,15440883.3458667,32241020.4712,1.0,19763603.6544,1.0,19763603.6544,32241020.4712,4.2066436,4.2066436,0.03906548098901406,12.937717,12.937717,12.937717,2.3973463,2.3973463e-13,12.937717,7.34405693197132e-05,0.0,100000.0,1.0,0.0,1521000.0,702866.6666667,1521000.0,0.61338,855.6622666,1400.0,6.2500557,10.0,287.5095674,0.10064235273083441,0.1,0.63807,0.7251537089020469,0.0,4.592,5853.0,0.0007846,3.1824515,0.00031824515,13545800,63792000,4.7093564,37,437498630,24932401532,1724108.1081081,0.168,0.24,0.3394522,0.2531472,0.3394522,0.2531472,0.2108631,4.8419828,0.029389823589694716,0.2432868,5.1824111,0.16224739549094216,61.3560142,61.3560142,2.3713680683365956e-05,-52467774.2053867,0.5,-106093671.4608,0.5,11992.6716375,412370.1486958,412370.1486958,4.1237014869579997e-08,6.0884821,2.0,5.248823,2.0,5.248823,2.292031,0.0002765371818171567,ILS,ILS,0.3098132,0.3098132,73.8238,59.059,59.059,73.8238,5853.0,5300.0,7297.0,6104.305,-4.1168487,10.4339623,-19.7889544,0.5538307,0.5548307,0.008006327003367925,2.7238776,2.0,0.691396,0.5,0.0312818,0.1666667,0.0370225,1.0,6.5215385,1.0,1.6303846,1.0,3.1102636,2.0,3.3178326,2.0,0.701396,0.0470225,1.6403846,3.3278326,2.0146143,0.002775128283668051,442710628.9635733,2.0,430872645.93736,1.5,430872645.93736,115826804.2604267,2.0,118732996.65592,1.5,118732996.65592,0.1458688,0.16372015845305568,0.2664542,0.21770798812719663,239075866.6666667,352819266.6666667,352819266.6666667,163441912.3515733,1.0,312139649.28144,1.5,312139649.28144,6.9127662,0.13426236085123483,None
TLV:ETGA,ETGA GROUP LTD,Industrials,Israel,118.4216204,-0.015201300204005293,0.0,0.0,0.0,2961500.0,1.0,402063000.0,0.0,9590000.0,0.0,11846000.0,1.0,9590000.0,11846000.0,402063000.0,0.0,1.0,0.0,402063000.0,3.0,9590000.0,2.0,9590000.0,402063000.0,0.0,0.3193822,0.0029659796380966255,1351.4105923,1351.4105923,1351.4105923,32.233823,3.2233823e-12,1351.4105923,0.00767124240568895,0.0,100000.0,1.0,0.0,9098000.0,0.0,9098000.0,0.0,0.0,0.0,352.4491142,10000.0,117.4840381,0.04112513579853479,0.5816,0.35223,0.40030230364469094,0.0,0.0,1927.0,0.0,10000.0,1.0,22074800,0,0.0,10000000,128411771,12960027580,0.0,2.834,2.28,2.834,2.28,0.0,0.0,2.834,17.0844884,0.1036992738173679,2.28,15.3496689,0.4805569748554519,476.8562429,476.8562429,0.00018430168294732865,-202500000.0,1.0,-50625000.0,0.3333333,157695.8228393,253652.8823642,253652.8823642,2.536528823642e-08,0.502338,1.0,2.009352,1.0,2.009352,1.4185161,0.0001711462212580301,USD,ILS,1.0,0.3098132,21.0,0.0,0.0,0.0,1927.0,1561.0,2286.0,1895.2689,1.6742268,23.4465086,-15.704287,1.0096552,1.0593475,0.015286613547520537,0.3744182,1.0,1.4976729,1.0,0.0,1.0,0.0,1.0,0.2063167,1.0,0.8252668,1.0,0.3229927,1.0,1.291971,1.0,1.5076729,0.01,0.8352668,1.301971,1.4048219,0.0019351401348666542,57519250.0,1.0,230077000.0,1.0,230077000.0,19113500.0,1.0,76454000.0,1.0,76454000.0,0.1416817,0.15902064302920363,0.2254349,0.1841929252106207,10434750.0,41739000.0,41739000.0,38405750.0,1.0,153623000.0,1.0,153623000.0,7.2563642,0.14093585122094568,None
TLV:ASPF,ALTSHULER SHAHM,Financial Services,Israel,0.4031836,-0.0021556444042915394,3055178133.333333,0.0,105057200.0,87898866.6666667,1.0,3395703000.0,0.0,386926000.0,0.0,739893000.0,1.5,386926000.0,739893000.0,3395703000.0,3055178133.333333,4.0,105057200.0,3395703000.0,3.0,386926000.0,2.0,386926000.0,3395703000.0,1.2212836,1.2212836,0.01134159101522046,21.00122,21.00122,21.00122,0.9026964,9.026963999999999e-14,21.00122,0.00011921280649503674,4.459761,4.43978,4.43978e-05,312792206.4953109,315595000.0,185233000.0,315595000.0,0.17092,0.1441119,0.0,171.9565398,1000.0,57.4248572,0.02010149709487614,0.03011,0.71678,0.8146060392540146,0.0,0.819,1740.0,0.0004707,11.089619,0.0011089619,191744000,174110000,0.9080336,951,1382478698,102176299295,183080.9674027,1.085,0.674,0.7439338,0.3160708,0.7439338,0.3160708,0.9997335,10.2486672,0.062207267865034645,0.5845177,7.8953757,0.24718304260877225,21.0068192,21.0068192,8.118992232093217e-06,191098400.0,2.0,148471000.0,1.0,7.2343813,9.3114393,9.3114393,9.3114393e-13,1.574585,1.0,6.9738952,2.0,6.9738952,2.6418134,0.0003187389841249097,USD,ILS,1.0,0.3098132,17.2129,0.0,0.0,0.0,1740.0,1564.0,2349.0,1909.2789,-8.8661169,11.2531969,-25.9259259,0.4484076,0.4494076,0.006485048868778837,1.6358858,1.0,1.420315,1.0,0.0038442,0.1666667,8.4166901,2.0,96.3518231,6.0,7.3638418,2.0,1.7859364,2.0,9.6815769,1.0,1.430315,8.4266901,7.3738418,9.6915769,5.5609459,0.007660194932120697,1260298533.3333333,2.0,1547280666.6666667,1.0,1547280666.6666667,490330933.3333333,2.0,494758300.0,1.5,494758300.0,0.3500684,0.39290961410121755,0.8820505,0.7206846046397012,-44909200.0,662328066.6666666,662328066.6666666,769967600.0,2.0,1217441800.0,1.0,1217441800.0,7.3757107,0.14325384410335099,None
TLV:GOSS,G 1 SECURE SOL,Industrials,Israel,1.6011636,0.003289656156023147,3246577600.0,0.0,41264533.3333333,12218000.0,1.0,811462000.0,0.0,33835000.0,0.0,46489000.0,1.0,33835000.0,46489000.0,811462000.0,3246577600.0,4.0,41264533.3333333,811462000.0,1.0,33835000.0,1.0,33835000.0,811462000.0,0.1666795,0.1666795,0.0015478884016959197,9.9792096,9.9792096,9.9792096,0.1461216,1.461216e-14,9.9792096,5.664668924082568e-05,2.3818439,2.1877921,2.1877920999999997e-05,67829668.0541103,78882000.0,81696200.0,78882000.0,0.0417,0.0492498,0.0,0.3614347,10.0,0.1517948,5.3135573687021816e-05,0.8223,1.23e-05,1.3978702367287565e-05,0.0,0.481,478.1,0.0010061,3.0188678,0.00030188678000000004,79733600,33835000,0.4243506,5721,135234750,11857210129,5914.1758434,-0.323,-0.013,-0.0654284,0.0169709,-0.0654284,0.0169709,-0.2586071,0.2241393,0.0013604787044096192,-0.0055073,0.2494493,0.007809588712875109,-38.5883051,2591.4587234,0.0010015811077706998,140613733.3333333,2.0,71611000.0,1.0,0.9617464,1.8884634,1.8884634,1.8884634e-13,4.4633343,2.0,2.5505382,1.0,2.5505382,1.5980404,0.00019280611328815437,USD,ILS,1.0,0.3098132,8.6538,9.4063,12.7926,11.7892,478.1,456.0,826.0,597.6915,-20.0089009,4.8464912,-42.1186441,0.1194595,0.1204595,0.0017382566387588113,2.9027765,2.0,1.3922943,1.0,0.0129025,0.1666667,0.0584359,1.0,5.6237396,1.0,11.8482425,2.0,0.3448392,0.3333333,0.4903778,0.5,1.4022943,0.0684359,11.8582425,0.5003778,0.951336,0.0013104639636835839,812697333.3333334,2.0,448129466.6666667,1.0,448129466.6666667,251095600.0,2.0,126229533.3333333,1.0,126229533.3333333,0.1755027,0.19698064187090797,0.3680435,0.3007121296203697,7599066.6666667,-4856400.0,-4856400.0,280800866.6666667,1.0,321899933.3333333,1.0,321899933.3333333,4.9541447,0.09622127295736294,None
TLV:ALBA,ALBAAD MASSUOT YIT,Consumer Defensive,Israel,0.325605,0.003931235714847995,458083559.9475734,1.0,10365482.19504,75121625.2025867,1.0,479200778.7812,1.0,30153189.3164,1.0,351634883.868,1.0,30153189.3164,351634883.868,479200778.7812,458083559.9475734,1.0,10365482.19504,479200778.7812,1.0,30153189.3164,1.0,30153189.3164,479200778.7812,0.2559057,0.2559057,0.0023764977994166978,3.2617096,3.2617096,3.2617096,0.0730031,7.30031e-15,3.2617096,1.8514998432843603e-05,1.5828356,1.5533666,1.5533666e-05,259639148.8549618,269307000.0,211488466.6666667,269307000.0,0.06292,0.0009411,0.025,0.4945701,10.0,0.1871438,6.550944548146098e-05,0.11122,0.6094,0.692570831107727,0.0,10.611,3557.0,0.0029831,0.715393,7.15393e-05,10530700,101626000,9.6504506,1822,395663478,11291685104,55777.1679473,-0.572,0.004,0.2789938,0.0893829,0.2789938,0.0893829,-0.3592515,0.2140748,0.0012993892929564264,0.0253457,1.8420344,0.057669157856797645,-9.0791805,11014.2098994,0.004256916945135265,87028758.53504,2.0,10777316.8818,0.5,4.5463532,36.7126144,36.7126144,3.67126144e-12,1.9712125,1.0,1.0931996,0.5,1.0931996,1.0465619,0.00012626935605286705,ILS,ILS,0.3098132,0.3098132,237.4,189.92,189.92,170.928,3557.0,3200.0,9691.0,5970.4,-40.4227522,11.15625,-63.2958415,0.1099985,0.1109985,0.0016017323624726147,1.5166854,1.0,1.4742701,1.0,0.7842052,1.0,0.0825038,1.0,0.0731222,0.1666667,0.3825314,1.0,1.317802,1.0,1.4068145,1.0,1.4842701,0.0925038,0.3925314,1.4168145,1.4505423,0.0019981199197220564,423498575.4220267,1.0,758079719.40628,1.5,758079719.40628,142464026.8410933,1.0,157635352.0487467,1.0,157635352.0487467,0.1397757,0.15688138760233017,0.2912844,0.23799565064779465,143587733.3333333,218945066.6666667,218945066.6666667,279190664.3398134,1.0,518352461.51028,1.5,518352461.51028,3.9785182,0.07727228590800674,None
TLV:VCTR,VICTORY SUPERMARKE,Consumer Defensive,Israel,0.4390977,0.005066313209300333,2556401313.2496004,4.0,13896753.7028533,111214429.2641067,2.0,247142533.5669333,0.3333333,18761667.7656,1.0,383498396.955,1.5,18761667.7656,383498396.955,247142533.5669333,2556401313.2496004,4.0,13896753.7028533,247142533.5669333,0.3333333,18761667.7656,1.0,18761667.7656,247142533.5669333,0.2627216,0.2627216,0.0024397944409180173,15.213363,15.213363,15.213363,0.1169523,1.1695229999999999e-14,15.213363,8.635820678311792e-05,4.4594512,3.9075587,3.9075587e-05,187458136.2373211,233857000.0,178949400.0,233857000.0,0.0253,3.1528809,140.0,0.0124869,0.5,1.0645559,0.0003726464178509661,0.20915,0.62972,0.7156641020104328,0.0,4.101,6238.0,0.0006574,2.735084,0.0002735084,14479800,60558000,4.1822401,1278,629046942,27988361977,47384.9765258,0.103,-0.022,0.5991018,0.2256557,0.5991018,0.2256557,0.2270255,5.0147188,0.030438295006732688,0.0399139,2.2478468,0.07037405596067992,67.0117066,67.0117066,2.5899567191243775e-05,44867271.54928,1.0,44421946.0556,1.0,14.0201737,14.1607245,14.1607245,1.41607245e-12,8.4819406,2.0,2.3780339,0.5,2.3780339,1.5430875,0.0001861759585918697,ILS,ILS,0.3098132,0.3098132,82.8789,103.607,69.1225,34.5612,6238.0,6003.0,8343.0,7036.135,-11.3433725,3.9147093,-25.2307324,0.2008547,0.2018547,0.0029128069794384687,2.5686654,2.0,2.4208747,2.0,2.3882124,1.0,6.3557658,2.0,0.9172974,1.0,0.9874853,1.0,2.4046373,2.0,2.3354473,2.0,2.4308747,6.3657658,0.9974853,2.3454473,2.388161,0.0032896883225007273,950373016.9891734,2.0,583868999.7088,1.0,583868999.7088,177589759.32592,2.0,101482824.8762667,1.0,101482824.8762667,0.1321334,0.14830382634902728,0.2848753,0.2327590573919705,84442600.0,85887333.3333333,85887333.3333333,386391628.8316267,1.0,482386174.8325333,1.0,482386174.8325333,6.1148388,0.11876471296146712,None
TLV:SPNTC,SPUNTECH INDUSTRIE,Consumer Cyclical,Israel,0.3215403,0.005217463541300295,208501330.0474933,1.0,18457389.8947733,120630106.8048,2.0,219445646.5712,1.0,33387639.1244,1.0,262851715.144,1.0,33387639.1244,262851715.144,219445646.5712,208501330.0474933,1.0,18457389.8947733,219445646.5712,1.0,33387639.1244,1.0,33387639.1244,219445646.5712,0.324994,0.324994,0.0030180942660660947,4.495364,4.495364,4.495364,0.197016,1.97016e-14,4.495364,2.5517801282818542e-05,1.4053127,1.4053207,1.4053207e-05,163806880.952381,163805000.0,107751333.3333333,163805000.0,0.15214,1.0052085,10.0,1.5251657,10.0,0.8951714,0.00031335359239719986,0.06082,0.69797,0.79322885295087,0.0,1.51,693.7,0.0021767,1.7571835,0.00017571835,66357000,107767000,1.6240487,402,230202529,13954956357,268077.1144279,0.345,-0.042,1.3229763,0.1046195,1.3229763,0.1046195,0.5894941,7.9278517,0.0481204028457642,-0.0053451,0.2494655,0.0078100958914366385,7.6258002,7.6258002,2.9473197249822047e-06,30231386.16808,1.0,15931369.277,0.5,7.6146865,14.4496387,14.4496387,1.44496387e-12,1.5147793,1.0,1.3598804,1.0,1.3598804,1.1671391,0.00014081718681056783,ILS,ILS,0.3098132,0.3098132,60.0,45.2714,25.0,38.0,693.7,657.5,1080.0,869.939,-20.2587768,5.5057034,-35.7685185,0.1713609,0.1723609,0.002487205066328879,5.0250036,3.0,1.7380805,1.0,0.0,1.0,0.0,1.0,0.0079437,1.0,0.0019859,1.0,0.9695961,1.0,2.5573127,2.0,1.7480805,0.01,0.0119859,2.5673127,2.1576966,0.0029722239449180865,186918916.36696,1.0,193348614.2860533,1.0,193348614.2860533,149701573.0062933,2.0,82041881.34256,1.0,82041881.34256,0.272681,0.3060515787278546,0.5069585,0.41421345619240163,-14053066.6666667,47142866.6666667,47142866.6666667,112068129.8638133,1.0,111306732.9434933,1.0,111306732.9434933,9.0194755,0.17517966603150442,None
TLV:ONE,ONE SOFTWARE TECHN,Technology,Israel,1.856516,0.00539232704105756,6879664000.0,0.0,85115666.6666667,643852666.6666666,2.0,7217232000.0,0.0,119556000.0,0.0,2143852500.0,1.5,119556000.0,2143852500.0,7217232000.0,6879664000.0,4.0,85115666.6666667,7217232000.0,3.0,119556000.0,1.0,119556000.0,7217232000.0,0.5384553,0.5384553,0.005000427249311983,33.952595,33.952595,33.952595,0.4901607,4.901607e-14,11.3175317,6.42436352056473e-05,5.8588774,5.6195536,5.6195536e-05,240783883.9035482,260455000.0,172068066.6666667,260455000.0,0.0497,0.0497129,0.0,4.7244221,100.0,1.608945,0.0005632091191916015,0.31255,0.48705,0.5535225193485698,0.0,1.561,5275.0,0.0002959,7.519864,0.0007519864,71814496,119556000,1.6647892,6300,1295472603,117920119647,18977.1428571,0.604,0.712,0.1491783,0.1382996,0.1491783,0.1382996,0.4902946,7.2521037,0.04401875372154819,0.5685749,7.7903906,0.24389624063346077,69.2493803,69.2493803,2.6764412802342253e-05,170369933.3333333,1.0,268684000.0,1.0,7.6038804,4.8215473,4.8215473,4.8215473e-13,1.9204008,1.0,5.035219,2.0,5.035219,2.2449294,0.00027085429894032,USD,ILS,1.0,0.3098132,27.9681,30.585,29.6265,23.288,5275.0,3930.0,48220.0,18862.494,-72.034451,34.2239186,-89.0605558,0.0607361,0.0617361,0.0008908652756825145,1.539797,1.0,1.4206384,1.0,0.0017167,0.3333333,0.0043971,1.0,0.0524794,0.1666667,0.4414418,1.0,0.6632814,0.5,1.1835826,1.0,1.4306384,0.0143971,0.4514418,1.1935826,1.3121105,0.0018074303154940517,2365269333.333333,2.0,1769320666.6666667,1.0,1769320666.6666667,808891466.6666666,2.0,744400800.0,1.5,744400800.0,0.1675717,0.1880790496408273,0.260607,0.2129304986067562,184251866.6666667,145066400.0,145066400.0,1532119466.6666667,2.0,1253536066.6666667,1.0,1253536066.6666667,7.9224316,0.15387246429633708,None
TLV:BKRY,BIKUREY HASADE HOL,Consumer Defensive,Israel,2.455474,0.005705226676551088,808247266.6666666,0.0,65639333.3333333,85902000.0,1.0,1576446000.0,0.0,48511000.0,0.0,417792000.0,1.0,48511000.0,417792000.0,1576446000.0,808247266.6666666,1.0,65639333.3333333,1576446000.0,1.0,48511000.0,1.0,48511000.0,1576446000.0,0.2314305,0.2314305,0.00214920603162769,6.461905,6.461905,6.461905,0.2313885,2.313885e-14,6.461905,3.668081332200274e-05,3.7062953,3.5752592,3.5752592e-05,105908224.6510073,113397000.0,56819866.6666667,113397000.0,0.03077,0.0826257,0.0,0.3063789,10.0,0.1409249,4.9330579231213324e-05,0.10841,0.78414,0.891159323112591,0.0,0.84,550.0,0.0015273,3.2639807,0.00032639807,100000000,48511000,0.48511,1349,364771543,364771543,35960.7116383,-0.801,0.498,1.3862461,1.1701854,1.3862461,1.1701854,-0.2541885,0.2245812,0.0013631609450496078,0.6660463,8.4111663,0.26333106326053224,-25.421708,3933.6460012,0.0015203273291154592,53189200.0,1.0,98539000.0,1.0,6.8580002,3.7017987,3.7017987,3.7017987e-13,5.2730964,1.0,3.2188142,1.0,3.2188142,1.7951054,0.0002165823186426186,USD,ILS,1.0,0.3098132,0.0,0.0,0.0,0.0,550.0,525.0,728.0,598.4392,-8.0942559,4.7619048,-24.4505495,0.2463054,0.2473054,0.00356867041080947,2.8827767,2.0,1.382399,1.0,0.7732477,0.5,0.8934523,0.5,13.0143034,2.0,1.4471502,1.0,0.6459209,1.0,1.0251145,1.0,1.392399,0.9034523,1.4571502,1.0351145,1.2137568,0.0016719482360342752,1211963600.0,2.0,859610466.6666666,1.0,859610466.6666666,115543333.3333333,1.0,233769266.6666667,1.0,233769266.6666667,0.1564337,0.17557798618620143,0.3075166,0.2512582661549935,-75352266.6666667,9691466.6666667,9691466.6666667,489815133.3333333,1.0,625841200.0,1.0,625841200.0,1.8122244,0.035197708022616556,None
