pb,pi,ev,pe,evr / pm,10.79065,25.00291,46.21261,82.93811,148.81134,292.68273,979.21933
4.915652,0.010240,19533.000000,13.626143,2.731286,16.000000,13.000000,11.000000,9.000000,7.000000,0.000000,0.000000
4.915652,0.010240,19533.000000,13.626143,1.881021,13.000000,10.000000,9.000000,8.000000,0.000000,0.000000,0.000000
4.915652,0.010240,19533.000000,13.626143,1.091091,8.000000,8.000000,7.000000,0.000000,0.000000,0.000000,0.000000
4.915652,0.010240,19533.000000,9.004983,9.923143,16.000000,14.000000,13.000000,11.000000,9.000000,7.000000,0.000000
4.915652,0.010240,19533.000000,9.004983,5.518429,14.000000,12.000000,11.000000,9.000000,9.000000,7.000000,0.000000
4.915652,0.010240,19533.000000,9.004983,3.912968,12.000000,10.000000,9.000000,7.000000,7.000000,0.000000,0.000000
4.915652,0.010240,19533.000000,9.004983,2.731286,7.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
4.915652,0.010240,19533.000000,9.004983,1.881021,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
4.915652,0.010240,19533.000000,9.004983,1.091091,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3.159591,0.010240,19533.000000,42.904877,9.923143,37.000000,34.000000,29.000000,23.000000,20.000000,14.000000,11.000000
3.159591,0.010240,19533.000000,42.904877,5.518429,34.000000,31.000000,26.000000,20.000000,18.000000,12.000000,10.000000
3.159591,0.010240,19533.000000,42.904877,3.912968,26.000000,23.000000,19.000000,14.000000,12.000000,9.000000,7.000000
3.159591,0.010240,19533.000000,42.904877,2.731286,19.000000,16.000000,13.000000,9.000000,7.000000,0.000000,0.000000
3.159591,0.010240,19533.000000,42.904877,1.881021,15.000000,12.000000,10.000000,8.000000,0.000000,0.000000,0.000000
3.159591,0.010240,19533.000000,42.904877,1.091091,7.000000,7.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3.159591,0.010240,19533.000000,28.079588,9.923143,33.000000,30.000000,26.000000,21.000000,18.000000,12.000000,10.000000
3.159591,0.010240,19533.000000,28.079588,5.518429,30.000000,27.000000,23.000000,18.000000,16.000000,10.000000,9.000000
3.159591,0.010240,19533.000000,28.079588,3.912968,23.000000,20.000000,17.000000,13.000000,11.000000,8.000000,7.000000
3.159591,0.010240,19533.000000,28.079588,2.731286,16.000000,13.000000,11.000000,8.000000,0.000000,0.000000,0.000000
3.159591,0.010240,19533.000000,28.079588,1.881021,13.000000,10.000000,9.000000,7.000000,0.000000,0.000000,0.000000
3.159591,0.010240,19533.000000,28.079588,1.091091,7.000000,7.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3.159591,0.010240,19533.000000,20.032401,9.923143,28.000000,25.000000,22.000000,18.000000,15.000000,11.000000,9.000000
3.159591,0.010240,19533.000000,20.032401,5.518429,26.000000,23.000000,20.000000,16.000000,14.000000,10.000000,9.000000
3.159591,0.010240,19533.000000,20.032401,3.912968,22.000000,19.000000,16.000000,13.000000,11.000000,8.000000,7.000000
3.159591,0.010240,19533.000000,20.032401,2.731286,15.000000,12.000000,10.000000,8.000000,0.000000,0.000000,0.000000
3.159591,0.010240,19533.000000,20.032401,1.881021,12.000000,9.000000,8.000000,7.000000,0.000000,0.000000,0.000000
3.159591,0.010240,19533.000000,20.032401,1.091091,7.000000,7.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3.159591,0.010240,19533.000000,13.626143,9.923143,25.000000,22.000000,20.000000,16.000000,13.000000,9.000000,7.000000
3.159591,0.010240,19533.000000,13.626143,5.518429,23.000000,20.000000,18.000000,14.000000,12.000000,8.000000,7.000000
3.159591,0.010240,19533.000000,13.626143,3.912968,20.000000,17.000000,15.000000,12.000000,10.000000,7.000000,0.000000
3.159591,0.010240,19533.000000,13.626143,2.731286,15.000000,12.000000,10.000000,8.000000,0.000000,0.000000,0.000000
3.159591,0.010240,19533.000000,13.626143,1.881021,12.000000,9.000000,8.000000,7.000000,0.000000,0.000000,0.000000
3.159591,0.010240,19533.000000,13.626143,1.091091,7.000000,7.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3.159591,0.010240,19533.000000,9.004983,9.923143,15.000000,13.000000,12.000000,10.000000,9.000000,7.000000,0.000000
3.159591,0.010240,19533.000000,9.004983,5.518429,14.000000,12.000000,11.000000,9.000000,9.000000,7.000000,0.000000
3.159591,0.010240,19533.000000,9.004983,3.912968,12.000000,10.000000,9.000000,7.000000,7.000000,0.000000,0.000000
3.159591,0.010240,19533.000000,9.004983,2.731286,7.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3.159591,0.010240,19533.000000,9.004983,1.881021,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3.159591,0.010240,19533.000000,9.004983,1.091091,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2.147782,0.010240,19533.000000,42.904877,9.923143,25.000000,22.000000,18.000000,13.000000,11.000000,8.000000,0.000000
2.147782,0.010240,19533.000000,42.904877,5.518429,23.000000,20.000000,16.000000,11.000000,10.000000,7.000000,0.000000
2.147782,0.010240,19533.000000,42.904877,3.912968,19.000000,16.000000,13.000000,9.000000,8.000000,0.000000,0.000000
2.147782,0.010240,19533.000000,42.904877,2.731286,15.000000,12.000000,10.000000,7.000000,0.000000,0.000000,0.000000
2.147782,0.010240,19533.000000,42.904877,1.881021,11.000000,8.000000,7.000000,0.000000,0.000000,0.000000,0.000000
2.147782,0.010240,19533.000000,42.904877,1.091091,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2.147782,0.010240,19533.000000,28.079588,9.923143,24.000000,21.000000,17.000000,13.000000,11.000000,8.000000,0.000000
2.147782,0.010240,19533.000000,28.079588,5.518429,22.000000,19.000000,15.000000,11.000000,10.000000,7.000000,0.000000
2.147782,0.010240,19533.000000,28.079588,3.912968,18.000000,15.000000,12.000000,9.000000,8.000000,0.000000,0.000000
2.147782,0.010240,19533.000000,28.079588,2.731286,14.000000,11.000000,9.000000,7.000000,0.000000,0.000000,0.000000
2.147782,0.010240,19533.000000,28.079588,1.881021,11.000000,8.000000,7.000000,0.000000,0.000000,0.000000,0.000000
2.147782,0.010240,19533.000000,28.079588,1.091091,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2.147782,0.010240,19533.000000,20.032401,9.923143,22.000000,19.000000,16.000000,12.000000,10.000000,8.000000,0.000000
2.147782,0.010240,19533.000000,20.032401,5.518429,20.000000,17.000000,14.000000,10.000000,9.000000,7.000000,0.000000
2.147782,0.010240,19533.000000,20.032401,3.912968,18.000000,15.000000,12.000000,9.000000,8.000000,0.000000,0.000000
2.147782,0.010240,19533.000000,20.032401,2.731286,14.000000,11.000000,9.000000,7.000000,0.000000,0.000000,0.000000
2.147782,0.010240,19533.000000,20.032401,1.881021,11.000000,8.000000,7.000000,0.000000,0.000000,0.000000,0.000000
2.147782,0.010240,19533.000000,20.032401,1.091091,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2.147782,0.010240,19533.000000,13.626143,9.923143,21.000000,18.000000,16.000000,12.000000,10.000000,8.000000,0.000000
2.147782,0.010240,19533.000000,13.626143,5.518429,19.000000,16.000000,14.000000,10.000000,9.000000,7.000000,0.000000
