Symbol,Name,Sector,Value,Close,MA,Grade
LEN.B,Lennar Corporation,Consumer Cyclical,18.72635/-0.56471,77.19, ,1824.4441
GHLD,Guild Holdings Company,Financial Services,0.15808/-0.65034,12.53, ,1306.4164
PAM,Pampa Energia S.A. Pampa Energi,Utilities,4e-05/-0.0347,18.85, ,1264.9935
PKX,POSCO,Basic Materials,2e-05/-0.73595,54.58, ,1134.0393
BEN,Franklin Resources  Inc.,Financial Services,29.43954/-0.51629,31.33, ,1010.1857
BABA,Alibaba Group Holding Limited,Consumer Cyclical,675.57631/-0.28402,111.79, ,991.1227
SB,Safe Bulkers  Inc,Industrials,0.01094/-0.56249,3.46, ,955.1686
LBTYB,Liberty Global plc,Communication Services,711.4931/-0.89649,25.4, ,921.4201
GGB,Gerdau S.A.,Basic Materials,0.83516/-0.26712,5.14, ,856.6652
WLK,Westlake Chemical Corporation,Basic Materials,5.10454/-0.68516,99.27, ,821.6698
KARO,Karooooo Ltd.,Technology,2.27824/-0.76857,36.0, ,787.718
DHI,D.R. Horton  Inc.,Consumer Cyclical,158.32549/-0.24819,84.02, ,770.9459
TSM,Taiwan Semiconductor Manufactur,Technology,7.61423/-0.10562,116.38, ,743.7255
FINV,FinVolution Group,Financial Services,2.86841/-0.28675,3.66, ,734.0695
ZIM,ZIM Integrated Shipping Service,Industrials,0.00481/0.02462,61.57,r+,710.7409
UMC,United Microelectronics Corpora,Technology,0.00018/-0.10095,9.36, ,685.256
BIO.B,Bio-Rad Laboratories  Inc.,Healthcare,17.1659/-0.99956,569.5, ,640.8487
MT,Arcelor Mittal NY Registry Shar,Basic Materials,477.76643/-0.14454,28.68, ,640.3457
SEB,Seaboard Corporation,Industrials,28.92199/-0.7866,3643.31, ,637.3681
QFIN,360 DigiTech  Inc.,Financial Services,24006521.04908/0.27034,18.18, ,552.8775
OPY,Oppenheimer Holdings  Inc.,Financial Services,84613.84967/-0.3004,41.2, ,548.1991
ACT,Enact Holdings  Inc.,Financial Services,38538962817.84687/-0.62878,20.86, ,529.7486
MDC,M.D.C. Holdings  Inc.,Consumer Cyclical,1530641.32522/-0.25166,46.96, ,524.3943
IFS,Intercorp Financial Services In,Financial Services,2841482249.73036/-0.39983,30.99,r+,506.4981
SRAD,Sportradar Group AG,Technology,1370134486037.0945/-0.75081,12.65, ,468.7055
TX,Ternium S.A. Ternium S.A.,Basic Materials,8920.81365/-0.14787,40.95, ,421.9308
BZH,Beazer Homes USA  Inc.,Consumer Cyclical,2802.96349/-0.16782,18.17, ,421.4838
DQ,DAQO New Energy Corp.,Technology,9e-05/-0.35038,36.07, ,418.7708
IMOS,ChipMOS TECHNOLOGIES INC.,Technology,0.01029/-0.13223,31.3, ,411.2383
CCS,Century Communities  Inc.,Consumer Cyclical,352.76096/-0.23134,62.08, ,410.5623
BIO,Bio-Rad Laboratories  Inc.,Healthcare,14.34072/-0.29785,564.67, ,403.684
CMRE,Costamare Inc.,Industrials,2667.2607/-0.52873,12.56, ,398.1901
JEF,Jefferies Financial Group Inc.,Financial Services,5786925.28211/-0.22012,34.86, ,392.9644
X,United States Steel Corporation,Basic Materials,13067.46115/-0.12617,18.59, ,389.533
PANL,Pangaea Logistics Solutions Ltd,Industrials,6.38609/-0.46067,3.87, ,387.5801
SID,Companhia Siderurgica Nacional ,Basic Materials,11.40465/-0.32424,4.78, ,358.0647
DAC,Danaos Corporation,Industrials,46.51118/0.04499,85.89, ,352.2762
GTN.A,Gray Television  Inc.,Communication Services,86713.42562/-0.61823,18.81, ,335.5511
CO,Global Cord Blood Corporation,Healthcare,32481.5851/-0.63912,3.9, ,334.4845
BRK.A,Berkshire Hathaway Inc.,Financial Services,415947.38597/-0.14767,461200.0, ,325.5033
WOR,Worthington Industries  Inc.,Industrials,3339706.57075/-0.49065,53.63, ,320.2883
