Symbol,Name,Sector,Country,sss_value,sss_value_normalized,ma,annualized_revenue,annualized_revenue_bonus,annualized_earnings,annualized_retained_earnings,annualized_retained_earnings_bonus,quarterized_revenue,quarterized_revenue_bonus,quarterized_earnings,quarterized_earnings_bonus,quarterized_retained_earnings,quarterized_retained_earnings_bonus,effective_earnings,effective_retained_earnings,effective_revenue,annualized_total_revenue,annualized_total_revenue_bonus,annualized_net_income,quarterized_total_revenue,quarterized_total_revenue_bonus,quarterized_net_income,quarterized_net_income_bonus,effective_net_income,effective_total_revenue,enterprise_value_to_revenue,evr_effective,evr_effective_normalized,trailing_price_to_earnings,forward_price_to_earnings,effective_price_to_earnings,trailing_12months_price_to_sales,trailing_12months_price_to_sales_normalized,pe_effective,pe_effective_normalized,enterprise_value_to_ebitda,effective_ev_to_ebitda,effective_ev_to_ebitda_normalized,ebitda,quarterized_ebitd,annualized_ebitd,ebitd,profit_margin,annualized_profit_margin,annualized_profit_margin_boost,quarterized_profit_margin,quarterized_profit_margin_boost,effective_profit_margin,effective_profit_margin_normalized,held_percent_institutions,held_percent_insiders,held_percent_insiders_normalized,forward_eps,trailing_eps,previous_close,trailing_eps_percentage,price_to_book,price_to_book_normalized,shares_outstanding,net_income_to_common_shareholders,nitcsh_to_shares_outstanding,employees,enterprise_value,market_cap,nitcsh_to_num_employees,eqg,rqg,eqg_yoy,rqg_yoy,niqg_yoy,trqg_yoy,eqg_effective,eqg_factor_effective,eqg_factor_effective_normalized,rqg_effective,rqg_factor_effective,rqg_factor_effective_normalized,price_to_earnings_to_growth_ratio,effective_peg_ratio,effective_peg_ratio_normalized,annualized_cash_flow_from_operating_activities,annualized_cash_flow_from_operating_activities_bonus,quarterized_cash_flow_from_operating_activities,quarterized_cash_flow_from_operating_activities_bonus,annualized_ev_to_cfo_ratio,quarterized_ev_to_cfo_ratio,ev_to_cfo_ratio_effective,ev_to_cfo_ratio_effective_normalized,annualized_debt_to_equity,annualized_debt_to_equity_bonus,quarterized_debt_to_equity,quarterized_debt_to_equity_bonus,debt_to_equity_effective,debt_to_equity_effective_used,debt_to_equity_effective_used_normalized,financial_currency,summary_currency,financial_currency_conversion_rate_mult_to_usd,summary_currency_conversion_rate_mult_to_usd,last_dividend_0,last_dividend_1,last_dividend_2,last_dividend_3,fifty_two_week_change,fifty_two_week_low,fifty_two_week_high,two_hundred_day_average,previous_close_percentage_from_200d_ma,previous_close_percentage_from_52w_low,previous_close_percentage_from_52w_high,dist_from_low_factor,eff_dist_from_low_factor,eff_dist_from_low_factor_normalized,annualized_total_ratio,annualized_total_ratio_bonus,quarterized_total_ratio,quarterized_total_ratio_bonus,annualized_other_current_ratio,annualized_other_current_ratio_bonus,quarterized_other_current_ratio,quarterized_other_current_ratio_bonus,annualized_other_ratio,annualized_other_ratio_bonus,quarterized_other_ratio,quarterized_other_ratio_bonus,annualized_total_current_ratio,annualized_total_current_ratio_bonus,quarterized_total_current_ratio,quarterized_total_current_ratio_bonus,total_ratio_effective,other_current_ratio_effective,other_ratio_effective,total_current_ratio_effective,effective_current_ratio,effective_current_ratio_normalized,annualized_total_assets,annualized_total_assets_bonus,quarterized_total_assets,quarterized_total_assets_bonus,effective_total_assets,annualized_total_stockholder_equity,annualized_total_stockholder_equity_bonus,quarterized_total_stockholder_equity,quarterized_total_stockholder_equity_bonus,effective_total_stockholder_equity,calculated_roa,calculated_roa_normalized,calculated_roe,calculated_roe_normalized,annualized_working_capital,quarterized_working_capital,effective_working_capital,annualized_total_liabilities,annualized_total_liabilities_bonus,quarterized_total_liabilities,quarterized_total_liabilities_bonus,effective_total_liabilities,altman_z_score_factor,altman_z_score_factor_normalized,skip_reason
TLV:LVPR,LEVINSTEIN PROP,Real Estate,Israel,0.1387583,-0.9354591769387042, ,66747666.6666667,0.0,141179066.6666667,1267522133.3333333,2.0,198078000.0,0.0,447000000.0,0.0,3520153500.0,1.5,447000000.0,3520153500.0,198078000.0,66747666.6666667,1.0,141179066.6666667,198078000.0,3.0,447000000.0,2.0,447000000.0,198078000.0,9.6887882,9.6887882,0.015942687273982126,37.435566,37.435566,37.435566,7.8524975,7.8524975e-13,37.435566,0.004133692036528405,13.5301621,13.5301637,0.000135301637,47280011.7237589,47280000.0,48664066.6666667,47280000.0,3.3850298,2.6866555,0.0,61571.6821212,10000.0,20525.9189355,1.0,0.23813,0.69824,0.7787381640141418,0.0,3.104,11680.0,0.0002658,1.8174425,0.00018174425000000002,14401800,223500000,15.5188935,10000000,639706379,51846901982,22.35,49.469,-0.058,4.6798246,-0.010505,4.6798246,-0.010505,38.2717061,62.1141303,0.4229829792269071,-0.0461263,0.2453874,0.00924753841647882,0.9781525,0.9781525,6.365909727205896e-06,29869800.0,1.0,28758000.0,1.0,21.4164936,22.2444669,22.2444669,2.22444669e-12,0.669975,1.0,0.671373,1.0,0.671373,0.8203736,0.0017748243427253968,USD,ILS,1.0,0.3098132,100.0,75.0,100.0,50.0,11680.0,6960.0,14890.0,9549.495,22.3101326,67.816092,-21.5580927,1.1904161,2.8457244,0.04446444375,2.4955312,1.0,2.4923935,1.0,0.0119457,1.0,0.0029864,1.0,0.0151657,0.5,0.0077209,0.25,0.434568,1.0,1.2661317,4.0,2.5023935,0.0129864,0.0177209,1.2761317,1.8892626,0.0005197819905063138,3368896000.0,2.0,2553359700.0,1.5,2553359700.0,2020990133.3333333,2.0,1530159700.0,1.5,1530159700.0,0.2750635,0.3318267053282203,0.3921264,0.08692256964032971,-68456666.6666667,-79138066.6666667,-79138066.6666667,1347905866.6666667,2.0,1023200000.0,1.5,1023200000.0,5.6951185,0.055152643880949766,None
TLV:NVMI,NOVA,Technology,Israel,0.2341347,-0.0683735488097473, ,251937600.0,1.0,45276600.0,417202666.6666667,2.0,1112685000.0,3.0,169064000.0,2.0,241620000.0,1.0,169064000.0,241620000.0,1112685000.0,251937600.0,1.0,45276600.0,1112685000.0,3.0,169064000.0,2.0,169064000.0,1112685000.0,10.6154395,10.6154395,0.017467471548648077,38.3887213,30.8942935,37.4519178,8.4512434,8.451243399999999e-13,5.350274,0.0005907853784565452,36.4371305,36.5178398,0.00036517839799999995,107577574.9766176,107101000.0,59304666.6666667,107101000.0,0.22791,1.7598363,10.0,6148.222096,25000.0,2050.0709474,0.09987718230019704,0.84908,0.00512,0.005710270680213689,3.56,2.865,34770.0,8.24e-05,6.9706988,0.00069706988,28499900,84532000,2.9660455,713,3937183157,313452412059,118558.2047686,1.183,0.622,0.130357,0.1019461,0.130357,0.1019461,0.9198392,9.840825,0.06701376090185115,0.4919865,7.264175,0.2737538169299851,40.7157207,40.7157207,0.00026498179215851155,52056733.3333333,1.0,118078000.0,1.0,75.6325437,33.3439181,33.3439181,3.3343918100000002e-12,1.0450232,2.0,0.7353606,1.0,0.7353606,0.8585317,0.0018573768831193708,USD,ILS,1.0,0.3098132,0.0,0.0,0.0,0.0,34770.0,25930.0,46500.0,35621.15,-2.3894512,34.0917856,-25.2258065,0.8595041,0.8605041,0.0134453765625,7.3024852,2.0,2.3603504,1.0,1.007103,1.0,0.0530742,0.25,0.3956718,0.5,1.2061741,2.0,46.2894378,6.0,0.8277737,0.25,2.3703504,0.0630742,1.2161741,0.8377737,1.604062,0.00044131638410432666,1039760666.6666666,2.0,1110960800.0,1.5,1110960800.0,669156800.0,2.0,640420800.0,1.5,640420800.0,0.2521782,0.3042187031779971,0.3639889,0.08068533643375454,377047466.6666667,329782066.6666667,329782066.6666667,185301933.3333333,1.0,470540000.0,1.5,470540000.0,20.041821,0.1940889230555502,None
TLV:SPNS,SAPIENS,Technology,Israel,0.1314927,-0.006722904314079764, ,1642919200.0,0.0,38583133.3333333,62020000.0,2.0,1383105000.0,0.0,94346000.0,0.0,15505000.0,1.0,94346000.0,15505000.0,1383105000.0,1642919200.0,4.0,38583133.3333333,1383105000.0,3.0,94346000.0,2.0,94346000.0,1383105000.0,2.9838109,2.9838109,0.0049097950209500045,35.4779426,35.4779426,35.4779426,3.1676135,3.1676135e-13,5.0682775,0.0005596468967683324,17.528921,17.5288964,0.000175288964,78477779.0522985,78478000.0,68718333.3333333,78478000.0,0.10232,0.0979937,0.0,1092.7044601,10000.0,364.3025913,0.01774841810711486,0.2267,0.47277,0.527274349508716,0.0,0.751,8610.0,8.72e-05,3.7358295,0.00037358295,54811000,47171000,0.8606119,10000000,1375626919,146038071380,4.7171,0.643,0.173,0.4377361,0.1845437,0.4377361,0.1845437,0.591684,7.9421,0.05408387919291239,0.1758859,4.4438756,0.16746952096583959,59.9609616,59.9609616,0.0003902316547798622,69158000.0,1.0,80542000.0,1.0,19.8910743,17.0796221,17.0796221,1.70796221e-12,1.6474185,2.0,0.7732179,1.0,0.7732179,0.8803281,0.0019045319613712548,USD,ILS,1.0,0.3098132,37.0,37.0,14.0,22.0,8610.0,7901.0,11900.0,9771.0,-11.8821001,8.9735477,-27.6470588,0.3545886,0.3555886,0.005556071875,4.4633824,2.0,2.2954692,1.0,1.0854514,1.0,0.2713629,1.0,0.7366777,2.0,0.3800369,1.0,1.8423903,1.0,1.8874354,1.0,2.3054692,0.2813629,0.3900369,1.8974354,2.1014523,0.0005781605264657605,1314706000.0,2.0,707002733.3333334,1.0,707002733.3333334,726026933.3333334,2.0,398778200.0,1.0,398778200.0,0.233445,0.28161964501050263,0.3365877,0.07461131868022251,120870533.3333333,134510533.3333333,134510533.3333333,293293533.3333333,1.0,308042933.3333333,1.0,308042933.3333333,16.94201,0.16406974572302396,None
TLV:ENRG,ENERGIX,Technology,Israel,0.7298356,-0.00640184297182074, ,290200619.9534934,4.0,19596655.6480267,55414593.4385067,2.0,79796417.2316,1.0,21512499.1684,1.0,129019848.2608,1.0,21512499.1684,129019848.2608,79796417.2316,290200619.9534934,4.0,19596655.6480267,79796417.2316,1.0,21512499.1684,1.0,21512499.1684,79796417.2316,9.0549104,9.0549104,0.01489965533575483,94.36619,94.36619,94.36619,7.8680873,7.8680873e-13,13.4808843,0.001488579712572552,13.2287138,13.0640001,0.000130640001,180804524.0520855,185307000.0,174350066.6666667,185307000.0,0.26959,3944.9480033,14000.0,2.695649,10.0,1315.9720808,0.06411269989593493,0.21097,0.52536,0.5859273055775516,0.0,0.142,1368.0,0.0001038,4.343598,0.0004343598,488144000,69437000,0.142247,66,2332249341,202652835802,1052075.7575758,-0.207,0.044,0.5371832,0.2182625,0.5371832,0.2182625,-0.0209542,0.2479046,0.001688173460138662,0.0875656,3.2091489,0.12093827041221655,-4503.448455,22.2052059,0.00014451359704485727,45453624.0116,1.0,51947928.31,1.0,51.3105257,44.8959067,44.8959067,4.489590669999999e-12,1.4322183,1.0,1.572167,1.0,1.572167,1.2548608,0.0027148088316979796,ILS,ILS,0.3098132,0.3098132,5.0,5.0,4.0,4.0,1368.0,1094.0,1560.0,1301.2,5.1337227,25.0457038,-12.3076923,1.1759657,2.6446478,0.041322621875,1.7054298,1.0,1.6442666,1.0,1.5244193,1.0,0.3784244,1.0,0.874897,1.0,0.2039015,0.5,2.6459614,1.0,0.5405132,0.25,1.6542666,0.3884244,0.2139015,0.5505132,1.1023899,0.00030329421465076175,1886721492.6576,2.0,1228521056.63992,1.0,1228521056.63992,774253218.0261867,2.0,478037058.43936,1.0,478037058.43936,0.1175109,0.14176091988633155,0.1450017,0.032142493762766795,464285666.6666667,336144333.3333333,336144333.3333333,1107921001.71552,2.0,749438089.4915733,1.0,749438089.4915733,12.7777078,0.12374182695377349,None
TLV:NICE,NICE,Technology,Israel,1.373147,-0.005058757374824908, ,6320257600.0,4.0,185264466.6666667,2621381066.6666665,2.0,5508111000.0,3.0,199001000.0,1.0,1454388000.0,1.0,199001000.0,1454388000.0,5508111000.0,6320257600.0,4.0,185264466.6666667,5508111000.0,3.0,199001000.0,1.0,199001000.0,5508111000.0,9.622798,9.622798,0.01583410185545192,76.3353081,31.5837332,70.7413612,7.8179192,7.8179192e-13,10.1059087,0.0011159097825600695,39.7886896,39.788697,0.00039788697,444037165.0886099,444037000.0,405091200.0,444037000.0,0.10839,1659.6342487,14000.0,1.2639507,12.5,553.6698631,0.026974181513618693,0.10954,1.23e-05,1.3718033079419605e-05,7.2,2.979,73710.0,4.04e-05,5.2288546,0.00052288546,63121400,199000992,3.1526708,6383,17667663523,1435398793557,31176.7181576,-0.073,0.197,0.0967364,0.0645473,0.0967364,0.0645473,-0.0305659,0.2469434,0.0016816279086245504,0.1638868,4.2982937,0.1619831992843108,-2314.3876176,43.207974,0.00028120161424671455,435130666.6666667,1.0,516027000.0,1.0,40.603122,34.2378665,34.2378665,3.4237866500000004e-12,0.6223388,1.0,1.2036991,2.0,1.2036991,1.0981322,0.002375736810753776,USD,ILS,1.0,0.3098132,16.0,16.0,16.0,16.0,73710.0,68860.0,99480.0,86230.15,-14.5194575,7.0432762,-25.9047045,0.3167864,0.3177864,0.0049654125,2.6167992,1.0,2.6792141,1.0,0.0124924,0.5,0.0223017,1.0,20.4809481,12.0,4.4557043,2.0,1.5120295,1.0,1.9534614,1.0,2.6892141,0.0323017,4.4657043,1.9634614,2.3263377,0.0006400319575986312,7675036533.333333,2.0,4338776333.333333,1.0,4338776333.333333,4709750800.0,2.0,4042226800.0,1.5,4042226800.0,0.1458657,0.1759671299586989,0.1492305,0.03307989089413827,504283866.6666667,961318266.6666666,961318266.6666666,2939073466.6666665,2.0,1620255266.6666667,1.0,1620255266.6666667,23.1060128,0.22376315707338956,None
TLV:SRAC,S.R ACCORD,Financial Services,Israel,0.3288478,0.00024505230985802026, ,101674578.5928533,4.0,15440883.3458667,-81236325.7141333,0.5,33593974.7156,1.0,19911694.364,1.0,-343379601.3408,0.375,19911694.364,-343379601.3408,33593974.7156,101674578.5928533,4.0,15440883.3458667,33593974.7156,1.0,19911694.364,1.0,19911694.364,33593974.7156,4.2416525,4.2416525,0.0069795456290813,11.370814,11.370814,11.370814,2.0912276,2.0912275999999998e-13,11.370814,0.0012555825463049148,0.0,100000.0,1.0,0.0,1598000.0,702866.6666667,1598000.0,0.59308,855.6622666,1400.0,63.8825399,100.0,306.7136288,0.014942747740737318,0.1,0.63807,0.7116313306492087,0.0,4.749,5471.0,0.000868,2.7224603,0.00027224602999999996,13545800,64270000,4.7446441,37,459638466,22662004745,1737027.027027,0.028,0.195,0.3394522,0.2531472,0.3394522,0.2531472,0.1058631,3.5036604,0.02385912363311858,0.2095368,4.8275188,0.18192729357446116,107.410591,107.410591,0.000699038366769838,-52467774.2053867,0.5,-119100868.8496,0.5,11415.0093991,385923.6892214,385923.6892214,3.859236892214e-08,6.0884821,2.0,5.6774654,2.0,5.6774654,2.3837433,0.0051570718946204125,ILS,ILS,0.3098132,0.3098132,73.8238,73.8238,59.059,59.059,5471.0,4950.0,7297.0,5912.735,-7.4709081,10.5252525,-25.0239825,0.443971,0.444971,0.006952671875,2.7238776,2.0,0.6769965,0.5,0.0312818,0.1666667,0.0478214,1.0,6.5215385,1.0,70.6613546,1.0,3.1102636,2.0,1.607792,1.0,0.6869965,0.0578214,70.6713546,1.617792,1.1523943,0.00031705163861399166,442710628.9635733,2.0,470613438.46624,1.5,470613438.46624,115826804.2604267,2.0,122427673.97252,1.5,122427673.97252,0.1423101,0.17167778210460333,0.2626405,0.05821945972426497,239075866.6666667,365366600.0,365366600.0,163441912.3515733,1.0,348185764.49372,1.5,348185764.49372,6.2476471,0.06050343914707807,None
TLV:ASPF,ALTSHU FUND PEN,Financial Services,Israel,0.000915,0.002492731458088398, ,3055178133.333333,0.0,105057200.0,87898866.6666667,1.0,3884241000.0,0.0,463048000.0,0.0,989025000.0,1.5,463048000.0,989025000.0,3884241000.0,3055178133.333333,4.0,105057200.0,3884241000.0,3.0,463048000.0,2.0,463048000.0,3884241000.0,0.7249629,0.7249629,0.0011929104611801895,11.929066,11.929066,11.929066,0.0064977,6.4977e-16,11.929066,0.0013172255797447208,2.5974739,2.5820768,2.5820767999999998e-05,365751862.5954198,370088000.0,185233000.0,370088000.0,0.17882,0.1441119,0.0,183.9126897,1000.0,61.4128738,0.002991967082837162,0.0304,0.69881,0.7793738777422126,0.0,1.156,1412.0,0.0008187,5.987842,0.0005987842,196916000,192798000,0.9790875,951,938767901,841288950,202731.8611987,0.977,0.696,0.7439338,0.3160708,0.7439338,0.3160708,0.9187335,9.8350585,0.06697449235960591,0.6010177,8.0025332,0.3015791894618354,12.9842512,12.9842512,8.45027447300547e-05,191098400.0,2.0,177331000.0,1.0,4.9124844,5.2938736,5.2938736,5.2938736e-13,1.574585,1.0,6.0382028,2.0,6.0382028,2.4582755,0.00531831740870921,USD,ILS,1.0,0.3098132,20.8211,17.2129,0.0,0.0,-0.3304884,1314.0,2349.0,1780.97,-20.7173619,7.4581431,-39.8893146,0.189372,0.190372,0.0029745625,1.6358858,1.0,1.4034558,1.0,0.0038442,0.1666667,8.4166901,2.0,96.3518231,6.0,0.5971034,0.25,1.7859364,2.0,13.3088809,1.0,1.4134558,8.4266901,0.6071034,13.3188809,7.3661683,0.0020266116639256555,1260298533.3333333,2.0,1576574866.6666667,1.0,1576574866.6666667,490330933.3333333,2.0,588887400.0,1.5,588887400.0,0.393705,0.4749515403579427,0.8863099,0.19646811335748796,-44909200.0,587480000.0,587480000.0,769967600.0,2.0,1183983266.6666667,1.0,1183983266.6666667,2.2318243,0.021613423991572782,None
TLV:SPNTC,SPUNTECH,Consumer Cyclical,Israel,0.8848713,0.0027191373659331145, ,208501330.0474933,1.0,18457389.8947733,120630106.8048,2.0,209248145.0932,1.0,3147469.7521,0.125,275647000.304,1.0,3147469.7521,275647000.304,209248145.0932,208501330.0474933,1.0,18457389.8947733,209248145.0932,1.0,3147469.7521,0.125,3147469.7521,209248145.0932,0.3147702,0.3147702,0.0005179474210994528,5.3570245,5.3570245,5.3570245,0.1974188,1.9741880000000002e-14,5.3570245,0.0005915307789158994,1.6609086,1.6608747,1.6608746999999998e-05,128032776.5342287,128038000.0,107751333.3333333,128038000.0,0.12033,1.0052085,10.0,7.93e-05,0.00125,0.3762059,1.8328334101979916e-05,0.06085,0.69773,0.7781693675206048,0.0,1.21,657.0,0.0018417,1.8420006,0.00018420006,66395900,81274000,1.2240816,402,212642059,13333685657,202174.1293532,1.3229763,-0.182,1.3229763,0.1046195,1.3229763,0.1046195,1.3229763,11.7520707,0.08002890570571579,-0.1103451,0.2389655,0.009005526125070273,4.0492218,4.0492218,2.6352721527813064e-05,30231386.16808,1.0,6612756.2118667,0.3333333,7.0338177,32.1563434,32.1563434,3.2156343399999997e-12,1.5147793,1.0,1.3386268,1.0,1.3386268,1.1579904,0.002505236090681513,ILS,ILS,0.3098132,0.3098132,60.0,45.2714,25.0,38.0,657.0,639.7,975.0,796.976,-17.5633896,2.7043927,-32.6153846,0.1031912,0.1041912,0.0016279875,5.0250036,3.0,1.7480972,1.0,0.0,1.0,0.0,1.0,0.0079437,1.0,0.0019859,1.0,0.9695961,1.0,2.6979284,2.0,1.7580972,0.01,0.0119859,2.7079284,2.2330128,0.0006143560127692557,186918916.36696,1.0,194492465.2746667,1.0,194492465.2746667,149701573.0062933,2.0,83207109.4419733,1.0,83207109.4419733,0.116183,0.14015898912486977,0.1378269,0.030552057483405247,-14053066.6666667,59303200.0,59303200.0,112068129.8638133,1.0,111285355.8326933,1.0,111285355.8326933,8.8026961,0.08524703449024378,None
TLV:ONE,ONE TECHNOLOGI,Technology,Israel,6.8873435,0.0028424829390386814, ,6879664000.0,0.0,85115666.6666667,643852666.6666666,2.0,2571411000.0,0.0,125871000.0,0.0,2212323000.0,1.5,125871000.0,2212323000.0,2571411000.0,6879664000.0,4.0,85115666.6666667,2571411000.0,1.0,125871000.0,1.0,125871000.0,2571411000.0,0.5712955,0.5712955,0.0009400541439778048,32.668555,32.668555,32.668555,0.4989019,4.989019e-14,4.6669364,0.0005153302031459747,5.9992228,5.7762022,5.7762022e-05,264523705.7426152,284191000.0,172068066.6666667,284191000.0,0.04895,0.0497129,0.0,0.4777357,10.0,0.1931329,9.40922063498812e-06,0.31471,0.48705,0.5432006513277494,0.0,1.765,5789.0,0.0003049,7.9542004,0.0007954200400000001,71814496,125871000,1.7527241,6300,1468948167,128288193486,19979.5238095,0.263,0.361,0.1491783,0.1382996,0.1491783,0.1382996,0.2345446,5.0929802,0.03468202690329948,0.3053249,5.7756212,0.21765697393602726,139.2850635,139.2850635,0.0009064804727168217,170369933.3333333,1.0,276719000.0,1.0,8.6221092,5.3084471,5.3084471,5.308447100000001e-13,1.9204008,1.0,5.0024045,2.0,5.0024045,2.2376056,0.004840912589457617,USD,ILS,1.0,0.3098132,27.9653,27.9681,30.585,29.6265,5789.0,3930.0,46000.0,6034.565,-4.0693074,47.302799,-87.4152174,0.0883765,0.0893765,0.0013965078125,1.539797,1.0,1.42059,1.0,0.0017167,0.3333333,0.0043971,1.0,0.0524794,0.1666667,0.4741201,1.0,0.6632814,0.5,1.1674573,1.0,1.43059,0.0143971,0.4841201,1.1774573,1.3040236,0.0003587685388337276,2365269333.333333,2.0,1821745200.0,1.0,1821745200.0,808891466.6666666,2.0,770919700.0,1.5,770919700.0,0.1690936,0.20398843241683448,0.2632738,0.05835984319080337,184251866.6666667,137810466.6666667,137810466.6666667,1532119466.6666667,2.0,1285942666.6666667,1.0,1285942666.6666667,7.9711233,0.07719392049455004,None
TLV:KLIL,KLIL,Basic Materials,Israel,3.6309834,0.0031871010964028175, ,115672827.1000267,1.0,15503403.6496267,67052147.9785333,1.0,122552187.8976,1.0,15468353.4496,1.0,308653879.0056,1.0,15468353.4496,308653879.0056,122552187.8976,115672827.1000267,1.0,15503403.6496267,122552187.8976,1.0,15468353.4496,1.0,15468353.4496,122552187.8976,0.4950815,0.4950815,0.0008146456880576648,12.823475,12.823475,12.823475,0.4977414,4.977414e-14,12.823475,0.0014159875795151885,2.731623,2.7047236,2.7047236e-05,73154242.2025632,74595000.0,80477533.3333333,74595000.0,0.12622,1.3349664,10.0,1.1466712,10.0,0.8702858,4.239935871980975e-05,0.18829,0.65347,0.7288067541795389,0.0,21.64,27970.0,0.0007737,1.8864973,0.00018864973,2290140,49928000,21.8012873,343,195894202,19689058137,145562.6822157,-0.475,-0.129,-0.0500289,-0.0343541,-0.0500289,-0.0343541,-0.3687572,0.2131243,0.0014513275952549095,-0.1053385,0.2394661,0.009024391469139649,-34.7748437,2875.6419715,0.01871495211465839,21304346.0064267,1.0,6118655.7934,0.5,9.1950348,32.0158886,32.0158886,3.2015888599999997e-12,0.2907175,1.0,0.2896769,1.0,0.2896769,0.5392164,0.0011665592270603963,ILS,ILS,0.3098132,0.3098132,389.709,1039.22,783.479,1536.81,27970.0,27740.0,35050.0,30655.5,-8.7602551,0.8291276,-20.1997147,0.0629275,0.0639275,0.0009988671875,4.4915979,1.0,4.469206,1.0,0.5092574,1.0,0.6453402,1.0,0.1302044,1.0,0.785245,4.0,3.9166891,1.0,3.7928362,1.0,4.479206,0.6553402,0.795245,3.8028362,4.1410211,0.001139295400272384,125070432.2040533,1.0,135343342.2149333,1.0,135343342.2149333,95922152.9831733,1.0,104683773.55024,1.0,104683773.55024,0.2142897,0.25851138059674483,0.2477627,0.0549215011920292,215633333.3333333,219658733.3333333,219658733.3333333,27894795.6678933,1.0,30312639.8433333,1.0,30312639.8433333,19.9386368,0.1930896670371301,None
TLV:PIU,POALIM IBI,Financial Services,Israel,5.7635484,0.0036176657534563194, ,74697800.0,0.0,29036000.0,2677516.6666667,0.25,40450333.3333333,0.0,23735500.0,0.0,32531333.3333333,0.6666667,23735500.0,32531333.3333333,40450333.3333333,74697800.0,1.0,29036000.0,40450333.3333333,0.3333333,23735500.0,0.5,23735500.0,40450333.3333333,0.3754936,0.3754936,0.0006178664364013795,5.919201,5.919201,5.919201,0.701675,7.01675e-14,5.919201,0.0006536071616043143,0.0,100000.0,1.0,0.0,939000.0,862600.0,939000.0,0.39115,0.3778747,0.0,0.0397452,0.1,0.27059,1.3182844619541442e-05,0.42091,0.29741,0.3316975787113971,0.0,2.203,1295.0,0.0017012,1.960018,0.0001960018,21078400,47471000,2.2521159,14,45565258,8515597670,3390785.7142857,-0.202,-0.112,0.2510366,0.1809374,0.2510366,0.1809374,-0.0887408,0.2411259,0.0016420120680779987,-0.0387657,0.2461234,0.009275274919145739,-66.7021016,1499.2031378,0.009756956955054167,39448933.3333333,1.0,26672500.0,0.5,1.1550441,1.7083235,1.7083235,1.7083235e-13,0.260142,1.0,0.1676052,0.5,0.1676052,0.4103961,0.000887864978150889,USD,ILS,1.0,0.3098132,37.9536,57.2059,59.3746,71.8241,1295.0,1250.0,1850.0,1508.195,-14.1357716,3.6,-30.0,0.15,0.151,0.002359375,5.3838535,1.0,4.035109,1.0,0.0,1.0,0.0,1.0,1.3181767,2.0,0.0990587,0.25,5.9665205,1.0,4.3662235,1.0,4.045109,0.01,0.1090587,4.3762235,4.2106662,0.0011584564574525832,177769466.6666667,1.0,189277400.0,1.0,189277400.0,140675733.3333333,1.0,94488400.0,0.6666667,94488400.0,0.2254006,0.27191517041339197,0.3512001,0.0778504460549985,125297000.0,124987800.0,124987800.0,37093733.3333333,1.0,47544800.0,1.0,47544800.0,10.4264485,0.1009717710111849,None
TLV:KRUR,KERUR,Consumer Defensive,Israel,2.2741409,0.004262655798507009, ,285014037.1722934,1.0,25049657.1270133,163363488.3035467,1.0,301965321.8308,1.0,28554553.2044,1.0,1014801656.463,1.5,28554553.2044,1014801656.463,301965321.8308,285014037.1722934,1.0,25049657.1270133,301965321.8308,1.0,28554553.2044,1.0,28554553.2044,301965321.8308,0.3658894,0.3658894,0.0006020629371447046,11.872184,11.872184,11.872184,0.3475954,3.475954e-14,11.872184,0.0013109445829401897,1.7839044,1.7492548,1.7492548e-05,207945932.6154915,216024000.0,190744000.0,216024000.0,0.09456,0.8835751,10.0,1.0107226,10.0,0.6639526,3.2347034112644784e-05,0.23187,0.6249,0.6969429976690497,0.0,7.323,8585.0,0.000853,1.69808,0.000169808,12578000,92167000,7.3276356,964,356545165,33879043764,95608.9211618,-0.04,0.044,-0.0138841,-0.0206059,-0.0138841,-0.0206059,-0.033471,0.2466529,0.001679649670261203,0.0278485,1.918788,0.07231041912941968,-354.7003379,281.9281216,0.0018348150944421516,51934895.5013867,1.0,55788062.924,1.0,6.8652331,6.3910655,6.3910655,6.3910655e-13,0.5528718,1.0,1.0691836,2.0,1.0691836,1.0350133,0.002239183220772272,ILS,ILS,0.3098132,0.3098132,795.068,318.027,278.274,198.767,8585.0,8415.0,10660.0,9559.615,-10.1951282,2.020202,-19.4652908,0.1514477,0.1524477,0.0023819953125,1.2992209,0.3333333,3.6262455,1.0,0.3303757,1.0,0.011637,1.0,0.0,1.0,0.0,1.0,6.6952436,2.0,3.2342078,1.0,3.6362455,0.021637,0.01,3.2442078,3.4402267,0.000946489853723335,700770442.68896,2.0,370551210.38304,1.0,370551210.38304,180706831.2395467,1.0,288809569.0125999,1.5,288809569.0125999,0.1770597,0.2135984487123994,0.1988698,0.04408342320195336,482577666.6666667,502875466.6666667,502875466.6666667,198244013.96768,2.0,102674056.6302667,1.0,102674056.6302667,14.3565164,0.13903131890586912,None
