Symbol,Name,Sector,Country,sss_value,sss_value_normalized,annualized_revenue,annualized_revenue_bonus,annualized_earnings,annualized_retained_earnings,annualized_retained_earnings_bonus,quarterized_revenue,quarterized_revenue_bonus,quarterized_earnings,quarterized_earnings_bonus,quarterized_retained_earnings,quarterized_retained_earnings_bonus,effective_earnings,effective_retained_earnings,effective_revenue,annualized_total_revenue,annualized_total_revenue_bonus,annualized_net_income,quarterized_total_revenue,quarterized_total_revenue_bonus,quarterized_net_income,quarterized_net_income_bonus,effective_net_income,effective_total_revenue,enterprise_value_to_revenue,evr_effective,evr_effective_normalized,trailing_price_to_earnings,forward_price_to_earnings,effective_price_to_earnings,trailing_12months_price_to_sales,trailing_12months_price_to_sales_normalized,pe_effective,pe_effective_normalized,enterprise_value_to_ebitda,effective_ev_to_ebitda,effective_ev_to_ebitda_normalized,ebitda,quarterized_ebitd,annualized_ebitd,ebitd,profit_margin,annualized_profit_margin,annualized_profit_margin_boost,quarterized_profit_margin,quarterized_profit_margin_boost,effective_profit_margin,effective_profit_margin_normalized,held_percent_institutions,held_percent_insiders,held_percent_insiders_normalized,forward_eps,trailing_eps,previous_close,trailing_eps_percentage,price_to_book,price_to_book_normalized,shares_outstanding,net_income_to_common_shareholders,nitcsh_to_shares_outstanding,employees,enterprise_value,market_cap,nitcsh_to_num_employees,eqg,rqg,eqg_yoy,rqg_yoy,niqg_yoy,trqg_yoy,eqg_effective,eqg_factor_effective,eqg_factor_effective_normalized,rqg_effective,rqg_factor_effective,rqg_factor_effective_normalized,price_to_earnings_to_growth_ratio,effective_peg_ratio,effective_peg_ratio_normalized,annualized_cash_flow_from_operating_activities,annualized_cash_flow_from_operating_activities_bonus,quarterized_cash_flow_from_operating_activities,quarterized_cash_flow_from_operating_activities_bonus,annualized_ev_to_cfo_ratio,quarterized_ev_to_cfo_ratio,ev_to_cfo_ratio_effective,ev_to_cfo_ratio_effective_normalized,annualized_debt_to_equity,annualized_debt_to_equity_bonus,quarterized_debt_to_equity,quarterized_debt_to_equity_bonus,debt_to_equity_effective,debt_to_equity_effective_used,debt_to_equity_effective_used_normalized,financial_currency,summary_currency,financial_currency_conversion_rate_mult_to_usd,summary_currency_conversion_rate_mult_to_usd,last_dividend_0,last_dividend_1,last_dividend_2,last_dividend_3,fifty_two_week_change,fifty_two_week_low,fifty_two_week_high,two_hundred_day_average,previous_close_percentage_from_200d_ma,previous_close_percentage_from_52w_low,previous_close_percentage_from_52w_high,dist_from_low_factor,eff_dist_from_low_factor,eff_dist_from_low_factor_normalized,annualized_total_ratio,annualized_total_ratio_bonus,quarterized_total_ratio,quarterized_total_ratio_bonus,annualized_other_current_ratio,annualized_other_current_ratio_bonus,quarterized_other_current_ratio,quarterized_other_current_ratio_bonus,annualized_other_ratio,annualized_other_ratio_bonus,quarterized_other_ratio,quarterized_other_ratio_bonus,annualized_total_current_ratio,annualized_total_current_ratio_bonus,quarterized_total_current_ratio,quarterized_total_current_ratio_bonus,total_ratio_effective,other_current_ratio_effective,other_ratio_effective,total_current_ratio_effective,effective_current_ratio,effective_current_ratio_normalized,annualized_total_assets,annualized_total_assets_bonus,quarterized_total_assets,quarterized_total_assets_bonus,effective_total_assets,annualized_total_stockholder_equity,annualized_total_stockholder_equity_bonus,quarterized_total_stockholder_equity,quarterized_total_stockholder_equity_bonus,effective_total_stockholder_equity,calculated_roa,calculated_roa_normalized,calculated_roe,calculated_roe_normalized,annualized_working_capital,quarterized_working_capital,effective_working_capital,annualized_total_liabilities,annualized_total_liabilities_bonus,quarterized_total_liabilities,quarterized_total_liabilities_bonus,effective_total_liabilities,altman_z_score_factor,altman_z_score_factor_normalized,skip_reason
TLV:CDEV,COHEN DEV&IND BLDG,Energy,Israel,117990.8964389,-2.73642772565145,44511200.0,4.0,6299600.0,5756300.0,0.5,5112000.0,0.3333333,15305000.0,1.0,39209000.0,1.0,15305000.0,39209000.0,5112000.0,44511200.0,4.0,6299600.0,5112000.0,0.3333333,15305000.0,1.0,15305000.0,5112000.0,9.4099524,9.4099524,0.02777223007541502,36.82731,36.82731,36.82731,9.4572344,0.008253489309533972,36.82731,0.00020838817705349534,10.2601455,10.2598115,0.000102598115,14066084.242715,14067000.0,10349400.0,14067000.0,0.9979799,2.2140923,4.75,2.6439675,2.75,2.2960049,0.00040080876794905824,0.4627,0.24634,0.2799604505006194,0.0,1.992,7335.0,0.0002716,27.080103,0.0027080103,6427430,15305000,2.3812006,10000000,144310675,14503614533,1.5305,1.758,0.616,-0.2415517,0.3384045,-0.2415517,0.3384045,1.2581121,11.4665595,0.06959961957852019,0.5466011,7.6432478,0.2392895941122605,29.2718835,29.2718835,1.1277612977977627e-05,16078800.0,2.0,15867000.0,1.5,8.9752143,9.0950195,9.0950195,4.516743695026372e-09,0.1751469,1.0,0.2004825,1.0,0.2004825,0.4487527,0.00011546758187952966,USD,ILS,1.0,0.3075952,83.579,106.373,75.981,113.971,7335.0,5803.0,7913.0,6713.4824,9.2577527,26.4001379,-7.3044357,1.4521327,9.3764369,0.1465068265625,7.1680968,1.0,5.9997545,1.0,1.5495847,1.0,0.525,1.0,2.0462828,1.0,0.5115707,1.0,1.234472,0.3333333,1.1541198,0.5,6.0097545,0.535,0.5215707,1.1641198,3.5869372,0.002938469712100149,10329366.6666667,0.5,19349800.0,1.0,19349800.0,8865600.0,0.5,16127266.6666667,1.0,16127266.6666667,0.8909642,1.0,1.0490139,0.32991707523110403,3738666.6666667,4232333.3333333,4232333.3333333,2927533.3333333,1.0,3222533.3333333,1.0,3222533.3333333,52.0209067,1.0,None
TLV:SPRG,SPRING VENTURES,Financial Services,Israel,12469.8038759,-2.399787399788783,4284739.61696,1.0,1389263.9739733,314798.0542667,0.25,27025314.272,1.0,18699942.5888,1.0,44521944.4384,1.0,18699942.5888,44521944.4384,27025314.272,4284739.61696,1.0,1389263.9739733,27025314.272,1.0,18699942.5888,1.0,18699942.5888,27025314.272,0.471851,0.471851,0.0013926058258609951,23.762375,23.762375,23.762375,0.7074659,0.0006174175235108722,23.762375,0.00013445994314305204,0.5099928,0.5093702,5.093702e-06,81474044.0289505,81673000.0,9508200.0,81673000.0,0.69194,0.0296302,0.1,1.8463926,2.75,1.2670115,0.00022117954464830988,0.01,0.77936,0.8857269493470924,0.0,1.01,2327.0,0.000434,2.734731,0.0002734731,8419880,60794000,7.2202929,5,41449713,6215795292,12158800.0,14.774,8.832,1.2863332,1.1409514,1.2863332,1.1409514,11.4020833,34.016971,0.20647590419894943,6.9092379,26.5354291,0.8307531333648068,2.084038,2.084038,8.029197709603668e-07,-4212741.8338133,0.25,-2626247.8176,0.5,10163.5005836,1578286.4371047,1578286.4371047,0.000783804291319913,0.0415891,0.5,0.1833385,1.0,0.1833385,0.4291805,0.00011043150163742187,ILS,ILS,0.3075952,0.3075952,0.0,0.0,0.0,0.0,2327.0,728.8,2400.0,1533.5133,51.7430595,219.2919868,-3.0416667,1.9126376,48.9549003,0.7649203171875,49.6821065,3.0,6.8347758,1.0,7.7437314,3.0,3.4666667,1.0,3.4611032,0.3333333,8.2125533,1.0,72.175256,3.0,11.2312893,1.0,6.8447758,3.4766667,8.2225533,11.2412893,9.0430326,0.00740818027163516,23266418.9026133,1.0,43415770.58016,1.0,43415770.58016,21442051.2650667,1.0,36464611.21248,1.0,36464611.21248,0.5307177,0.5956666945765048,0.6128244,0.19273456117050136,36352800.0,32053800.0,32053800.0,912183.8187733,0.5,6951159.36768,1.0,6951159.36768,23.3594265,0.44903920330938796,None
TLV:GLRS,GLOBRANDS GROUP,Consumer Defensive,Israel,4.7282635,-2.2138710250483444,495437466.6666667,0.0,69362333.3333333,40491200.0,1.0,1611501000.0,0.0,152356000.0,0.0,208616000.0,1.0,152356000.0,208616000.0,1611501000.0,495437466.6666667,1.0,69362333.3333333,1611501000.0,3.0,152356000.0,2.0,152356000.0,1611501000.0,0.3851092,0.3851092,0.0011365988744596644,6.8488556,6.8488556,6.8488556,0.0028876,2.520057632304249e-06,6.8488556,3.8754406264987135e-05,1.9086282,1.8857276,1.8857276e-05,111064784.6897663,113730000.0,103019600.0,113730000.0,0.14181,0.1388383,0.0,0.1413935,1.0,0.1512665,2.6406276178664178e-05,0.04992,0.69952,0.7949903967451217,0.0,62.609,42880.0,0.0014601,7.4598566,0.00074598566,1176000,76178000,64.7772109,199,206894476,155110662,382804.0201005,0.271,0.141,0.0502436,0.0667107,0.0502436,0.0667107,0.2158109,4.8955451,0.02971493555582113,0.1224277,3.7489666,0.11737009181547423,31.7354489,31.7354489,1.2226753716636847e-05,34750266.6666667,0.5,20407333.3333333,0.3333333,5.9537522,10.1382416,10.1382416,5.034825799488839e-09,4.1109098,1.0,3.4740049,1.0,3.4740049,1.8648683,0.0004798452090088578,USD,ILS,1.0,0.3075952,0.0,0.0,0.0,0.0,42880.0,42620.0,43810.0,42880.0,0.0,0.6100422,-2.122803,0.4369748,0.4379748,0.00684335625,1.2449222,1.0,1.2985627,1.0,1.4256588,1.0,0.8981938,1.0,2.3017417,1.0,5.2859496,2.0,1.1413942,1.0,1.2021448,1.0,1.3085627,0.9081938,5.2959496,1.2121448,1.2603537,0.0010324995859931302,254928933.3333333,1.0,444890700.0,1.5,444890700.0,49821866.6666667,1.0,67779666.6666667,1.0,67779666.6666667,0.4424571,0.4966048018539914,2.3478128,0.7383920576897494,26207000.0,41033400.0,41033400.0,205107066.6666667,1.0,343221200.0,1.5,343221200.0,2.3418764,0.04501798504792305,None
TLV:BRMG,BRIMAG DIGITAL AGE,Consumer Cyclical,Israel,0.001425,-1.9361498360330276,602590644.4049067,4.0,8760126.73888,50827789.5828267,1.0,491141562.1728001,3.0,33980041.744,2.0,321436676.4048001,1.5,33980041.744,321436676.4048001,491141562.1728001,602590644.4049067,4.0,8760126.73888,491141562.1728001,3.0,33980041.744,2.0,33980041.744,491141562.1728001,0.2620711,0.2620711,0.0007734681936666436,7.142073,7.142073,7.142073,0.2279634,0.0001989475363817795,7.142073,4.0413583638147584e-05,2.0147486,1.9214817,1.9214817e-05,76333714.0458015,83401000.0,52658333.3333333,83401000.0,0.10378,2.4387593,36.9075,2.2439886,20.109375,2.0595421,0.000359529952065963,0.12635,0.67767,0.7701583116455092,0.0,5.462,3770.0,0.0014488,1.64398,0.000164398,10111500,55235000,5.4625921,344,139554436,12133081383,160566.8604651,360.511,0.238,0.8811927,0.0458304,0.8811927,0.0458304,270.6035482,164.7503186,1.0,0.1899576,4.6084124,0.1442770353066282,0.0263931,0.0263931,1.0168500673660488e-08,15775101.8573867,1.0,21941380.8064,1.0,8.8464999,6.3603306,6.3603306,3.1586499771477455e-09,2.3321131,2.0,0.5368295,0.5,0.5368295,0.7336865,0.0001887832786580572,ILS,ILS,0.3075952,0.3075952,395.589,148.346,79.1177,98.8971,3770.0,1555.0,3970.0,3274.6084,15.12827,142.4437299,-10.7279597,1.8343685,38.0995237,0.5953050578125,0.6288545,0.3333333,3.869153,2.0,0.2054785,1.0,0.1769313,1.0,1.1575854,1.0,0.801833,1.0,1.8011516,1.0,3.754524,2.0,3.879153,0.1869313,0.811833,3.764524,3.8218385,0.003130904181090281,138221778.81952,1.0,218298836.98304,1.5,218298836.98304,64190627.35008,1.0,105464581.79312,1.5,105464581.79312,0.2556584,0.2869457605591785,0.4221939,0.13278086845981088,140049533.3333333,156114466.6666667,156114466.6666667,74031151.46944,1.0,75222836.79328,1.0,75222836.79328,10.1538423,0.1951877224777399,None
TLV:MRHL,MERCHAVIA HOLD,Healthcare,Israel,41729.868293,-1.9149025483380802,6673400.0,0.0,2891266.6666667,-14226800.0,0.5,9000000.0,0.0,3647000.0,0.0,-63624000.0,0.25,3647000.0,-63624000.0,9000000.0,6673400.0,1.0,2891266.6666667,9000000.0,1.0,3647000.0,1.0,3647000.0,9000000.0,1.5930355,1.5930355,0.004701633604895154,14.953489,14.953489,14.953489,1.4949418,0.00130466113483192,14.953489,8.46146599710784e-05,2.7729707,2.7730057,2.7730057e-05,5170130.338325,5170000.0,4006133.3333333,5170000.0,0.40522,0.0432047,0.0,0.0414717,0.1,0.4332634,7.563388455809482e-05,0.06772,0.6603701,0.7504973235899126,0.0,0.043,66.7,0.0006447,1.27833,0.000127833,68026200,3647000,0.0536117,1,14336981,1345447587,3647000.0,0.742,0.745,1.1457228,0.3238612,1.1457228,0.3238612,0.8429307,9.4311257,0.0572449618315943,0.6397153,8.2482204,0.2582296640525598,17.7398795,17.7398795,6.834664235970988e-06,-2214800.0,1.0,-5488000.0,0.5,15448.1610935,261242.3744985,261242.3744985,0.000129737473118097,0.0165453,0.5,0.0239653,1.0,0.0239653,0.1558071,4.009038625653298e-05,USD,ILS,1.0,0.3075952,0.0,0.0,0.0,0.0,66.7,59.0,113.9,72.777626,-8.3509539,13.0508475,-41.4398595,0.28051,0.28151,0.00439859375,95.1990697,3.0,43.8026172,1.0,1.1015682,1.0,0.2043256,1.0,42.1549163,3.0,16.5988889,1.0,9.1779586,1.0,7.3665235,1.0,43.8126172,0.2143256,16.6088889,7.3765235,25.5945704,0.02096743425410821,66651466.6666667,2.0,40192400.0,1.0,40192400.0,64544533.3333333,2.0,39256000.0,1.0,39256000.0,0.1907385,0.21408099225535662,0.192903,0.06066839873456935,7714200.0,5715200.0,5715200.0,1053466.6666667,1.0,936400.0,1.0,936400.0,29.3377037,0.5639598684657298,None
TLV:ASPF,ALTSHULER SHAHM,Financial Services,Israel,3009.8284855,-1.8329597766697954,3055178133.333333,0.0,105057200.0,175797733.3333333,2.0,3395703000.0,0.0,386926000.0,0.0,739893000.0,1.5,386926000.0,739893000.0,3395703000.0,3055178133.333333,4.0,105057200.0,3395703000.0,3.0,386926000.0,2.0,386926000.0,3395703000.0,1.2125403,1.2125403,0.00357865234125018,22.18559,22.18559,22.18559,0.9467772,0.0008262685652277484,22.18559,0.0001255376691090459,4.4278329,4.407995,4.4079949999999995e-05,312792206.4953109,315595000.0,185233000.0,315595000.0,0.17092,0.0144112,0.0,0.0171956,0.1,0.1776826,3.101767944484149e-05,0.03011,0.71678,0.8146060392540146,0.0,0.819,1799.0,0.0004553,11.715022,0.0011715022,191744000,174110000,0.9080336,951,1372581322,107165812700,183080.9674027,1.085,0.674,0.7439338,0.3160708,0.7439338,0.3160708,0.9997335,10.2486672,0.062207267865034645,0.5845177,7.8953757,0.24718304260877225,22.191505,22.191505,8.549747227193473e-06,191098400.0,2.0,148471000.0,1.0,7.1825893,9.2447772,9.2447772,4.591115954179488e-09,0.7872925,0.5,3.4869476,1.0,3.4869476,1.868337,0.0004807377326666888,USD,ILS,1.0,0.3075952,17.2129,0.0,0.0,0.0,1799.0,1564.0,2349.0,1884.007,-4.5120321,15.0255754,-23.4142188,0.5987261,0.5997261,0.0093707203125,4.9076574,3.0,1.420315,1.0,0.0076885,0.3333333,8.4166901,2.0,48.1759115,3.0,3.6819209,1.0,0.8929682,1.0,9.6815769,1.0,1.430315,8.4266901,3.6919209,9.6915769,5.5609459,0.004555605572848474,1260298533.3333333,2.0,2320921000.0,1.5,2320921000.0,490330933.3333333,2.0,494758300.0,1.5,494758300.0,0.2667123,0.29935243189344757,0.8820505,0.2774067351882877,-44909200.0,662328066.6666666,662328066.6666666,769967600.0,2.0,1217441800.0,1.0,1217441800.0,7.4506262,0.1432236897170422,None
TLV:RIMO,RIMONI INDUSTRIES,Basic Materials,Israel,36226.6388566,-1.832859140654369,214167054.2058667,4.0,11859702.05024,34940046.3632,1.0,180860440.8864,3.0,26823531.8208,2.0,203868254.2512,1.5,26823531.8208,203868254.2512,180860440.8864,214167054.2058667,4.0,11859702.05024,180860440.8864,3.0,26823531.8208,2.0,26823531.8208,180860440.8864,1.0590503,1.0590503,0.003125646904764077,14.351367,14.351367,14.351367,0.9761425,0.000851896161982806,14.351367,8.120753884428948e-05,3.6185499,3.5964415,3.5964415e-05,58076337.6402584,58786000.0,50243933.3333333,58786000.0,0.22247,1.0769865,4.75,6.3495652,27.4725,3.9778148,0.000694398800768034,0.08678,0.7506,0.8530417883647192,0.0,5.157,7555.0,0.0006826,3.998595,0.0003998595,8404000,43602000,5.1882437,362,207584178,19131808021,120447.5138122,0.021,0.288,0.1281393,0.024451,0.1281393,0.024451,0.0477848,2.4359743,0.014785854866322544,0.2221127,4.9628839,0.15537458749633531,300.3330815,300.3330815,0.00011570967948271632,28243104.1751467,2.0,13506505.232,1.0,7.3499066,15.3691999,15.3691999,7.632609995605281e-09,0.4096014,1.0,1.0585959,2.0,1.0585959,1.0298809,0.0002649964159478343,ILS,ILS,0.3075952,0.3075952,147.0,149.0,111.0,108.0,7555.0,5259.0,8901.0,7306.1187,3.4064776,43.6584902,-15.1218964,1.2608457,4.0176456,0.0627757125,3.5165291,1.0,1.4540474,0.5,0.1017016,1.0,0.4200183,2.0,0.1107032,1.0,0.0244385,0.5,4.2781477,3.0,0.6808046,0.5,1.4640474,0.4300183,0.0344385,0.6908046,1.077426,0.0008826426255885426,67525964.1290667,1.0,109246526.29616,1.5,109246526.29616,95854784.83328,2.0,71420621.76656,1.5,71420621.76656,0.3455321,0.3878181637376676,0.4755712,0.14956814144040076,23683000.0,27397800.0,27397800.0,19535104.5694933,1.0,37825904.5296,1.5,37825904.5296,17.600991,0.33834456407119873,None
TLV:RMN,RAM-ON INVESTMENTS,Basic Materials,Israel,74.5895098,-1.7543431376366945,3731991.04256,4.0,18526397.37696,39537774.3493333,1.0,1053821.1552,1.0,32461751.8368,1.0,154504146.1744,1.0,32461751.8368,154504146.1744,1053821.1552,3731991.04256,4.0,18526397.37696,1053821.1552,1.0,32461751.8368,1.0,32461751.8368,1053821.1552,18.5279969,18.5279969,0.054682932587775505,2.3469066,2.3469066,2.3469066,22.2188778,0.019390792554760162,2.3469066,1.3280024744919377e-05,615.922169,612.9610189,0.006129610189,104000.0047444,105000.0,413066.6666667,105000.0,30.82184,964.84218,36.9075,54.4913467,2.75,571.3204647,0.09973421727474992,0.21949,0.19257,0.2188519280380948,0.0,6.336,1513.0,0.0041877,1.5065857,0.00015065857,16632800,105534000,6.3449329,308,63439989,7607743793,342642.8571429,0.152,0.505,5.8813939,0.006388,5.8813939,0.006388,1.5843485,12.8370905,0.07791845629851182,0.380347,6.4172279,0.20090619847715444,1.4813071,1.4813071,5.707049283429405e-07,6040821.1201067,1.0,1234687.1328,0.3333333,10.5018818,51.381429,51.381429,2.5516904661633233e-08,0.3526728,1.0,0.2472391,1.0,0.2472391,0.4982314,0.00012819883863529442,ILS,ILS,0.3075952,0.3075952,39.7278,31.3007,361.163,30.0968,1513.0,1275.0,1854.0,1441.6993,4.9456013,18.6666667,-18.3926645,0.8221071,0.8231071,0.0128610484375,4.6135278,1.0,7.0057873,1.0,0.0,1.0,0.0,1.0,6.1013841,0.3333333,12.4704704,2.0,1.7002319,1.0,3.4030206,2.0,7.0157873,0.01,12.4804704,3.4130206,5.2144039,0.00427171346261844,148011980.36416,2.0,66658484.1460267,1.0,66658484.1460267,55548986.28224,1.0,52993792.95584,1.0,52993792.95584,0.586986,0.658821083944787,0.7125576,0.2241008620817083,21519533.3333333,21370066.6666667,21370066.6666667,17706984.2705067,1.0,12926339.6721067,1.0,12926339.6721067,18.8885725,0.3630957954833186,None
TLV:SPNTC,SPUNTECH INDUSTRIE,Consumer Cyclical,Israel,17.0901646,-1.7400445983261401,828034548.7697067,4.0,18325250.6225067,119766497.4528,2.0,217874601.6832,1.0,66297223.8368,2.0,391454879.376,1.5,66297223.8368,391454879.376,217874601.6832,828034548.7697067,4.0,18325250.6225067,217874601.6832,1.0,66297223.8368,2.0,66297223.8368,217874601.6832,0.3226674,0.3226674,0.0009523101594686035,5.786755,5.786755,5.786755,0.2517974,0.00021974787355047995,5.786755,3.274448569567529e-05,1.3952518,1.3952598,1.3952598e-05,163806880.952381,163805000.0,107751333.3333333,163805000.0,0.15214,0.477474,4.75,0.4194206,2.75,0.424411,7.408853962551551e-05,0.06082,0.69797,0.79322885295087,0.0,1.51,848.8,0.001779,2.2619725,0.00022619725,66357000,107767000,1.6240487,402,228554474,17835214544,268077.1144279,0.345,-0.042,1.3229763,0.1046195,1.3229763,0.1046195,0.5894941,7.9278517,0.0481204028457642,-0.0053451,0.2494655,0.0078100958914366385,9.816477,9.816477,3.7820056373625186e-06,60029910.11776,2.0,15817314.172,0.5,3.8073433,14.4496387,14.4496387,7.175940028895382e-09,0.7573896,0.5,0.6799402,0.5,0.6799402,0.8255849,0.00021242945622222063,ILS,ILS,0.3075952,0.3075952,60.0,45.2714,25.0,38.0,848.8,759.9,1110.0,869.6902,-2.4020278,11.6989078,-23.5315315,0.5078549,0.5088549,0.0079508578125,5.0250036,3.0,3.4761611,2.0,0.0,0.0,0.0,0.0,0.0079437,1.0,0.0019859,0.0,0.9695961,1.0,2.5573127,2.0,3.4861611,0.01,0.0119859,2.5673127,3.0267369,0.002479545699084416,185580735.30656,1.0,191964402.0365867,1.0,191964402.0365867,148629836.5892267,2.0,122181796.48224,1.5,122181796.48224,0.4453621,0.4998653144537121,0.6426113,0.20210260379434206,-14053066.6666667,47142866.6666667,47142866.6666667,111265817.0119467,1.0,110509871.0484267,1.0,110509871.0484267,10.1948348,0.1959757229683196,None
TLV:DORL,DORAL GP RENEWABLE,Technology,Israel,33002758211192.992,-1.7008877262157835,7292142.8571429,0.0,-959571.4285714,447666.6666667,0.5,79833000.0,0.0,23366000.0,0.0,34708000.0,1.0,23366000.0,34708000.0,79833000.0,7292142.8571429,1.0,-959571.4285714,79833000.0,3.0,23366000.0,2.0,23366000.0,79833000.0,22.7657359,22.7657359,0.06719005882016316,15.928369,15.928369,15.928369,0.2804947,0.0002447924953441926,5.3094563,3.0043680070637696e-05,248.5584533,251.3942415,0.002513942415,2388500.5135694,2334000.0,-2303142.8571429,2334000.0,0.38841,-0.0403412,0.0,0.0722506,0.1,0.4762045,8.313002247373136e-05,0.14513,0.60957,0.692764032685161,0.0,1.061,1683.0,0.0006304,9.9120233,0.00099120233,143923008,10360000,0.0719829,10000000,607228556,748163421,1.036,0.119174,13.374,0.119174,0.0518267,0.119174,0.0518267,0.119174,3.7021593,0.02247133317531563,10.0434567,31.9414132,1.0,133.6563636,133.6563636,5.1493944375825915e-05,-4861714.2857143,0.5,-13108000.0,0.75,152.1215865,880175.6618806,880175.6618806,0.0004371104285499183,5.0727414,2.0,0.7441483,1.0,0.7441483,0.8636403,0.00022222140848336192,USD,ILS,1.0,0.3075952,0.0,0.0,0.0,0.0,1683.0,1167.0,1825.0,1375.1748,22.3844416,44.2159383,-7.7808219,1.5683891,14.8841083,0.2325641921875,0.5599362,0.3333333,2.3428536,1.0,44.0182113,3.0,2.7174676,1.0,0.3433997,0.3333333,2.287441,1.0,14.1373793,3.0,16.7342445,1.0,2.3528536,2.7274676,2.297441,16.7442445,9.5485491,0.00782230654187398,361412666.6666667,2.0,380734571.4285714,1.0,380734571.4285714,97480666.6666667,2.0,218397000.0,1.0,218397000.0,0.1613708,0.18111928627435311,0.2069886,0.06509834952442566,31198666.6666667,108838857.1428571,108838857.1428571,262095333.3333333,2.0,162507285.7142857,1.0,162507285.7142857,1.8610139,0.035774345701667674,None
TLV:VISN,VISION SIGMA,Industrials,Israel,88816879410.57864,-1.6835297332603245,274836.3112,0.25,-2018849.8293333,9854970.8405867,0.5,6282939.5552,1.0,5354002.0512,1.0,77803745.0784,1.0,5354002.0512,77803745.0784,6282939.5552,274836.3112,0.25,-2018849.8293333,6282939.5552,1.0,5354002.0512,1.0,5354002.0512,6282939.5552,1.4500038,1.4500038,0.004279494457785574,494.4305109,494.4305109,494.4305109,1.2959865,0.00113102946068994,494.4305109,0.002797746369367716,1.8606434,1.8606268,1.8606267999999997e-05,15919716.3167466,15920000.0,-1725733.3333333,15920000.0,0.85215,-0.7342749,0.1,3.1100656,2.75,1.9257554,0.00033617508797356916,0.01,0.84756,0.9632348762941665,0.0,8.45037,5167.0,0.001619,0.8543617,8.543617e-05,1631480,17406000,10.6688406,7,29620386,2647181969,2486571.4285714,-0.4285714,1.0351573,-0.4285714,1.0351573,-0.4285714,1.0351573,-0.4285714,0.2071429,0.0012573141087691953,1.0351573,10.4242682,0.3263558858441492,-228.1755746,8495.321526,0.0032730025142970486,7022480.4413867,2.0,-3019354.4832,0.5,4.2179379,981017.196414,981017.196414,0.0004871900754710182,1.4137506,2.0,0.9391757,1.0,0.9391757,0.9701108,0.00024961710142627785,ILS,ILS,0.3075952,0.3075952,120.0,120.0,110.0,330.0,5167.0,3501.0,6122.0,5004.3076,3.2510472,47.5864039,-15.5994773,1.2712705,4.2211213,0.0659550203125,0.8070178,0.3333333,2.0788431,1.0,1.7045428,0.3333333,3.220556,1.0,2.8006862,0.3333333,9.0883976,1.0,2.4629911,0.3333333,5.0255604,1.0,2.0888431,3.230556,9.0983976,5.0355604,3.5622018,0.0029182061223956284,46041874.8533333,1.0,54510421.84896,1.0,54510421.84896,13515845.8729067,0.5,28029366.52384,1.0,28029366.52384,0.1982198,0.22247785040072318,0.291014,0.09152451433799352,45205533.3333333,39756200.0,39756200.0,38020366.21504,2.0,26481055.32512,1.0,26481055.32512,7.9957202,0.1537020537936914,None
TLV:MAXO,MAX STOCK LTD.,Consumer Cyclical,Israel,15912.8706708,-1.6684442711835068,3402814666.6666665,0.0,63917133.3333333,112897285.7142857,1.0,1258434000.0,0.0,157590000.0,0.0,805524000.0,1.5,157590000.0,805524000.0,1258434000.0,3402814666.6666665,4.0,63917133.3333333,1258434000.0,1.0,157590000.0,2.0,157590000.0,1258434000.0,0.6290322,0.6290322,0.0018565053509988507,22.798574,22.798574,22.798574,0.5169421,0.0004511441628218542,22.798574,0.00012900625311159614,4.0780972,3.6242988,3.6242988e-05,214907482.8782622,262736000.0,158680333.3333333,262736000.0,0.07274,0.0739145,0.0,0.084148,1.0,0.0895944,1.5640306812557374e-05,0.17155,0.68387,0.777204486822516,0.0,0.561,1265.0,0.0004435,8.802478,0.0008802478000000001,142344992,78795000,0.5535495,1911,681364256,56000547532,41232.3390895,0.378,0.391,0.2089888,0.3076023,0.2089888,0.3076023,0.3357472,6.0443697,0.03668806076591101,0.3701506,6.3340001,0.1983005592251003,67.9039884,67.9039884,2.616144946177728e-05,121089666.6666667,1.0,86036500.0,0.5,5.6269397,7.919479,7.919479,3.932949988853103e-09,7.729946,2.0,1.7368414,0.5,1.7368414,1.3188928,0.00033936143977367076,USD,ILS,1.0,0.3075952,49.1764,0.0,0.0,0.0,1265.0,998.0,1548.0,1176.3007,7.5405294,26.753507,-18.2816537,0.9709091,0.9719091,0.0151860796875,0.4731118,0.3333333,2.7180981,2.0,2.7775214,3.0,0.8845865,1.0,12.8858953,3.0,76.1195831,2.0,0.5589694,0.3333333,3.4380818,2.0,2.7280981,0.8945865,76.1295831,3.4480818,3.08809,0.002529807026796942,1488243142.857143,2.0,851733666.6666666,1.0,851733666.6666666,147595285.7142857,1.0,278321000.0,1.5,278321000.0,0.2850226,0.3199035382117486,0.6662167,0.20952655168260198,111817428.5714286,142955666.6666667,142955666.6666667,1160685142.857143,2.0,650631200.0,1.0,650631200.0,7.4483732,0.1431803802066372,None
