Symbol,Name,Sector,Value,Close,Grade
BBY,Best Buy Co.  Inc.,Consumer Cyclical,0.00298,100.22,1.5244
SID,Companhia Siderurgica Nacional ,Basic Materials,0.00428,4.48,1.4607
PKX,POSCO,Basic Materials,0.00481,60.18,1.3952
ORAN,Orange,Communication Services,0.00515,10.38,1.3626
IP,International Paper Company,Consumer Cyclical,0.00532,47.01,1.3264
UHS,Universal Health Services  Inc.,Healthcare,0.0078,128.3,1.2396
MFC,Manulife Financial Corporation,Financial Services,0.009,18.43,1.1684
GGB,Gerdau S.A.,Basic Materials,0.01051,5.2,1.0788
TSM,Taiwan Semiconductor Manufactur,Technology,0.01093,116.57,1.0342
BABA,Alibaba Group Holding Limited,Consumer Cyclical,0.00226,120.25,0.8834
LOGI,Logitech International S.A. - R,Technology,0.00296,82.62,0.8345
VIPS,Vipshop Holdings Limited,Consumer Cyclical,0.00025,8.47,0.8258
LDOS,Leidos Holdings  Inc.,Technology,0.0028,89.02,0.7889
UWMC,UWM Holdings Corporation,Financial Services,0.00449,6.68,0.7775
ELP,Companhia Paranaense de Energia,Utilities,0.00587,5.44,0.7513
THO,Thor Industries  Inc.,Consumer Cyclical,0.00341,98.68,0.736
UMC,United Microelectronics Corpora,Technology,0.07845,11.01,0.7224
BSAC,Banco Santander - Chile,Financial Services,0.00438,17.22,0.7046
HPE,Hewlett Packard Enterprise Comp,Technology,0.08005,14.95,0.6934
CSAN,Cosan S.A.,Energy,0.00841,15.66,0.6712
LMT,Lockheed Martin Corporation,Industrials,0.01022,344.84,0.6514
ASAI,Sendas Distribuidora S A,Consumer Defensive,0.00799,12.85,0.6096
QFIN,360 DigiTech  Inc.,Financial Services,0.00921,20.51,0.5792
FITBO,Fifth Third Bancorp - Depositar,Financial Services,0.01149,26.31,0.5783
FITBP,Fifth Third Bancorp - Depositar,Financial Services,0.01179,26.55,0.5635
CI,Cigna Corporation,Healthcare,0.01066,218.67,0.5407
ESGRO,Enstar Group Limited - Deposito,Financial Services,0.01176,26.9637,0.5044
ASX,ASE Technology Holding Co.  Ltd,Technology,0.01332,7.24,0.4818
ATHM,Autohome Inc.,Communication Services,0.00036,28.89,0.4495
PAGS,PagSeguro Digital Ltd.,Technology,0.00093,25.21,0.4454
BSBR,Banco Santander Brasil SA,Financial Services,0.00161,5.63,0.4354
CDW,CDW Corporation,Technology,0.25429,187.83,0.4335
LAD,Lithia Motors  Inc.,Consumer Cyclical,0.0026,284.52,0.4317
VIAC,ViacomCBS Inc.,Communication Services,0.00056,29.74,0.4306
CBD,Companhia Brasileira de Distrib,Consumer Cyclical,0.00065,4.09,0.4267
VIACA,ViacomCBS Inc.,Communication Services,0.00066,33.2,0.4233
TX,Ternium S.A. Ternium S.A.,Basic Materials,0.02925,43.31,0.4174
LX,LexinFintech Holdings Ltd.,Financial Services,0.00043,3.71,0.4161
BBDO,Banco Bradesco Sa,Financial Services,0.00121,3.01,0.4112
LU,Lufax Holding Ltd,Financial Services,0.00071,5.7,0.409
ULH,Universal Logistics Holdings  I,Industrials,0.00097,17.42,0.4082
CMI,Cummins Inc.,Industrials,0.00432,218.29,0.4061
EDU,New Oriental Education & Techno,Consumer Defensive,0.00086,2.15,0.4033
FHN,First Horizon Corporation,Financial Services,0.03387,16.31,0.4011
SEM,Select Medical Holdings Corpora,Healthcare,0.00447,28.15,0.4004
BBD,Banco Bradesco Sa,Financial Services,0.00237,3.56,0.3981
LYB,LyondellBasell Industries NV,Basic Materials,0.00472,89.11,0.3981
LEN,Lennar Corporation,Consumer Cyclical,0.26751,108.46,0.3981
MDC,M.D.C. Holdings  Inc.,Consumer Cyclical,0.03473,54.19,0.3927
PHM,PulteGroup  Inc.,Consumer Cyclical,0.04074,53.99,0.3908
KMPR,Kemper Corporation,Financial Services,0.002,54.32,0.3875
DOW,Dow Inc.,Basic Materials,0.0052,54.6,0.3862
TKC,Turkcell Iletisim Hizmetleri AS,Communication Services,0.00449,3.57,0.3805
STLD,Steel Dynamics  Inc.,Basic Materials,0.12303,62.4,0.3771
ERIC,Ericsson,Technology,0.00381,10.58,0.3759
ENIA,Enel Americas S.A.,Utilities,0.00396,5.86,0.3708
CRMT,America's Car-Mart  Inc.,Consumer Cyclical,0.00389,105.23,0.3701
MANT,ManTech International Corporati,Technology,0.003,70.16,0.3694
BAH,Booz Allen Hamilton Holding Cor,Industrials,0.00956,82.75,0.3552
INTC,Intel Corporation,Technology,0.00755,50.83,0.3522
ABEV,Ambev S.A.,Consumer Defensive,0.00826,2.79,0.3459
PGR,Progressive Corporation (The),Financial Services,0.15465,101.52,0.3452
VSH,Vishay Intertechnology  Inc.,Technology,0.00521,20.24,0.3413
EBR.B,Centrais Electricas Brasileiras,Utilities,0.00606,5.84,0.3345
VZ,Verizon Communications Inc.,Communication Services,0.00923,52.75,0.3257
EBR,Centrais Electricas Brasileiras,Utilities,0.00742,5.85,0.3231
RCII,Rent-A-Center Inc.,Industrials,0.01037,46.72,0.3224
CCU,Compania Cervecerias Unidas  S.,Consumer Defensive,0.00636,16.09,0.3221
PNFPP,Pinnacle Financial Partners  In,Financial Services,0.0073,27.89,0.3218
TTEC,TTEC Holdings  Inc.,Technology,0.00982,83.81,0.3148
VALE,VALE S.A.,Basic Materials,0.00784,14.16,0.3129
ESGRP,Enstar Group Limited - Deposita,Financial Services,0.08956,29.01,0.3123
SAIC,SCIENCE APPLICATIONS INTERNATIO,Technology,0.00778,84.16,0.3108
LEN.B,Lennar Corporation,Consumer Cyclical,0.30623,88.97,0.3107
CACI,CACI International  Inc.,Technology,0.09128,265.86,0.3024
SNP,China Petroleum & Chemical Corp,Energy,0.00875,47.42,0.3018
IVZ,Invesco Ltd,Financial Services,0.01438,22.71,0.3011
SRE,DBA Sempra,Utilities,0.01445,128.59,0.301
ALL,Allstate Corporation (The),Financial Services,0.01115,115.82,0.3007
WGO,Winnebago Industries  Inc.,Consumer Cyclical,0.00929,67.87,0.2937
WSM,Williams-Sonoma  Inc.,Consumer Cyclical,0.02266,164.98,0.2831
UNM,Unum Group,Financial Services,0.00954,24.18,0.2829
SKM,SK Telecom Co.  Ltd.,Communication Services,0.01375,46.41,0.2779
FBC,Flagstar Bancorp  Inc.,Financial Services,0.01261,45.78,0.277
ABG,Asbury Automotive Group Inc,Consumer Cyclical,0.00999,165.9,0.2759
WIT,Wipro Limited,Technology,0.20171,8.81,0.2727
FINV,FinVolution Group,Financial Services,0.01092,5.09,0.2716
EBAY,eBay Inc.,Consumer Cyclical,0.01414,64.04,0.2626
SBS,Companhia de saneamento Basico ,Utilities,0.01224,7.01,0.2527
STX,Seagate Technology Holdings PLC,Technology,0.24458,104.61,0.2485
DQ,DAQO New Energy Corp.,Technology,0.00077,40.79,0.2482
FOX,Fox Corporation,Communication Services,0.01529,34.32,0.2446
HIMX,Himax Technologies  Inc.,Technology,0.01344,11.36,0.2443
TGT,Target Corporation,Consumer Defensive,0.03342,224.78,0.2437
BG,Bunge Limited Bunge Limited,Consumer Defensive,0.17841,88.27,0.2408
COF,Capital One Financial Corporati,Financial Services,0.07612,148.02,0.2385
IMOS,ChipMOS TECHNOLOGIES INC.,Technology,0.01329,32.52,0.2375
OLLI,Ollie's Bargain Outlet Holdings,Consumer Defensive,0.00051,47.65,0.2325
VMW,Vmware  Inc.,Technology,0.00283,114.42,0.2317
TME,Tencent Music Entertainment Gro,Communication Services,0.00055,6.29,0.2316
JOUT,Johnson Outdoors Inc.,Consumer Cyclical,0.00077,96.91,0.2313
CNA,CNA Financial Corporation,Financial Services,0.04521,44.41,0.2303
Y,Alleghany Corporation,Financial Services,0.05052,669.49,0.2284
ZIM,ZIM Integrated Shipping Service,Industrials,0.18581,49.76,0.2281
HDB,HDFC Bank Limited,Financial Services,0.00421,65.13,0.2279
OPRA,Opera Limited,Communication Services,0.00085,6.81,0.227
AQN,Algonquin Power & Utilities Cor,Utilities,0.00314,13.83,0.2266
FOXA,Fox Corporation,Communication Services,0.03069,37.01,0.2262
