Symbol,Name,Sector,Country,sss_value,sss_value_normalized,annualized_revenue,annualized_revenue_bonus,annualized_earnings,annualized_retained_earnings,annualized_retained_earnings_bonus,quarterized_revenue,quarterized_revenue_bonus,quarterized_earnings,quarterized_earnings_bonus,quarterized_retained_earnings,quarterized_retained_earnings_bonus,effective_earnings,effective_retained_earnings,effective_revenue,annualized_total_revenue,annualized_total_revenue_bonus,annualized_net_income,quarterized_total_revenue,quarterized_total_revenue_bonus,quarterized_net_income,quarterized_net_income_bonus,effective_net_income,effective_total_revenue,enterprise_value_to_revenue,evr_effective,evr_effective_normalized,trailing_price_to_earnings,forward_price_to_earnings,effective_price_to_earnings,trailing_12months_price_to_sales,trailing_12months_price_to_sales_normalized,pe_effective,pe_effective_normalized,enterprise_value_to_ebitda,effective_ev_to_ebitda,effective_ev_to_ebitda_normalized,ebitda,quarterized_ebitd,annualized_ebitd,ebitd,profit_margin,annualized_profit_margin,annualized_profit_margin_boost,quarterized_profit_margin,quarterized_profit_margin_boost,effective_profit_margin,effective_profit_margin_normalized,held_percent_institutions,held_percent_insiders,held_percent_insiders_normalized,forward_eps,trailing_eps,previous_close,trailing_eps_percentage,price_to_book,price_to_book_normalized,shares_outstanding,net_income_to_common_shareholders,nitcsh_to_shares_outstanding,employees,enterprise_value,market_cap,nitcsh_to_num_employees,eqg,rqg,eqg_yoy,rqg_yoy,niqg_yoy,trqg_yoy,eqg_effective,eqg_factor_effective,eqg_factor_effective_normalized,rqg_effective,rqg_factor_effective,rqg_factor_effective_normalized,price_to_earnings_to_growth_ratio,effective_peg_ratio,effective_peg_ratio_normalized,annualized_cash_flow_from_operating_activities,annualized_cash_flow_from_operating_activities_bonus,quarterized_cash_flow_from_operating_activities,quarterized_cash_flow_from_operating_activities_bonus,annualized_ev_to_cfo_ratio,quarterized_ev_to_cfo_ratio,ev_to_cfo_ratio_effective,ev_to_cfo_ratio_effective_normalized,annualized_debt_to_equity,annualized_debt_to_equity_bonus,quarterized_debt_to_equity,quarterized_debt_to_equity_bonus,debt_to_equity_effective,debt_to_equity_effective_used,debt_to_equity_effective_used_normalized,financial_currency,summary_currency,financial_currency_conversion_rate_mult_to_usd,summary_currency_conversion_rate_mult_to_usd,last_dividend_0,last_dividend_1,last_dividend_2,last_dividend_3,fifty_two_week_change,fifty_two_week_low,fifty_two_week_high,two_hundred_day_average,previous_close_percentage_from_200d_ma,previous_close_percentage_from_52w_low,previous_close_percentage_from_52w_high,dist_from_low_factor,eff_dist_from_low_factor,eff_dist_from_low_factor_normalized,annualized_total_ratio,annualized_total_ratio_bonus,quarterized_total_ratio,quarterized_total_ratio_bonus,annualized_other_current_ratio,annualized_other_current_ratio_bonus,quarterized_other_current_ratio,quarterized_other_current_ratio_bonus,annualized_other_ratio,annualized_other_ratio_bonus,quarterized_other_ratio,quarterized_other_ratio_bonus,annualized_total_current_ratio,annualized_total_current_ratio_bonus,quarterized_total_current_ratio,quarterized_total_current_ratio_bonus,total_ratio_effective,other_current_ratio_effective,other_ratio_effective,total_current_ratio_effective,effective_current_ratio,effective_current_ratio_normalized,annualized_total_assets,annualized_total_assets_bonus,quarterized_total_assets,quarterized_total_assets_bonus,effective_total_assets,annualized_total_stockholder_equity,annualized_total_stockholder_equity_bonus,quarterized_total_stockholder_equity,quarterized_total_stockholder_equity_bonus,effective_total_stockholder_equity,calculated_roa,calculated_roa_normalized,calculated_roe,calculated_roe_normalized,annualized_working_capital,quarterized_working_capital,effective_working_capital,annualized_total_liabilities,annualized_total_liabilities_bonus,quarterized_total_liabilities,quarterized_total_liabilities_bonus,effective_total_liabilities,altman_z_score_factor,altman_z_score_factor_normalized,skip_reason
TLV:TRLT,TERA LIGHT,Utilities,Israel,201507705418.465,-2.353310312520641,1959428.5714286,0.0,-2394428.5714286,-59968000.0,0.125,10710000.0,0.0,876750.0,0.0,-101016000.0,0.25,876750.0,-101016000.0,10710000.0,1959428.5714286,1.0,-2394428.5714286,10710000.0,1.0,876750.0,0.25,876750.0,10710000.0,8.3819037,8.3819037,7.67385496843873e-05,136.29091,136.29091,136.29091,15.547874199999999,0.01423449086441199,136.29091,0.0021142023422081367,10.910341800000001,10.910313,0.00010910313,8227956.5509518,8228000.0,843857.1428571,8228000.0,0.32745,-0.7060367,0.0,0.4093226,1.0,0.0112453,3.3999190629815926e-05,0.07961,0.69193,0.7717007015156755,0.0,0.055,725.2,7.58e-05,1.8958017,0.00018958017,72728400,3507000,0.0482205,8,89769344,16651773880,438375.0,-0.037852,1456.2,-0.037852,0.0,-0.037852,0.0,-0.037852,0.24621479999999996,0.0014944723754846806,1092.15,330.72692810000007,1.0,-3600.6264877999997,27.7729446,0.00020701511355041067,-1590857.1428571,0.5,-7710000.0,0.5,1772.1608147,1164323.5314576,1164323.5314576,0.0001112294423244169,6.140272400000001,2.0,0.08024880000000001,1.0,0.08024880000000001,0.2842822,3.429909910851174e-05,USD,ILS,1.0,0.3054407,0.0,0.0,0.0,0.0,-0.2407078,680.0,1060.0,823.92957,-11.9827681,6.6470588,-31.584905699999997,0.23789470000000001,0.23889470000000002,0.0036508883619946306,420.1023678,12.0,19.5769573,1.0,0.0,1.0,0.0,1.0,266.75,1.0,53.872,1.0,37.40529620000001,0.3333333,31.958248200000003,1.0,19.5869573,0.01,53.882,31.9682482,25.7776028,0.03549450882819586,132619333.3333333,2.0,234667600.0,1.0,234667600.0,103882666.6666667,2.0,215276800.0,1.0,215276800.0,0.10373610000000001,0.11643127748567228,0.10407269999999999,0.023069771669051463,39999333.33333329,150275000.0,150275000.0,7184166.6666667005,0.5,19390800.0,1.0,19390800.0,22.7062723,0.42581312852921377,None
TLV:CDEV,COHEN DEV,Energy,Israel,563696.8448649,-2.21948109728219,11127800.0,1.0,6299600.0,5756300.0,0.5,15336000.0,1.0,15305000.0,1.0,39209000.0,1.0,15305000.0,39209000.0,15336000.0,11127800.0,1.0,6299600.0,15336000.0,1.0,15305000.0,1.0,15305000.0,15336000.0,9.3440419,9.3440419,8.554717988422449e-05,38.965864,38.965864,38.965864,9.936325,0.009096968860111338,38.965864,0.0006044549921558506,10.18828,10.1879483,0.000101879483,14066084.242715,14067000.0,10349400.0,14067000.0,0.9979799000000001,2.2140923,4.75,2.6439675,2.75,1.9530131999999998,0.00590476626584856,0.4627,0.24634,0.27473985925075006,0.0,1.992,7683.0,0.0002593,28.65264,0.002865264,6427430,15305000,2.3812006,10000000,143299874,15238347969,1.5305,1.758,0.616,-0.24155170000000004,0.3384045,-0.24155170000000004,0.3384045,1.2581121000000002,11.4665595,0.0695996195785202,0.5466011,7.6432478,0.023110448985541793,30.971695500000003,30.971695500000003,0.0002308580942037109,8039400.0,1.0,10578000.0,1.0,17.824697699999998,13.5469725,13.5469725,1.2941610777829447e-09,0.0875734,0.5,0.2004825,1.0,0.2004825,0.4487527,5.414272625057861e-05,USD,ILS,1.0,0.3054407,91.177,83.579,106.37299999999999,75.98100000000001,7683.0,6000.0,7971.0,6858.74,12.017659199999999,28.05,-3.6130975,1.7077626000000001,24.8064675,0.3791027741425324,3.5840483999999995,0.5,5.9997545,1.0,0.7747924,0.5,0.525,1.0,2.0462828,1.0,0.5115707,1.0,3.7034161,1.0,2.3082397,1.0,6.0097545,0.535,0.5215707,2.3182397,4.1639971,0.005733622050632728,10329366.6666667,0.5,19349800.0,1.0,19349800.0,8865600.0,0.5,16127266.6666667,1.0,16127266.6666667,0.8909642,1.0,1.0490138999999998,0.23253467192319582,3738666.6666667,4232333.3333333,4232333.3333333,2927533.3333332995,1.0,3222533.3333332995,1.0,3222533.3333332995,53.324500300000004,1.0,None
TLV:RMN,RAM ON,Basic Materials,Israel,639960376.3656157,-2.1532943431514058,3705850.92496,4.0,18396632.27286,39260838.510166705,1.0,1123410.8946,1.0,23232430.5234,1.0,152557244.6662,1.0,23232430.5234,152557244.6662,1123410.8946,3705850.92496,4.0,18396632.27286,1123410.8946,1.0,23232430.5234,1.0,23232430.5234,1123410.8946,24.465800100000003,24.465800100000003,0.00022399088366311558,4.350748,4.350748,4.350748,27.7222164,0.02538042378083123,4.350748,6.749064638248705e-05,-5999.0212023,16.669386199999998,0.00016669386199999998,-14999.999567200002,-15000.0,413066.66666670004,-15000.0,20.6218,964.8421800000001,36.9075,6.7889936,0.6875,330.7519912,1.0,0.21949000000000002,0.19257,0.21477086423608402,0.0,4.613,1968.0,0.002344,2.0669412,0.00020669412,16632800,75847000,4.5600860999999995,308,89985312,10196230400,246256.4935065,-0.919,0.325,5.881393900000001,0.0063880000000000004,5.881393900000001,0.0063880000000000004,0.7810984999999999,9.0879776,0.055162124584807945,0.24534699999999998,5.2032515,0.01573277244127736,5.5700378,5.5700378,4.151817620545283e-05,5998509.1818733,1.0,-1273076.8376,0.5,15.0012795,7068333.2053743,7068333.2053743,0.0006752476776044374,0.3526728,1.0,0.1846181,1.0,0.1846181,0.430672,5.196126106826586e-05,ILS,ILS,0.3054407,0.3054407,39.7278,31.3007,361.1625,30.0968,0.2754375,1283.0,2058.0,1514.62,29.933580699999997,53.390491000000004,-4.3731778,1.7677418999999999,30.5149869,0.4663427465725636,9.2270556,2.0,3.977618,0.5,0.0,1.0,0.0,1.0,3.0506921,0.1666667,5.005603,0.5,1.7002319,1.0,1.7088442,1.0,3.987618,0.01,5.015603,1.7188442,2.8532311000000004,0.00392876084147875,146975254.78556,2.0,40681429.63072439,0.6666667,40681429.63072439,55159902.54184,1.0,50884628.701226704,1.0,50884628.701226704,0.671082,0.7532087147833774,0.5565707,0.12337490011005904,21519533.333333302,18085600.0,18085600.0,17582958.6107733,1.0,9410770.505993301,1.0,9410770.505993301,25.6103163,0.48027297313463996,None
TLV:BRMG,BRIMAG,Consumer Cyclical,Israel,0.001139,-2.0126487891945817,598369897.3211732,4.0,8698767.871580001,50471774.688393295,1.0,162567147.2866,1.0,33742034.129,2.0,319185226.0593,1.5,33742034.129,319185226.0593,162567147.2866,598369897.3211732,4.0,8698767.871580001,162567147.2866,1.0,33742034.129,2.0,33742034.129,162567147.2866,0.2602355,0.2602355,2.382524968211144e-06,7.411205000000001,7.411205000000001,7.411205000000001,0.2348968,0.0002150542454015746,7.411205000000001,0.00011496575207829089,2.0006366,1.908023,1.908023e-05,76333714.0458015,83401000.0,52658333.33333329,83401000.0,0.10378,2.4387592999999996,36.9075,2.2439886,20.109375,1.5965093000000001,0.004826907599883861,0.12635,0.67767,0.7557967054414865,0.0,5.462000000000001,4080.0,0.0013387,1.7059293999999998,0.00017059294,10111500,55235000,5.462592099999999,344,138576950,12502100982,160566.8604651,360.51099999999997,0.23800000000000002,0.8811926999999999,0.0458304,0.8811926999999999,0.0458304,270.6035482,164.75031859999999,1.0,0.1899576,4.608412400000001,0.013934191650117406,0.0273877,0.0273877,2.0414356155035082e-07,15664607.750353303,1.0,21787696.0124,1.0,8.846499900000001,6.360330599999999,6.360330599999999,6.076112064412799e-10,1.1660566,1.0,1.0736591,1.0,1.0736591,1.0371752,0.00012513683578391644,ILS,ILS,0.3054407,0.3054407,395.589,148.346,79.1177,98.8971,4080.0,1958.0,4486.0,3382.58,20.6179898,108.37589380000001,-9.050379,1.6787975,22.386687300000002,0.3421226847108077,1.8865636000000001,1.0,7.7383061,4.0,0.20547849999999998,1.0,0.17693129999999999,1.0,2.3151707999999998,2.0,0.801833,1.0,1.8011515999999999,1.0,3.754524,2.0,7.7483061,0.1869313,0.811833,3.7645239999999998,5.7564151,0.007926304403515362,137253627.09781998,1.0,216769798.67464,1.5,216769798.67464,63741014.65578,1.0,104725872.47167,1.5,104725872.47167,0.2556584,0.2869457605591785,0.4221939,0.09358762550665398,140049533.3333333,156114466.6666667,156114466.6666667,73512612.44204,1.0,74695950.80198,1.0,74695950.80198,10.259708300000002,0.19240139602395864,None
TLV:IDIN,IDI INSUR,Financial Services,Israel,23399.9049414,-1.8275356385629502,681379862.5263001,1.0,62136697.56038671,104567134.93988,1.0,650663523.9715,1.0,62080822.275,1.0,542700926.946,1.0,62080822.275,542700926.946,650663523.9715,681379862.5263001,1.0,62136697.56038671,650663523.9715,1.0,62080822.275,1.0,62080822.275,650663523.9715,0.1035444,0.1035444,9.47976422580478e-07,8.20146,8.20146,8.20146,0.2388187,0.0002186448487858712,8.20146,0.0001272245224683462,0.6362329999999999,0.6314285,6.314285e-06,351656954.3927028,356968000.0,350845600.0,356968000.0,0.09541000000000001,0.4494509,4.75,0.24840460000000003,2.75,0.2654219,0.0008024801272912184,0.13973,0.49346999999999996,0.5503607954228612,0.0,13.839,11350.0,0.0012193,2.0788307,0.00020788307,14674900,203250000,13.8501796,1500,220356688,50874239899,135500.0,-0.355,-0.017,0.024059599999999997,-0.053956899999999995,0.024059599999999997,-0.053956899999999995,-0.2602351,0.2239765,0.0013594905424358919,-0.0262392,0.2473761,0.0007479768926623424,-31.515580699999997,3173.0337096999997,0.023651288805466682,40026985.599333294,1.0,20297908.99815,0.5,5.5052031999999995,10.8561275,10.8561275,1.0371009216966422e-09,3.6381031999999998,0.5,6.421966,1.0,6.421966,2.5351597999999997,0.00030587105782956095,ILS,ILS,0.3054407,0.3054407,340.7175,749.5785,272.574,477.0045,0.1702237,9182.0,13400.0,11826.65,-4.0303044,23.611413600000002,-15.298507500000001,1.0279753,1.1800385,0.018033840124354373,1.1396471000000001,1.0,1.1558441000000002,1.0,13.833309699999997,12.0,1096.2674725,2.0,0.41079350000000003,0.5,0.083972,0.5,2.5845390999999998,3.0,1451.3081402,1.0,1.1658441000000002,1096.2774725,0.093972,1451.3181402,726.2419921000001,1.0,3533552314.7951202,2.0,1836210810.6911867,1.0,1836210810.6911867,217266587.7918333,1.0,247544354.22686002,1.0,247544354.22686002,0.13380920000000002,0.1501847100029384,0.3507867,0.07775880777129887,-491576733.3333333,2823613285.714286,2823613285.714286,3099019139.211453,2.0,1588666456.4643266,1.0,1588666456.4643266,4.7391293,0.08887339353089072,None
TLV:SPRG,SPRING,Financial Services,Israel,823.8800579,-1.816981661197018,4254727.86286,1.0,1379533.1029067,312593.1030583,0.25,26836019.902,1.0,18568961.9158,1.0,44210097.7994,1.0,18568961.9158,44210097.7994,26836019.902,4254727.86286,1.0,1379533.1029067,26836019.902,1.0,18568961.9158,1.0,18568961.9158,26836019.902,0.6930449000000001,0.6930449000000001,6.345009725196584e-06,3.8673495000000004,3.8673495000000004,3.8673495000000004,0.8175467,0.0007484856696602401,3.8673495000000004,5.999196403514708e-05,0.749246,0.7482991,7.482991e-06,81467084.5902976,81673000.0,9508200.0,81673000.0,0.69194,0.029630200000000002,0.1,1.8463926,2.75,0.8569876000000001,0.0025910277875902323,0.01,0.77936,0.8692102651037776,0.0,7.222,2792.0,0.0025867,1.81293,0.000181293,8419880,60794000,7.2202929000000005,5,60884608,7182965021,12158800.0,14.774000000000001,8.832,1.2863332,1.1409513999999998,1.2863332,1.1409513999999998,11.402083300000001,34.016971000000005,0.2064759041989495,6.9092379,26.5354291,0.08023365152769366,0.3391792,0.3391792,2.5281878321946987e-06,-2091617.1881733001,0.5,-2607852.6966,0.5,3435.3791923,2334664.4178965,2334664.4178965,0.00022303373091858166,0.0831781,1.0,0.1833385,1.0,0.1833385,0.4291805,5.178130922351321e-05,ILS,ILS,0.3054407,0.3054407,0.0,0.0,0.0,0.0,2.8038146,733.8,2995.0,1711.376,63.1435757,280.4851458,-6.777963300000001,1.8204493000000002,36.3975001,0.5562417647640923,16.5607022,1.0,6.8347758,1.0,5.1624875999999995,2.0,3.4666667,1.0,3.4611031999999997,0.3333333,8.2125533,1.0,12.029209300000002,0.5,11.2312893,1.0,6.8447758,3.4766667,8.2225533,11.241289300000002,9.0430326,0.012451817298323915,23103453.097146697,1.0,43111671.954059996,1.0,43111671.954059996,21291863.9427333,1.0,36209200.83918,1.0,36209200.83918,0.5307177,0.5956666945765048,0.6128244,0.1358446449570681,36352800.0,32053800.0,32053800.0,1811589.1544132999,1.0,6902471.11488,1.0,6902471.11488,25.1707832,0.4720303623735973,None
TLV:ASPF,ALTSHU FUND PEN,Financial Services,Israel,11.7116163,-1.6462930269706941,3055178133.333333,0.0,105057200.0,87898866.6666667,1.0,3884241000.0,0.0,463048000.0,0.0,989025000.0,1.5,463048000.0,989025000.0,3884241000.0,3055178133.333333,4.0,105057200.0,3884241000.0,3.0,463048000.0,2.0,463048000.0,3884241000.0,0.8228572000000001,0.8228572000000001,7.533475733604028e-06,19.340659,19.340659,19.340659,0.7165045,0.0006559788578402622,19.340659,0.000300020497021033,2.9481136,2.930618,2.930618e-05,365746925.8184832,370088000.0,185233000.0,370088000.0,0.17882,0.1441119,0.0,2.942603,16.0,1.0895116000000002,0.0032940439634154503,0.029169999999999998,0.69962,0.7802772604084183,0.0,0.8190000000000001,1605.0,0.0005103,10.212766,0.0010212766,191744000,192798000,1.0054969,951,1065465519,92769211783,202731.86119870003,0.977,0.696,0.7439338000000001,0.3160708,0.7439338000000001,0.3160708,0.9187334999999999,9.8350585,0.0596967495029779,0.6010177,8.0025332,0.024196799595285205,21.051436499999998,21.051436499999998,0.0001569140607959431,191098400.0,2.0,177331000.0,1.0,5.575481099999999,6.0083433,6.0083433,5.739853713306005e-10,1.5745850000000001,1.0,6.0382028,2.0,6.0382028,2.4582755,0.00029659484487782304,USD,ILS,1.0,0.3054407,20.8211,17.2129,0.0,0.0,1605.0,1557.0,2349.0,1870.875,-14.211264800000002,3.0828516,-31.673052399999996,0.1212121,0.1222121,0.0018676962426748018,1.6358858,1.0,1.4034558000000001,1.0,0.0038442,0.1666667,8.4166901,2.0,96.35182309999999,6.0,0.5971034000000001,0.25,1.7859363999999998,2.0,13.3088809,1.0,1.4134558000000002,8.4266901,0.6071034000000001,13.318880900000002,7.366168300000001,0.010142856486031608,1260298533.3333333,2.0,1576574866.6666667,1.0,1576574866.6666667,490330933.3333333,2.0,588887400.0,1.5,588887400.0,0.393705,0.44188644167745467,0.8863099,0.19646811335748796,-44909200.0,587480000.0,587480000.0,769967600.0,2.0,1183983266.6666667,1.0,1183983266.6666667,7.1810016,0.13466608331255192,None
TLV:MRHL,MERCHAVIA HOLD,Healthcare,Israel,82837.7695003,-1.6117887203520902,6673400.0,0.0,2891266.6666667005,-14226800.0,0.5,9000000.0,0.0,3647000.0,0.0,-63624000.0,0.25,3647000.0,-63624000.0,9000000.0,6673400.0,1.0,2891266.6666667005,9000000.0,1.0,3647000.0,1.0,3647000.0,9000000.0,1.6447982,1.6447982,1.5058563413403426e-05,15.173914000000002,15.173914000000002,15.173914000000002,1.6114471000000001,0.0014753225250197354,15.173914000000002,0.00023538418313638704,2.8635066000000005,2.8634703999999997,2.8634703999999996e-05,5169869.3333333,5170000.0,4006133.3333333,5170000.0,0.40521999999999997,0.4320473,0.0,0.41471720000000006,1.0,0.41832820000000004,0.0012647790826058676,0.06189,0.60353,0.6731093093026109,0.0,0.046,69.8,0.000659,1.3579767,0.00013579767,68026200,3647000,0.0536117,1,14803580,1450302426,3647000.0,0.742,0.745,1.1457228000000002,0.3238612,1.1457228000000002,0.3238612,0.8429306999999999,9.431125699999999,0.0572449618315943,0.6397153,8.2482204,0.024939669858107322,18.001377899999998,18.001377899999998,0.00013417940890690983,-4429600.0,0.5,-5488000.0,0.5,29922.490512,269744.54443169996,269744.54443169996,2.576907056892588e-05,0.0661812,2.0,0.0239653,1.0,0.0239653,0.1558071,1.8798374167323175e-05,USD,ILS,1.0,0.3054407,0.0,0.0,0.0,0.0,-0.1209068,59.0,113.9,72.91,-4.2655328,18.3050847,-38.718173799999995,0.3934426,0.3944426,0.006028036192577328,63.4660464,2.0,43.8026172,1.0,1.1015682,1.0,0.2043256,1.0,14.051638800000001,1.0,16.5988889,1.0,9.1779586,1.0,7.3665235000000004,1.0,43.812617200000005,0.21432559999999998,16.6088889,7.3765235,25.5945704,0.03524248209056431,66651466.6666667,2.0,40192400.0,1.0,40192400.0,64544533.3333333,2.0,39256000.0,1.0,39256000.0,0.1907385,0.21408099225535662,0.192903,0.042760764007035795,7714200.0,5715200.0,5715200.0,1053466.6666667,1.0,936400.0,1.0,936400.0,30.4612338,0.5712427426160053,None
TLV:RIMO,RIMONI,Basic Materials,Israel,1467.6127419000002,-1.5468225312947288,53166739.072633296,1.0,11776632.71734,34695314.5537,1.0,60973599.7375,1.0,17121478.4385,1.0,138862505.441,1.0,17121478.4385,138862505.441,60973599.7375,53166739.072633296,1.0,11776632.71734,60973599.7375,1.0,17121478.4385,1.0,17121478.4385,60973599.7375,1.0482725,1.0482725,9.597212543020135e-06,12.292354,12.292354,12.292354,1.0542871999999999,0.00096522787127172,12.292354,0.00019068420350301836,3.5678528,3.5496936000000003,3.5496936e-05,59259772.579402395,59863000.0,50243933.33333329,59863000.0,0.2808,1.0769865,4.75,0.9554507,2.75,0.772079,0.002334313989157928,0.08678,0.7506,0.8371346040172648,0.0,6.67,8103.0,0.0008232000000000001,4.194720200000001,0.0004194720200000001,8404000,56055000,6.670038099999999,362,209277919,21046206566,154848.0662983,1.3619999999999999,0.081,0.1281393,0.024451,0.1281393,0.024451,1.0535348,10.5141845,0.06381890238116968,0.0668627,2.8357831,0.008574394338832185,11.6677243,11.6677243,8.696936193216566e-05,14022639.998006698,1.0,14283323.4541,1.0,14.9242881,14.6519065,14.6519065,1.3997169557711093e-09,0.4096014,1.0,0.5243310999999999,1.0,0.5243310999999999,0.7251071,8.748532369309629e-05,ILS,ILS,0.3054407,0.3054407,250.0,147.0,149.0,111.0,0.2730558,5730.0,8901.0,7350.84,10.2323,41.4136126,-8.965284800000001,1.4966887,11.240586,0.17178331963580512,3.5165290999999996,1.0,5.8272645999999995,2.0,0.1017016,1.0,0.4200183,2.0,0.11070319999999999,1.0,0.022239500000000002,0.5,1.4260492,1.0,2.8848697,2.0,5.837264599999999,0.4300183,0.0322395,2.8948697,4.3660672,0.006011862777825732,67052989.6167333,1.0,111676053.42389,1.5,111676053.42389,47591692.87724,1.0,48850210.3748067,1.0,48850210.3748067,0.2533138,0.2843142294606225,0.4504893,0.09985986037021068,23683000.0,34227066.6666667,34227066.6666667,19398274.1417267,1.0,25600491.9077867,1.0,25600491.9077867,22.3084443,0.4183526179241102,None
TLV:GLRS,GLOBRANDS,Consumer Defensive,Israel,4105.1506271,-1.47903542548466,495437466.6666667,0.0,69362333.3333333,40491200.0,1.0,554020000.0,0.0,75569000.0,0.0,178670000.0,1.0,75569000.0,178670000.0,554020000.0,495437466.6666667,1.0,69362333.3333333,554020000.0,1.0,75569000.0,1.0,75569000.0,554020000.0,0.3744703,0.3744703,3.4283748358833346e-06,6.987813,6.987813,6.987813,0.0028365,2.5968909201043453e-06,6.987813,0.00010839791598362993,1.9053391,1.8848581000000002,1.8848581000000002e-05,111249298.9740301,113641000.0,103019600.0,113641000.0,0.1364,0.13883829999999997,0.0,0.13258570000000003,1.0,0.1369413,0.00041403016049325597,0.057620000000000005,0.69952,0.7801657316841953,0.0,62.608999999999995,43510.0,0.001439,7.611211,0.0007611210999999999,1176000,75569000,64.2593537,199,207410636,157149240,379743.71859299997,-0.14300000000000002,-0.006,0.0502436,0.0667107,0.0502436,0.0667107,-0.09468910000000001,0.24053110000000003,0.0014599735044154266,0.0121777,1.3535248,0.004092575127691877,-73.7974335,1355.0606742,0.010100406830365732,34750266.6666667,0.5,28575000.0,0.5,5.9686056,7.258464999999999,7.258464999999999,6.934112317309111e-10,4.1109098,1.0,3.7554097,1.0,3.7554097,1.9388880000000002,0.0002339299177799529,USD,ILS,1.0,0.3054407,0.0,0.0,0.0,0.0,43510.0,43500.0,43790.0,43510.0,0.0,0.0229885,-0.6394154000000001,0.0689655,0.0699655,0.0010692419283104032,1.2449222,1.0,1.2700351,1.0,1.4256588,1.0,0.8981938,1.0,2.3017417,1.0,2.7292465,1.0,1.1413942,1.0,1.1792681999999999,1.0,1.2800351,0.9081938,2.7392465,1.1892681999999999,1.2346517,0.001700055509637887,254928933.3333333,1.0,308477600.0,1.0,308477600.0,49821866.66666671,1.0,65672133.3333333,1.0,65672133.3333333,0.344974,0.3871917637094734,1.2507012,0.2772426497074513,26207000.0,39703600.0,39703600.0,205107066.6666667,1.0,242805466.6666667,1.0,242805466.6666667,2.0832078999999997,0.0390666183139085,None
TLV:FBRT,FMS,Industrials,Israel,4510092.730624201,-1.4541516396496164,70074866.6666667,1.0,19401800.0,160434400.0,2.0,191745000.0,3.0,17283000.0,1.0,347458000.0,1.0,17283000.0,347458000.0,191745000.0,70074866.6666667,1.0,19401800.0,191745000.0,3.0,17283000.0,1.0,17283000.0,191745000.0,3.6258865,3.6258865,3.319595181345249e-05,52.223994,52.223994,52.223994,4.3233857,0.003958174182421636,52.223994,0.0008101207221689524,10.1870582,10.1870478,0.000101870478,22748953.3461262,22749000.0,24680200.0,22749000.0,0.27041,1.3155945,4.75,7.4673372,27.4725,3.0187806,0.009127021696974744,0.05952999999999999,0.6778,0.7559416927829763,0.0,1.8840000000000001,9893.0,0.00019040000000000002,9.140654,0.0009140654,9194940,17283000,1.8796206999999998,123,231744437,27632919438,140512.195122,0.14400000000000002,0.183,-0.0387371,-0.1129413,-0.0387371,-0.1129413,0.09831569999999999,3.3855339,0.020549483174110234,0.10901469999999999,3.5517369,0.010739182685862462,531.1865598,531.1865598,0.003959380165740475,24874600.0,1.0,28084000.0,1.0,9.3165091,8.2518315,8.2518315,7.883089116570697e-10,0.3226015,2.0,0.2002803,1.0,0.2002803,0.4485269,5.411548312181887e-05,USD,ILS,1.0,0.3054407,108.756,108.756,108.756,108.756,9893.0,8001.0,10990.0,9780.115,1.1542298,23.647044100000002,-9.9818016,1.2659752,4.1167195,0.06291342299409051,14.8928751,2.0,3.3526687999999996,0.5,0.1411602,1.0,0.21099429999999997,1.0,0.0967367,0.5,0.0410079,0.25,23.9452474,2.0,5.3890486,0.5,3.3626687999999993,0.22099429999999998,0.0510079,5.3990485999999995,4.3808587,0.00603222995593014,212905200.0,2.0,179457000.0,1.5,179457000.0,183931200.0,2.0,99712800.0,1.0,99712800.0,0.19630720000000002,0.22033118726880385,0.27332779999999995,0.060588511077392666,78373333.3333333,87185066.6666667,87185066.6666667,14487000.0,1.0,29887800.0,1.5,29887800.0,23.6540379,0.4435866771732317,None
