Symbol,Name,Sector,Value,Close,Grade
SWX:SPCE,SPCE N,Financial Services,-2.06139,15.5,28.8052
SWX:IREN,INVESTIS N,Real Estate,-1.6797,104.5,23.6344
SWX:HBMN,HBM N,Financial Services,-1.2468,334.5,20.5872
SWX:VZUG,V-ZUG N,Technology,-1.85024,117.8,18.7358
SWX:BKW,BKW N,Utilities,-1.44738,116.6,18.4776
SWX:BEKN,BEKB / BCBE N,Financial Services,-0.73576,209.0,17.8865
SWX:BELL,BELL FOOD GROUP N,Consumer Defensive,-1.43691,285.0,15.1378
SWX:LISP,LINDT PS,Consumer Defensive,-0.80492,11940.0,13.9499
SWX:PEAN,Peach Property N,Real Estate,-1.28591,63.2,13.8839
SWX:EFGN,EFG INTERNATIONAL N,Financial Services,-0.77257,7.27,13.5413
SWX:UBSGEE,UBS GROUP N 2. LINIE,Financial Services,-0.10805,16.295,12.5335
SWX:BCGE,BC GENEVE N,Financial Services,-0.97452,163.0,12.1413
SWX:SWON,SOFTWAREONE N,Technology,-1.15205,19.22,12.1309
SWX:AAM,ANGLO PLC,Basic Materials,-1.61875,32.0,11.9623
SWX:LOGN,LOGITECH N,Technology,-1.17612,74.1,11.59
SWX:HIAG,HIAG IMMOBILIEN N,Real Estate,-1.30837,95.2,11.4766
SWX:PEHN,PRIVATE EQUITY N,Financial Services,-1.51077,97.0,10.8204
SWX:LLBN,LIECHT LANDBK N,Financial Services,-0.86654,53.4,10.6761
SWX:CPHN,CPH N,Basic Materials,-1.09224,60.8,10.6735
SWX:UHRN,SWATCH GROUP N,Consumer Cyclical,-1.51794,58.2,10.6205
SWX:LISPE,LINDT PS 2. LINIE,Consumer Defensive,-0.87291,11990.0,10.4243
SWX:KNIN,KUEHNE+NAGEL INT N,Industrials,-2.33397,293.0,10.1977
SWX:ALPN,ALPINE SELECT N,Financial Services,-1.26982,15.3,10.1785
SWX:BALN,BALOISE N,Financial Services,-0.67682,159.5,10.1437
SWX:BCVN,BC VAUD N,Financial Services,-0.86962,71.6,9.7944
SWX:CLN,CLARIANT N,Basic Materials,-1.26477,19.42,9.6492
SWX:NOVN,NOVARTIS N,Healthcare,-0.92976,81.73,9.5859
