Symbol,Name,Sector,Country,sss_value,sss_value_normalized,ma,annualized_revenue,annualized_revenue_bonus,annualized_earnings,annualized_retained_earnings,annualized_retained_earnings_bonus,quarterized_revenue,quarterized_revenue_bonus,quarterized_earnings,quarterized_earnings_bonus,quarterized_retained_earnings,quarterized_retained_earnings_bonus,effective_earnings,effective_retained_earnings,effective_revenue,annualized_total_revenue,annualized_total_revenue_bonus,annualized_net_income,quarterized_total_revenue,quarterized_total_revenue_bonus,quarterized_net_income,quarterized_net_income_bonus,effective_net_income,effective_total_revenue,enterprise_value_to_revenue,evr_effective,evr_effective_normalized,trailing_price_to_earnings,forward_price_to_earnings,effective_price_to_earnings,trailing_12months_price_to_sales,trailing_12months_price_to_sales_normalized,pe_effective,pe_effective_normalized,enterprise_value_to_ebitda,effective_ev_to_ebitda,effective_ev_to_ebitda_normalized,ebitda,quarterized_ebitd,annualized_ebitd,ebitd,profit_margin,annualized_profit_margin,annualized_profit_margin_boost,quarterized_profit_margin,quarterized_profit_margin_boost,effective_profit_margin,effective_profit_margin_normalized,held_percent_institutions,held_percent_insiders,held_percent_insiders_normalized,forward_eps,trailing_eps,previous_close,trailing_eps_percentage,price_to_book,price_to_book_normalized,shares_outstanding,net_income_to_common_shareholders,nitcsh_to_shares_outstanding,employees,enterprise_value,market_cap,nitcsh_to_num_employees,eqg,rqg,eqg_yoy,rqg_yoy,niqg_yoy,trqg_yoy,eqg_effective,eqg_factor_effective,eqg_factor_effective_normalized,rqg_effective,rqg_factor_effective,rqg_factor_effective_normalized,price_to_earnings_to_growth_ratio,effective_peg_ratio,effective_peg_ratio_normalized,annualized_cash_flow_from_operating_activities,annualized_cash_flow_from_operating_activities_bonus,quarterized_cash_flow_from_operating_activities,quarterized_cash_flow_from_operating_activities_bonus,annualized_ev_to_cfo_ratio,quarterized_ev_to_cfo_ratio,ev_to_cfo_ratio_effective,ev_to_cfo_ratio_effective_normalized,annualized_debt_to_equity,annualized_debt_to_equity_bonus,quarterized_debt_to_equity,quarterized_debt_to_equity_bonus,debt_to_equity_effective,debt_to_equity_effective_used,debt_to_equity_effective_used_normalized,financial_currency,summary_currency,financial_currency_conversion_rate_mult_to_usd,summary_currency_conversion_rate_mult_to_usd,last_dividend_0,last_dividend_1,last_dividend_2,last_dividend_3,fifty_two_week_change,fifty_two_week_low,fifty_two_week_high,two_hundred_day_average,previous_close_percentage_from_200d_ma,previous_close_percentage_from_52w_low,previous_close_percentage_from_52w_high,dist_from_low_factor,eff_dist_from_low_factor,eff_dist_from_low_factor_normalized,annualized_total_ratio,annualized_total_ratio_bonus,quarterized_total_ratio,quarterized_total_ratio_bonus,annualized_other_current_ratio,annualized_other_current_ratio_bonus,quarterized_other_current_ratio,quarterized_other_current_ratio_bonus,annualized_other_ratio,annualized_other_ratio_bonus,quarterized_other_ratio,quarterized_other_ratio_bonus,annualized_total_current_ratio,annualized_total_current_ratio_bonus,quarterized_total_current_ratio,quarterized_total_current_ratio_bonus,total_ratio_effective,other_current_ratio_effective,other_ratio_effective,total_current_ratio_effective,effective_current_ratio,effective_current_ratio_normalized,annualized_total_assets,annualized_total_assets_bonus,quarterized_total_assets,quarterized_total_assets_bonus,effective_total_assets,annualized_total_stockholder_equity,annualized_total_stockholder_equity_bonus,quarterized_total_stockholder_equity,quarterized_total_stockholder_equity_bonus,effective_total_stockholder_equity,calculated_roa,calculated_roa_normalized,calculated_roe,calculated_roe_normalized,annualized_working_capital,quarterized_working_capital,effective_working_capital,annualized_total_liabilities,annualized_total_liabilities_bonus,quarterized_total_liabilities,quarterized_total_liabilities_bonus,effective_total_liabilities,altman_z_score_factor,altman_z_score_factor_normalized,skip_reason
MRNA,"Moderna, Inc.",Healthcare,United States,44.3949049,-2.1284624229878166, ,10082337866.666666,1.0,6214351066.666667,1111474416.6666667,0.25,22600000000.0,1.0,14638000000.0,1.0,45630000000.0,1.5,14638000000.0,45630000000.0,22600000000.0,10082337866.666666,1.0,6214351066.666667,22600000000.0,1.0,14638000000.0,1.0,14638000000.0,22600000000.0,2.482,2.482,0.069258029410944,3.9461988,8.592883,4.5270344,2.5559494,0.09597348706217237,4.5270344,0.0005031744836658508,3.389,3.3890339,3.2894433730530685e-05,16553330951.903215,16553000000.0,6941706400.0,16553000000.0,0.6477,-1.1436116,0.1,1.7422675,2.75,0.4164519,1.594331503261348e-08,0.64207,0.09406,0.10095741026962048,16.58,-1.959,150.0,-0.01306,22.181225,0.022181225000000002,405449984,14638000128,36.1030971,3200,56100360192,57764458496,4574375.04,1.995,2.132,0.446383,16.03155,0.446383,16.03155,1.6078458,12.9300858,0.15261858251794513,5.6068875,23.9288672,1.0,2.81559,2.81559,5.268552999466212e-07,3860637833.3333335,0.5,13412000000.0,1.0,14.5313709,4.1828482,4.1828482,2.183905414132638e-07,0.9599826,1.0,0.763616,1.0,0.763616,0.8748513,7.979288249627858e-05,USD,USD,1.0,1.0,0.0,0.0,0.0,0.0,150.0,115.61,464.85,181.3865,-17.3036582,29.7465617,-67.7315263,0.1969419,0.1979419,0.00317815678210068,2.4738313,1.0,9.5808795,4.0,0.3236296,6.0,0.3036809,4.0,0.3239525,1.0,1.5225955,2.0,2.8409862,1.0,6.7036928,4.0,9.5908795,0.3136809,1.5325955,6.7136928,8.1522861,0.0249846458848429,15456066200.0,1.0,37754700000.0,1.5,37754700000.0,8485590733.333333,1.0,22013200000.0,1.5,22013200000.0,0.4877133,0.6153332265960535,0.7649647,0.05542542618703574,4432772066.666667,6248866666.666667,6248866666.666667,6970475466.666667,1.0,10494333333.333334,1.0,10494333333.333334,2.6904866,0.3703506208899548,None
QDEL,QuidelOrtho Corporation,Healthcare,United States,0.0100844,-1.889582754721971, ,5820572000.0,4.0,606332066.6666666,2307278800.0,2.0,6976416000.0,3.0,2012156000.0,2.0,9417507000.0,1.5,2012156000.0,9417507000.0,6976416000.0,5820572000.0,4.0,606332066.6666666,6976416000.0,3.0,2012156000.0,2.0,2012156000.0,6976416000.0,1.331,1.331,0.03714038563495828,4.606161,7.456049,4.962397,1.5357015,0.057664141567751195,4.962397,0.0005515645183124668,2.256,2.2561076,2.1898093712531654e-05,1372108886.5248227,1371978000.0,844943333.3333334,1371978000.0,0.43263,15.2076969,36.9075,88.594221,200.8926563,34.7458493,1.3301992894392186e-06,0.82561,0.07657,0.08218487034174825,11.49,18.599,86.13,0.215941,2.7185605,0.0027185605000000002,41685900,1006078016,24.1347318,1600,3095772928,3571230976,628798.76,1.695,1.67,2.8118728,0.6180058,2.8118728,0.6180058,1.9742182,14.3006875,0.16879630104868265,1.4070014,12.1117091,0.5061547209389001,2.5136011,2.5136011,4.7034691183256683e-07,624754600.0,1.0,541038000.0,0.75,4.9551823,5.721914,5.721914,2.987466521926696e-07,0.3894967,1.0,0.276303,1.0,0.276303,0.5266454,4.8033939618545045e-05,USD,USD,1.0,1.0,0.0,0.0,0.0,0.0,86.13,83.39,180.06,110.88675,-22.3261571,3.2857657,-52.1659447,0.0566877,0.0576877,0.000926234187904579,24.0058403,6.0,4.6244948,1.0,0.0317268,1.0,0.0275142,1.0,3.7973535,6.0,0.9270043,1.0,21.5673659,6.0,4.2834187,1.0,4.6344948,0.0375142,0.9370043,4.2934187,4.4639567,0.013680871356412761,3940767066.6666665,2.0,4048691200.0,1.5,4048691200.0,2974790933.333333,2.0,3171603700.0,1.5,3171603700.0,0.5969892,0.7532033485225781,0.7344286,0.05321293670014838,825494533.3333334,1323165733.3333333,1323165733.3333333,482988066.6666667,1.0,877087500.0,1.5,877087500.0,2.9888431,0.41141996315003293,None
AZTA,"Azenta, Inc.",Healthcare,United States,102.0418089,-1.843322568390226, ,464246000.0,1.0,142453000.0,-1084212533.3333333,0.5,262809000.0,1.0,2224165000.0,1.0,111358500.0,0.375,2224165000.0,111358500.0,262809000.0,464246000.0,1.0,142453000.0,262809000.0,1.0,2224165000.0,1.0,2224165000.0,262809000.0,4.323,4.323,0.12062951697965789,36.97643,46.931625,38.2208294,7.4624715,0.28020875998448175,38.2208294,0.004248199682031479,35.392,75.2583705,0.0007304681965795549,20698466.5461121,-25932000.0,51601400.0,-25932000.0,4.0349703,1.2231769,4.75,182.3555355,20.109375,62.5388942,2.394219577391492e-06,1.01151,0.01577,0.01692641250214666,1.17,1.485,58.98,0.025178,3.0352108,0.0030352108000000003,74913104,-23198000,-0.3096654,2900,2382905600,4113478656,-7999.3103448,88.265,0.124,0.5542005,0.1632919,0.5542005,0.1632919,66.3373001,81.6977134,0.96430831217418,0.133823,3.9081821,0.16332499433989087,0.576159,0.576159,1.0781130163196534e-07,107072000.0,1.0,58355333.3333333,0.6666667,22.2551704,40.8344099,40.8344099,2.13200395040684e-06,0.7080112,2.0,0.5496712,2.0,0.5496712,0.7423982,6.771218415980948e-05,USD,USD,1.0,1.0,0.0,0.0,0.0,0.0,58.98,57.34,124.79,84.0105,-29.79449,2.8601325,-52.7365975,0.0486286,0.0496286,0.0007968372117078891,7.7923931,2.0,9.919076,2.0,1.6365322,1.0,0.7914178,1.0,2.9588846,1.0,1.897591,1.0,5.1341974,2.0,7.4040162,2.0,9.929076,0.8014178,1.907591,7.4140162,8.6715461,0.026576043323919964,3322721466.6666665,2.0,4609439500.0,1.5,4609439500.0,2460382400.0,2.0,3714799700.0,1.5,3714799700.0,0.582524,0.7349530400127278,0.6987308,0.05062645685481752,424050200.0,1499431800.0,1499431800.0,431169533.3333333,1.0,596426533.3333334,1.0,596426533.3333334,2.1527043,0.29632385981683595,None
SEB,Seaboard Corporation,Industrials,United States,1559.4919229,-1.772406157878113, ,32693066666.666668,4.0,417933333.3333333,9028133333.333334,2.0,22809000000.0,3.0,200000000.0,0.5,28740000000.0,1.5,200000000.0,28740000000.0,22809000000.0,32693066666.666668,4.0,417933333.3333333,9879000000.0,1.0,494000000.0,1.0,494000000.0,9879000000.0,0.514,0.514,0.01434271841951056,16.622545,16.622545,16.622545,0.475874,0.017868619457890762,16.622545,0.0018475760859222473,7.405,7.4048817,7.187281023157349e-05,685978082.9169481,686000000.0,495200000.0,686000000.0,0.05,2.0652869,36.9075,0.079162,1.7170313,0.732483,2.8042151386591868e-08,0.18541,0.7858999,0.8435298600377812,0.0,243.645,4034.01,0.0603977,1.231636,0.001231636,1160780,494000000,425.5759059,13200,5079505408,4701158912,37424.2424242,-0.425,0.316,14.0993327,0.1861617,14.0993327,0.1861617,3.2060832,18.1555388,0.2142965359522637,0.2835404,5.5748513,0.2329759805762974,5.1846892,5.1846892,9.701629085186435e-07,165333333.3333333,1.0,174000000.0,0.5,30.722815,29.1925598,29.1925598,1.5241717210682139e-06,1.3840907,2.0,0.6943615,1.0,0.6943615,0.8342836,7.609280944472768e-05,USD,USD,1.0,1.0,2.25,2.25,2.25,2.25,4034.01,3535.57,4400.0,3946.7234,2.2116219,14.0978682,-8.3179545,1.1532224,2.352222,0.03776729586967906,4.90902,2.0,2.4459877,1.0,0.495433,1.0,0.3814366,1.0,0.3441555,2.0,0.0346498,0.25,2.8621891,1.0,1.2854893,0.5,2.4559877,0.3914366,0.0446498,1.2954893,1.8757385,0.005748652785267975,13816666666.666666,2.0,11294800000.0,1.5,11294800000.0,8146133333.333333,2.0,6650200000.0,1.5,6650200000.0,0.1437369,0.18134853090517375,0.1742835,0.01262769022527215,2384333333.333333,2459533333.333333,2459533333.333333,2820666666.6666665,1.0,4617700000.0,1.5,4617700000.0,2.5796023,0.35508718514121407,None
NVR,"NVR, Inc.",Consumer Cyclical,United States,1487.9754675,-1.7642439877409337, ,33071976533.33333,4.0,1070201266.6666666,18463769200.0,2.0,9681239000.0,1.0,3052152000.0,2.0,61713433500.0,1.5,3052152000.0,61713433500.0,9681239000.0,33071976533.33333,4.0,1070201266.6666666,9681239000.0,1.0,3052152000.0,2.0,3052152000.0,9681239000.0,1.441,1.441,0.040209838993219296,16.947922,11.527912,16.2704207,1.5140145,0.05684981519105636,16.2704207,0.0018084378892169826,6.739,7.2995532,7.0850477181678e-05,1774437035.1684227,1479240000.0,1399662133.3333333,1479240000.0,0.15763,78.3248257,588.2132813,1.4621342,8.9375,26.6491966,1.020229555345652e-06,0.87191,0.05877,0.06307959814528594,365.08,248.326,4273.29,0.0581112,5.0279555,0.0050279555,3482750,1526076032,438.1813314,6600,13947264000,14657536000,231223.6412121,0.349,0.165,0.2346643,0.1160664,0.2346643,0.1160664,0.3204161,5.9105306,0.06976417759740929,0.1527666,4.1585367,0.17378744531625803,50.779042,50.779042,9.501812197057127e-06,2146188800.0,2.0,1030699000.0,1.0,6.4986193,13.5318497,13.5318497,7.065109325042949e-07,0.4332772,0.5,0.889914,1.0,0.889914,0.9443525,8.613190386476756e-05,USD,USD,1.0,1.0,0.167,0.23,0.222,0.202,4273.29,3576.01,5982.45,4793.3516,-10.8496443,19.4988269,-28.569566,0.5795116,0.5805116,0.00932069904668045,2.1762399,1.0,2.1510584,1.0,36.9500109,12.0,4.4045057,1.0,2.2836791,1.0,3.3555713,2.0,17.6733909,3.0,2.6377693,0.5,2.1610584,4.4145057,3.3655713,2.6477693,2.4044139,0.0073689059872535725,10742656933.333334,2.0,5510952533.333333,1.0,5510952533.333333,2861491333.333333,1.0,2923835400.0,1.0,2923835400.0,0.6538338,0.8249224735342644,1.1438864,0.0828801528090826,3783247666.6666665,3687329333.3333335,3687329333.3333335,5019674266.666667,2.0,2587117133.333333,1.0,2587117133.333333,4.7643665,0.6558241514461738,None
WLK,Westlake Corporation,Basic Materials,United States,9172.8243795,-1.7312880845537493, ,9940733333.333334,1.0,1285200000.0,13760933333.333334,2.0,9421000000.0,1.0,1773000000.0,1.0,45252000000.0,1.5,1773000000.0,45252000000.0,9421000000.0,9940733333.333334,1.0,1285200000.0,9421000000.0,1.0,1773000000.0,1.0,1773000000.0,9421000000.0,1.312,1.312,0.03661020732762229,40.242188,17.610256,37.4131965,0.9770885,0.036688750768441435,37.4131965,0.004158432246765457,4.032,4.3826103,4.253822426506008e-05,3736898349.206349,3087000000.0,2573066666.6666665,3087000000.0,0.18765,0.6692268,4.75,0.0876329,1.0,0.3158366,1.209139017646343e-08,0.28783,0.74169,0.7960780525502318,5.85,2.56,104.65,0.0244625,2.1792107,0.0021792107000000002,127822000,2516000000,19.6836225,14550,17687564288,13168222208,172920.9621993,2.124,0.721,2.7735184,0.2953015,2.7735184,0.2953015,2.2863796,15.3707791,0.18142698778058042,0.6145754,8.0894857,0.3380638804330863,16.3635104,16.3635104,3.0619522657672653e-06,1890066666.6666667,1.0,3193500000.0,1.5,9.3581695,5.5386141,5.5386141,2.8917638750986393e-07,2.415989,2.0,1.2307797,1.0,1.2307797,1.1104051,0.0001012771240867659,USD,USD,1.0,1.0,0.2975,0.2975,0.2975,0.27,104.65,80.47,141.19,108.55325,-3.5957007,30.0484653,-25.8800198,0.7964427,0.7974427,0.01280374658089913,0.6324973,0.3333333,1.8761109,1.0,0.0,1.0,0.0,1.0,0.0802168,0.5,0.361506,2.0,1.167764,0.5,1.3396655,0.5,1.8861109,0.01,0.371506,1.3496655,1.6178882,0.004958408385381113,32151466666.666668,2.0,26308071428.57143,1.5,26308071428.57143,14016266666.666666,2.0,11397214285.714289,1.5,11397214285.714289,0.1673938,0.2111957313162763,0.2555643,0.01851688090403578,2432866666.6666665,3387142857.142857,3387142857.142857,17029066666.666666,2.0,14053285714.285715,1.5,14053285714.285715,1.9878812,0.27363564519350086,None
MTD,"Mettler-Toledo International, I",Healthcare,United States,4696766224.102024,-1.611115667428329, ,13609876800.0,4.0,679844333.3333334,10692940266.666666,2.0,3865367000.0,1.0,820630000.0,1.0,35647579500.0,1.5,820630000.0,35647579500.0,3865367000.0,13609876800.0,4.0,679844333.3333334,3865367000.0,1.0,820630000.0,1.0,820630000.0,3865367000.0,8.329,8.329,0.23241342746323632,52.51987,39.69266,50.9164687,7.7797275,0.29212142328344864,50.9164687,0.005659304874778719,28.255,28.2553097,0.0002742499602799107,1139469975.2079277,1139445000.0,954877466.6666666,1139445000.0,0.2123,119.605811,588.2132813,0.5808755,2.75,40.1339955,1.536477402970167e-06,0.97598,0.01525,0.01636828095483428,32.96,24.91,1333.8,0.018676,108.63323,0.10863323,22985700,820630016,35.7017631,15600,32196429824,30071502848,52604.4882051,0.148,0.058,0.1923235,0.1280197,0.1923235,0.1280197,0.1590809,4.2384945,0.05002851741324923,0.0755049,2.997816,0.1252803141470901,320.0665471,320.0665471,5.989109091709015e-05,1592173466.6666667,2.0,814406000.0,1.0,20.2216847,39.5336353,39.5336353,2.0640892531556653e-06,6.5926963,0.5,129.2732977,0.5,129.2732977,11.3708416,0.0010371045087006173,USD,USD,1.0,1.0,0.0,0.0,0.0,0.0,1333.8,1082.78,1714.75,1379.0133,-3.2786703,23.182918,-22.2160665,0.7944048,0.7954048,0.012771026041658865,0.3672745,0.3333333,0.5093908,0.5,0.1555361,0.5,0.1614777,0.5,0.2216811,0.5,0.7305463,1.0,0.6084432,0.5,2.3668049,2.0,0.5193908,0.1714777,0.7405463,2.3768049,1.4480979,0.004438045082603841,6142675866.666667,2.0,3331795266.6666665,1.0,3331795266.6666665,131123033.3333333,0.5,59892600.0,1.0,59892600.0,0.3463026,0.43691959238471145,13.8016927,1.0,191370933.3333333,201943666.6666667,201943666.6666667,5618183733.333333,2.0,4907854000.0,1.5,4907854000.0,4.5843977,0.6310511022807105,None
LEN.B,Lennar Corporation,Consumer Cyclical,United States,3.0662566,-1.6028741682678713, ,99224420533.33331,4.0,3379664466.6666665,24376034666.666668,2.0,29937175000.0,1.0,4421716000.0,1.0,89435161500.0,1.5,4421716000.0,89435161500.0,29937175000.0,99224420533.33331,4.0,3379664466.6666665,29937175000.0,1.0,4421716000.0,1.0,4421716000.0,29937175000.0,0.826,0.826,0.023048804308396346,6.7160826,6.7160826,6.7160826,0.8031569,0.030157783386104777,6.7160826,0.0007464845848116825,3.692,3.741938,3.631976993937846e-05,6523342389.490791,6346873000.0,4430748266.666667,6346873000.0,0.1477,87.3248642,588.2132813,0.3801945,2.75,29.2852529,1.1211475149818202e-06,0.32871,0.6037,0.647969259831702,0.0,9.781,67.12,0.1457241,1.0894226,0.0010894226,37621200,4369865216,116.1543283,10753,24735705088,24044247040,406385.6799033,0.589,0.3,0.5636197,0.1326107,0.5636197,0.1326107,0.5826549,7.8831836,0.09304813018028943,0.2581527,5.3308727,0.2227799860078625,11.5266899,11.5266899,2.1568828077440922e-06,2778793400.0,1.0,933632000.0,0.5,8.9015992,26.4940631,26.4940631,1.383280604026265e-06,0.663136,1.0,0.5779258,1.0,0.5779258,0.7612143,6.942835107450484e-05,USD,USD,1.0,1.0,0.375,0.25,0.25,0.25,67.12,52.67,96.42,73.96505,-9.2544384,27.4349725,-30.3878863,0.6605714,0.6615714,0.010622195865321298,15.3343988,6.0,2.7451265,1.0,0.0518139,1.0,0.2838801,4.0,0.0503359,0.1666667,0.1530428,0.5,21.2135307,2.0,9.9694506,1.0,2.7551265,0.2938801,0.1630428,9.9794506,6.3672885,0.01951409046097297,63025084666.66666,2.0,33610024666.666668,1.0,33610024666.666668,37998852400.0,2.0,21185688933.33333,1.0,21185688933.33333,0.2315594,0.29215154220860123,0.3087124,0.022367720156528336,20975291400.0,23027785933.33333,23027785933.33333,12371310533.333334,1.0,12244689800.0,1.0,12244689800.0,2.6938696,0.37081629730345966,None
STLD,"Steel Dynamics, Inc.",Basic Materials,United States,51.0666062,-1.5705116570100275, ,14561903266.666666,1.0,2034426733.3333333,12523216533.333334,2.0,66545175000.0,3.0,8789506000.0,2.0,49844616000.0,1.5,8789506000.0,49844616000.0,66545175000.0,14561903266.666666,1.0,2034426733.3333333,66545175000.0,3.0,8789506000.0,2.0,8789506000.0,66545175000.0,0.729,0.729,0.020342104528838906,21.45722,19.152744,21.1691605,0.7179646,0.026958892945688893,21.1691605,0.0023529269855398103,2.599,2.5990937,2.5227164435885343e-05,6221483477.683724,6221035000.0,3107663666.6666665,6221035000.0,0.19812,0.6960057,4.75,17.5932134,89.285625,6.1634464,2.3595946528717344e-07,0.8604,0.05454,0.058539412673879444,4.19,3.74,81.8,0.0457213,3.5845094,0.0035845093999999997,198451008,4394753024,22.1452794,10640,16170801152,15925693440,413040.6977444,0.722,0.391,2.6449989,0.4841953,2.6449989,0.4841953,1.2027497,11.2169947,0.13239833499212383,0.4142988,6.686605,0.2794367549501048,17.6006363,17.6006363,3.2934441865072292e-06,1719284333.3333333,1.0,4763302500.0,1.5,9.4055421,3.3948718,3.3948718,1.7724953308863123e-07,1.0296058,1.0,0.8675018,1.0,0.8675018,0.9323978,8.504154716943173e-05,USD,USD,1.0,1.0,0.26,0.26,0.25,0.25,81.8,50.54,100.37,71.49275,14.4171961,61.8519984,-18.5015443,1.2546659,3.900933,0.06263341248351335,1.9751199,1.0,8.6341841,4.0,22.1244926,1.0,3.5123549,1.0,0.0216854,0.5,0.2957699,1.0,6.7632762,2.0,13.5920576,4.0,8.6441841,3.5223549,0.3057699,13.6020576,11.1231209,0.034089485257490545,21542295066.666668,2.0,19851471300.0,1.5,19851471300.0,10653936400.0,2.0,10678140800.0,1.5,10678140800.0,0.5427635,0.6847884110061527,0.9231307,0.06688532487033275,3926269733.3333335,5196643400.0,5196643400.0,10879466933.333334,2.0,6129841400.0,1.0,6129841400.0,3.1264316,0.43035928304938403,None
AMG,"Affiliated Managers Group, Inc.",Financial Services,United States,128498.5927021,-1.4977407297018126, ,2284453333.333333,1.0,373960000.0,4272960000.0,1.0,1853300000.0,1.0,415800000.0,1.0,19836600000.0,1.5,415800000.0,19836600000.0,1853300000.0,2284453333.333333,1.0,373960000.0,1853300000.0,1.0,415800000.0,1.0,415800000.0,1853300000.0,3.433,3.433,0.0957948488991824,16.547886,7.5516663,15.4233585,2.209504,0.08296478934904505,15.4233585,0.0017142879342005467,8.521,9.1113703,8.843622559446087e-05,870643609.9049406,750000000.0,889266666.6666666,750000000.0,0.22832,0.9351306,4.75,0.1109251,1.0,0.4257919,1.630088468808776e-08,1.00353,0.00993,0.010658165893869139,17.71,8.082,136.71,0.0591178,2.1489515,0.0021489515,40651300,561800000,13.8199762,4050,8446758400,5436705280,138716.0493827,-0.026,0.086,4.287616,0.0730845,4.287616,0.0730845,1.052404,10.5086743,0.12403776746854682,0.0827711,3.1269971,0.13067886055216188,14.6553592,14.6553592,2.7423217397211505e-06,1140640000.0,1.0,1215300000.0,1.0,7.4052798,6.9503484,6.9503484,3.628843977858943e-07,2.8871267,2.0,3.1934742,2.0,3.1934742,1.7880294,0.00016308145145819812,USD,USD,1.0,1.0,0.01,0.01,0.01,0.01,136.71,109.57,191.62,141.6571,-3.4923064,24.7695537,-28.6556727,0.6615478,0.6625478,0.010637872951789817,0.6923555,0.3333333,1.9650929,1.0,1.2393013,1.0,1.05839,1.0,0.0862103,0.5,0.1434573,1.0,2.8674974,1.0,650.5985889,1.0,1.9750929,1.06839,0.1534573,650.6085889,326.2918409,1.0,8406193333.333333,1.0,12801964285.714289,1.5,12801964285.714289,2849493333.333333,1.0,4077642857.1428566,1.5,4077642857.1428566,0.1324794,0.16714528117135458,0.2019707,0.014633763002127993,893773333.3333334,1124033333.3333333,1124033333.3333333,4084100000.0,1.0,6513021428.571428,1.5,6513021428.571428,1.7733299,0.24410224883027534,None
