"Maximal price_to_earnings_limit: 10000000000.0, Maximal enterprise_value_to_revenue_limit: 10000000000.0, Minimal profit_margin_limit: 0.0001"
Symbol,Name,Sector,Country,sss_value,ma,annualized_revenue,annualized_revenue_bonus,annualized_earnings,annualized_retained_earnings,annualized_retained_earnings_bonus,quarterized_revenue,quarterized_revenue_bonus,quarterized_earnings,quarterized_earnings_bonus,quarterized_retained_earnings,quarterized_retained_earnings_bonus,effective_earnings,effective_retained_earnings,effective_revenue,annualized_total_revenue,annualized_total_revenue_bonus,annualized_net_income,quarterized_total_revenue,quarterized_total_revenue_bonus,quarterized_net_income,quarterized_net_income_bonus,effective_net_income,effective_total_revenue,enterprise_value_to_revenue,evr_effective,trailing_price_to_earnings,forward_price_to_earnings,effective_price_to_earnings,trailing_12months_price_to_sales,pe_effective,enterprise_value_to_ebitda,effective_ev_to_ebitda,ebitda,quarterized_ebitd,annualized_ebitd,ebitd,profit_margin,annualized_profit_margin,annualized_profit_margin_boost,quarterized_profit_margin,quarterized_profit_margin_boost,effective_profit_margin,held_percent_institutions,held_percent_insiders,forward_eps,trailing_eps,previous_close,trailing_eps_percentage,price_to_book,shares_outstanding,net_income_to_common_shareholders,nitcsh_to_shares_outstanding,employees,enterprise_value,market_cap,nitcsh_to_num_employees,eqg,rqg,eqg_yoy,rqg_yoy,niqg_yoy,trqg_yoy,eqg_effective,eqg_factor_effective,rqg_effective,rqg_factor_effective,price_to_earnings_to_growth_ratio,effective_peg_ratio,annualized_cash_flow_from_operating_activities,annualized_cash_flow_from_operating_activities_bonus,quarterized_cash_flow_from_operating_activities,quarterized_cash_flow_from_operating_activities_bonus,annualized_ev_to_cfo_ratio,quarterized_ev_to_cfo_ratio,ev_to_cfo_ratio_effective,annualized_debt_to_equity,annualized_debt_to_equity_bonus,quarterized_debt_to_equity,quarterized_debt_to_equity_bonus,debt_to_equity_effective,debt_to_equity_effective_used,financial_currency,summary_currency,financial_currency_conversion_rate_mult_to_usd,summary_currency_conversion_rate_mult_to_usd,last_dividend_0,last_dividend_1,last_dividend_2,last_dividend_3,fifty_two_week_change,fifty_two_week_low,fifty_two_week_high,two_hundred_day_average,previous_close_percentage_from_200d_ma,previous_close_percentage_from_52w_low,previous_close_percentage_from_52w_high,dist_from_low_factor,eff_dist_from_low_factor,annualized_total_ratio,annualized_total_ratio_bonus,quarterized_total_ratio,quarterized_total_ratio_bonus,annualized_other_current_ratio,annualized_other_current_ratio_bonus,quarterized_other_current_ratio,quarterized_other_current_ratio_bonus,annualized_other_ratio,annualized_other_ratio_bonus,quarterized_other_ratio,quarterized_other_ratio_bonus,annualized_total_current_ratio,annualized_total_current_ratio_bonus,quarterized_total_current_ratio,quarterized_total_current_ratio_bonus,total_ratio_effective,other_current_ratio_effective,other_ratio_effective,total_current_ratio_effective,effective_current_ratio,annualized_total_assets,annualized_total_assets_bonus,quarterized_total_assets,quarterized_total_assets_bonus,effective_total_assets,annualized_total_stockholder_equity,annualized_total_stockholder_equity_bonus,quarterized_total_stockholder_equity,quarterized_total_stockholder_equity_bonus,effective_total_stockholder_equity,calculated_roa,calculated_roe,annualized_working_capital,quarterized_working_capital,effective_working_capital,annualized_total_liabilities,annualized_total_liabilities_bonus,quarterized_total_liabilities,quarterized_total_liabilities_bonus,effective_total_liabilities,altman_z_score_factor,skip_reason
CCU,"Compania Cervecerias Unidas, S.",Consumer Defensive,Chile,1e-07, ,5508027793576602.0,4.0,102119606707217.03,1350025068586092.5,2.0,1704186538808713.5,1.0,136036235721441.14,1.0,4239837805194167.0,1.5,136036235721441.14,4239837805194167.0,1704186538808713.5,5508027793576602.0,4.0,102119606707217.03,1704186538808713.5,1.0,136036235721441.14,1.0,136036235721441.14,1704186538808713.5,0,1.8e-06,5.3794465,13.213593,6.3587148,1.5e-06,6.3587148,0,100000,0.0,411895938000.0,308036615000.0,411895938000.0,0.07982,2.2665308,36.9075,0.1871827,2.75,0.8455112,0.19634,1.23e-05,1.03,2.53,13.06,0.1937213,1.3314419,184751008,0,0.0,9316,3050246144,2514461184,0.0,2.476,0.454,-0.118387,0.0244234,-0.118387,0.0244234,1.8274032,13.768148,0.3466058,6.137324,3.4796451,3.4796451,217754022701946.53,1.0,290246586817352.4,1.0,1.4e-05,1.05e-05,1.05e-05,0.7934202,1.0,1.7387239,2.0,1.7387239,1.3196068,CLP,USD,753.400442,1.0,1.10245,0.491098,0.37882,0.148,13.06,12.81,21.82,16.90635,-22.750919,1.9516003,-40.1466544,0.0554939,0.0564939,2.3867427,1.0,2.2483849,1.0,0.1661496,1.0,0.4508989,2.0,0.4439778,1.0,0.3926315,1.0,1.7152569,1.0,0.4138472,0.25,2.2583849,0.4608989,0.4026315,0.4238472,1.3411161,1828523668143226.8,1.0,2008224292893990.2,1.0,2008224292893990.2,971692835416087.6,1.0,1541289105799822.2,1.5,1541289105799822.2,0.1677396,0.1882613,372185234000.0,401640737200.0,401640737200.0,771386383057406.5,1.0,893679870698942.9,1.0,893679870698942.9,1.9505326,None
EC,Ecopetrol S.A.,Energy,Colombia,1e-07, ,2.927581884175687e+17,1.0,4.565331777780372e+16,2.496455625924934e+16,0.5,1.0542724704642962e+18,3.0,1.2789593393594213e+17,2.0,3.082002082050124e+17,1.5,1.2789593393594213e+17,3.082002082050124e+17,1.0542724704642962e+18,2.927581884175687e+17,1.0,4.565331777780372e+16,1.0542724704642962e+18,3.0,1.2789593393594213e+17,2.0,1.2789593393594213e+17,1.0542724704642962e+18,0,0.0,7.649533,8.103961,7.7063365,0.0,7.7063365,0,100000,0.0,39739572000000.0,31935478000000.0,39739572000000.0,0.18197,0.7313166,4.75,16.344008,89.285625,5.7534315,0.01465,1.23e-05,2.02,2.14,17.05,0.1255132,1.8560092,2055830016,0,0.0,18000,36778885120,33653938176,0.0,9.593,1.208,5.2180626,0.3934282,5.2180626,0.3934282,8.4992656,29.4035,1.0043571,10.2717616,0.9067062,0.9067062,7.531442783810779e+16,1.0,1.2944914702278715e+17,1.5,5e-07,3e-07,3e-07,1.8322761,1.0,2.0630082,1.0,2.0630082,1.4373176,COP,USD,3830.487998,1.0,0.093278,0.894,0.535,0.3196,17.05,11.52,19.81,14.9476,14.0651342,48.0034722,-13.9323574,1.3341375,5.6390193,0.554457,0.3333333,1.6350203,1.0,0.6396694,1.0,0.5803018,1.0,0.7529938,1.0,0.923354,1.0,1.4889152,1.0,6.6139122,4.0,1.6450203,0.5903018,0.933354,6.6239122,4.1344663,1.4805080691482332e+18,2.0,1.2888086241184323e+18,1.5,1.2888086241184323e+18,2.39917417271785e+17,1.0,3.804215937221782e+17,1.5,3.804215937221782e+17,0.1992358,0.4361953,13482269200000.0,18340662266666.668,18340662266666.668,8.983856691349417e+17,2.0,7.895805204202813e+17,1.5,7.895805204202813e+17,0.288207,None
GLT,Glatfelter Corporation,Basic Materials,United States,1e-07, ,905040666.6666666,1.0,-17538266.6666667,372637366.6666667,0.5,985518000.0,1.0,27112000.0,1.0,2892282000.0,1.0,27112000.0,2892282000.0,985518000.0,905040666.6666666,1.0,-17538266.6666667,985518000.0,1.0,27112000.0,1.0,27112000.0,985518000.0,1.243,1.243,45.1875692,8.83,40.642873,1.2431284,40.642873,10.835,10.9913923,109898550.3461006,106726000.0,100456133.3333333,106726000.0,0.02751,0.0003595,0.1,0.064958,2.75,0.0319425,0.92949,0.02463,1,0.609,0,0.0,0.6979685,44525100,27076000,0.6081064,3300,1225125376,1225125376,8204.8484848,0.153,0.198,2.4985509,0.0251296,2.4985509,0.0251296,0.7393877,8.8487658,0.1547824,4.1842394,54.9682814,54.9682814,128903066.6666667,1.0,60982500.0,0.5,9.5042376,20.089786,20.089786,2.5951775,2.0,1.5051257,1.0,1.5051257,1.2278357,USD,USD,1.0,1.0,0.14,0.14,0.14,0.135,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5488718,2.0,1.6713316,1.0,0.4983076,1.0,0.0333815,0.5,0.3495265,1.0,0.8421595,4.0,1.9685398,1.0,1.9328938,1.0,1.6813316,0.0433815,0.8521595,1.9428938,1.8121127,1322701800.0,1.0,1421027666.6666667,1.0,1421027666.6666667,575601066.6666666,1.0,567431066.6666666,1.0,567431066.6666666,0.1190791,0.1477803,230315666.6666667,239762933.3333333,239762933.3333333,373550366.6666667,0.5,853596600.0,1.0,853596600.0,2.2049586,None
SBSW,D/B/A Sibanye-Stillwater Limite,Basic Materials,South Africa,4e-07, ,24594021685.781334,4.0,950095586.2533334,-65837512.2346667,0.25,10267715685.78,1.0,2831405618.86,1.0,5164399747.08,1.0,2831405618.86,5164399747.08,10267715685.78,24594021685.781334,4.0,950095586.2533334,10267715685.78,1.0,2831405618.86,1.0,2831405618.86,10267715685.78,0.029,0.029,3.2600827,8.350993,3.8964465,0.0546532,3.8964465,0.064,0.0640091,72495922000.0,72475300000.0,31230686666.666668,72475300000.0,0.27576,2.1045213,12.3834375,0.7588528,2.75,1.0473781,0.08916,0.0025,1.51,3.868,14.07,0.2749112,0.1130374,703540992,44762898432,63.6251461,80000,4641058816,8871651328,559536.2304,1.646,0.635,269.5457618,0.5671586,269.5457618,0.5671586,68.6209405,83.0877574,0.6180397,8.1115498,0.0567822,0.0567822,1251043877.8413332,1.0,2353273168.26,1.0,3.709749,1.9721717,1.9721717,1.6043899,1.0,0.8008053,1.0,0.8008053,0.8958773,ZAR,USD,0.0632534,1.0,0.807477,0.861536,0.118795,0.162484,14.07,11.15,20.64,14.9978,-6.1862406,26.1883408,-31.8313953,0.6153846,0.6163846,3.5984364,2.0,2.2794188,1.0,0.0,1.0,0.0,1.0,0.4414929,2.0,0.2347288,1.0,4.6272522,2.0,2.7842385,1.0,2.2894188,0.01,0.2447288,2.7942385,2.5418287,14531665753.509335,2.0,9107617968.148,1.0,9107617968.148,3112404631.4666667,1.0,5016453839.684,1.0,5016453839.684,0.4108832,0.6644237,22005580000.0,39328700000.0,39328700000.0,4045272521.696,1.0,3995832399.188,1.0,3995832399.188,5.8909231,None
AKO.A,Embotelladora Andina S.A.,Consumer Defensive,Chile,5.6e-06, ,1494643598641070.8,1.0,108973429455132.53,1053846926185854.1,2.0,1670087315362006.0,1.0,116549654586582.3,1.0,2164970126134588.0,1.0,116549654586582.3,2164970126134588.0,1670087315362006.0,1494643598641070.8,1.0,108973429455132.53,1670087315362006.0,1.0,116549654586582.3,1.0,116549654586582.3,1670087315362006.0,0,1e-06,9.800839,9.800839,9.800839,1e-06,9.800839,0,100000,0.0,379780897000.0,356537920533.3333,379780897000.0,0.06979,0.3388751,4.75,0.2229936,2.75,0.2115529,0.00197,1.23e-05,0,0.954,9.4,0.1014894,1.2397243,157762000,0,0.0,10000000,1670697088,1692378240,0.0,0.503,0.368,0.1821315,0.1705392,0.1821315,0.1705392,0.4227829,6.7521757,0.3186348,5.8947747,23.1817309,23.1817309,432059298526285.0,2.0,344742838539753.75,1.5,3.9e-06,4.8e-06,4.8e-06,0.8761108,0.5,1.7141413,1.0,1.7141413,1.3102522,CLP,USD,753.400442,1.0,0.208158,0.212875,0.200488,0.215603,9.4,9.3,14.18,10.95235,-14.1736705,1.0752688,-33.7094499,0.0409836,0.0419836,1.5890903,1.0,1.597625,1.0,0.1656072,2.0,0.1068987,1.0,2.1145709,2.0,1.2576922,1.0,3.6193471,2.0,0.9849636,0.5,1.607625,0.1168987,1.2676922,0.9949636,1.3012943,4054049015083712.0,2.0,3180469628043495.5,1.5,3180469628043495.5,733057996908268.5,1.0,1162534087556727.5,1.5,1162534087556727.5,0.1366454,0.2002548,378244848466.6667,446240310733.3333,446240310733.3333,2553368407198982.0,2.0,1990263945527658.8,1.5,1990263945527658.8,0.3695667,None
PAM,Pampa Energia S.A. Pampa Energi,Utilities,Argentina,2.8e-05, ,1646666666.6666667,0.25,738600000.0,2479475520.0,1.0,311220000000.0,3.0,45154000000.0,2.0,274402000000.0,1.0,45154000000.0,274402000000.0,311220000000.0,1646666666.6666667,0.25,738600000.0,311220000000.0,3.0,45154000000.0,2.0,45154000000.0,311220000000.0,0.603,0.603,0.0253528,4.86052,0.6297487,0.0073466,0.6297487,1.331,1.4144604,62768843465.063866,54897000000.0,1839333333.3333333,54897000000.0,-0.1336,-7.588371,0.02,16.7613269,73.051875,3.0141187,0.12384,0.05268,4.23,-3.5,21.58,-0.1621872,0.0066965,55680000,43002175488,772.3091862,10000000,94022754304,1144780800,4300.2175488,1.078,0.977,-0.1143837,-0.2738837,-0.1143837,-0.2738837,0.7799041,9.0812178,0.6642791,8.4003317,0.8074694,0.8074694,1773800000.0,1.0,72305000000.0,1.0,53.0064011,1.3003631,1.3003631,4.3269773,2.0,1.4191651,1.0,1.4191651,1.1922872,USD,USD,1.0,1.0,0.075,0.088,0.079,0,21.58,13.56,25.86,19.36495,11.4384494,59.1445428,-16.5506574,1.304065,4.9180792,3.1916411,2.0,3.5379467,2.0,0.9392119,1.0,2.1081878,1.0,0.9248689,2.0,0.0996969,0.25,1.5773178,1.0,6.296142,2.0,3.5479467,2.1181878,0.1096969,6.306142,4.9270443,19098006461.066666,1.0,352342933333.3333,1.0,352342933333.3333,5220463036.266666,1.0,222650000000.0,1.5,222650000000.0,0.2281536,0.3028026,2423103762.6666665,74549200000.0,74549200000.0,6160557281.333333,0.5,198946866666.66666,1.0,198946866666.66666,1.4094159,None
UMC,United Microelectronics Corpora,Technology,Taiwan,0.0001002, ,5339615076725.366,1.0,1048995304541.5,5092900005559.0,2.0,17902226117205.0,3.0,1562655113262.5,1.0,10679359696234.0,1.0,1562655113262.5,10679359696234.0,17902226117205.0,5339615076725.366,1.0,1048995304541.5,17902226117205.0,3.0,1562655113262.5,1.0,1562655113262.5,17902226117205.0,-0.118,0.0011229,12.2105255,7.9607844,11.6793079,0.094372,1.6684726,-0.254,0.9014202,9773376846.456696,98689577000.0,81877200600.0,98689577000.0,0.26186,17.009862,75.703125,7.5069096,27.4725,8.2605439,0.0455,1.23e-05,1.02,0.665,8.04,0.0827114,0.0782651,2475650048,55779999744,22.5314558,19500,20102277120,20102277120,2860512.8073846,2.277,0.305,1.3469471,0.1692476,1.3469471,0.1692476,2.0444868,14.548555,0.2710619,5.4563605,5.7125867,5.7125867,4282632793410.667,2.0,2531166104000.0,1.0,0.0046939,0.0079419,0.0079419,0.6778279,1.0,0.6645107,1.0,0.6645107,0.8161752,TWD,USD,28.0145,1.0,0.285,0.136148,0.094,0.118,8.04,7.49,12.68,10.3928,-22.6387499,7.3431242,-36.5930599,0.2119461,0.2129461,4.9729378,2.0,5.0227864,2.0,0.2038702,0.5,0.3502091,1.0,3.3001454,2.0,1.7096514,1.0,2.2008283,1.0,4.6504601,2.0,5.0327864,0.3602091,1.7196514,4.6604601,4.8466232,23451351429078.934,2.0,18680638599825.7,1.5,18680638599825.7,7005534182572.1,1.0,7484324744684.267,1.0,7484324744684.267,0.1836511,0.3087904,107660614866.66667,125133479933.33333,125133479933.33333,4713559390722.767,1.0,4964370275170.8,1.0,4964370275170.8,0.4427195,None
AKO.B,Embotelladora Andina S.A.,Consumer Defensive,Chile,0.0001047, ,1494643598641070.8,1.0,108973429455132.53,1053846926185854.1,2.0,1670087315362006.0,1.0,116549654586582.3,1.0,2164970126134588.0,1.0,116549654586582.3,2164970126134588.0,1670087315362006.0,1494643598641070.8,1.0,108973429455132.53,1670087315362006.0,1.0,116549654586582.3,1.0,116549654586582.3,1670087315362006.0,0,1.2e-06,11.666667,9.763158,11.4287284,1.1e-06,11.4287284,0,100000,0.0,379780897000.0,356537920533.3333,379780897000.0,0.06979,0.3388751,4.75,0.2229936,2.75,0.2115529,0.03053,1.23e-05,1.14,0.954,11.22,0.0850267,1.4757359,157762000,0,0.0,10000000,2050902912,1755891072,0.0,0.503,0.368,0.1821315,0.1705392,0.1821315,0.1705392,0.4227829,6.7521757,0.3186348,5.8947747,27.0321454,27.0321454,432059298526285.0,2.0,344742838539753.75,1.5,4.7e-06,5.9e-06,5.9e-06,0.8761108,0.5,1.7141413,1.0,1.7141413,1.3102522,CLP,USD,753.400442,1.0,0.228974,0.234162,0.220537,0.237163,11.22,10.53,14.98,12.8716,-12.8313496,6.5527066,-25.1001335,0.3101124,0.3111124,1.5890903,1.0,1.597625,1.0,0.1656072,2.0,0.1068987,1.0,2.1145709,2.0,1.2576922,1.0,3.6193471,2.0,0.9849636,0.5,1.607625,0.1168987,1.2676922,0.9949636,1.3012943,4054049015083712.0,2.0,3180469628043495.5,1.5,3180469628043495.5,733057996908268.5,1.0,1162534087556727.5,1.5,1162534087556727.5,0.1366454,0.2002548,378244848466.6667,446240310733.3333,446240310733.3333,2553368407198982.0,2.0,1990263945527658.8,1.5,1990263945527658.8,0.3695667,None
PKX,POSCO Holdings Inc.,Basic Materials,South Korea,0.0002526, ,48003433588.09084,1.0,1388232930.0453694,71782164606.46744,2.0,166711317957.787,3.0,9205783836.968597,2.0,227144568811.82858,1.5,9205783836.968597,227144568811.82858,166711317957.787,48003433588.09084,1.0,1388232930.0453694,166711317957.787,3.0,9205783836.968597,2.0,9205783836.968597,166711317957.787,0.134,0.134,3.5032055,3.6660104,3.5235561,0.0002405,3.5235561,0.837,0.8371172,11252758765347.074,11249607899000.0,6807866655376.0,11249607899000.0,0.08283,0.1330254,4.75,19.8120964,200.8926563,6.6769839,0.0362,1.23e-05,15.24,15.94825,58.82,0.2711365,0.0003437,302502016,5808138485760,19200.3298443,10000000,9421196361728,16900787200,580813.848576,4.22,0.447,-0.1044143,-0.0508678,-0.1044143,-0.0508678,3.1388964,17.966931,0.3225331,5.9291994,1.1225462,1.1225462,11689636646.188396,2.0,5146140969.107655,1.0,805.9443289,1830.7303314,1830.7303314,0.7102936,1.0,1.4587504,2.0,1.4587504,1.2087874,KRW,USD,0.0007909,1.0,0.674472,1.0048,0.338661,0.105256,58.82,54.2,92.19,63.5818,-7.4892501,8.5239852,-36.1969845,0.2432219,0.2442219,2.5153604,1.0,4.9837332,2.0,0.2083898,1.0,0.1659065,1.0,4.764557,2.0,2.6187089,1.0,4.0940129,2.0,9.152789,4.0,4.9937332,0.1759065,2.6287089,9.162789,7.0782611,62452201556.28282,1.0,102792566027.6142,1.5,102792566027.6142,34958501796.94422,1.0,56569412744.735886,1.5,56569412744.735886,0.1895569,0.2627343,17792259332732.0,24075439570498.668,24075439570498.668,24828631220.86128,1.0,27522998148.085308,1.0,27522998148.085308,25.4439244,None
SKM,"SK Telecom Co., Ltd.",Communication Services,South Korea,0.0039239, ,13753364829.893333,1.0,1591442389.1666667,17823104812.553333,1.0,14919560536.1,1.0,1904115477.0,1.0,52881371715.7,1.0,1904115477.0,52881371715.7,14919560536.1,13753364829.893333,1.0,1591442389.1666667,14919560536.1,1.0,1904115477.0,1.0,1904115477.0,14919560536.1,0.001,0.001,4.858128,5.6622806,4.9586471,0.0006044,4.9586471,0.002,0.0020612,4585626096000.0,4305004000000.0,5150832600000.0,4305004000000.0,0.14374,0.6078752,4.75,0.2975901,2.75,0.3507351,0.05012,1.23e-05,4.56,5.314804,26.07,0.2038667,0.000382,392040000,1259928944640,3213.7765142,10000000,9732496384,10122472448,125992.894464,-0.214,-0.112,0.4387326,-0.0359863,0.4387326,-0.0359863,-0.0508168,0.2449183,-0.0929966,0.2407003,-97.5788104,1024.8126578,4004078041.04,1.0,3304140557.2999997,1.0,2.430646,2.9455455,2.9455455,2.6181876,2.0,0.9364225,1.0,0.9364225,0.9686893,KRW,USD,0.0007909,1.0,0.893239,0.093763,0.810261,0.091799,26.07,24.35,55.337727,37.87291,-31.1645184,7.063655,-52.8892829,0.1110117,0.1120117,1.8411877,1.0,2.1045343,1.0,0.2189468,1.0,0.1364439,0.5,0.5274196,1.0,0.782949,2.0,0.9877424,1.0,2.2514363,2.0,2.1145343,0.1464439,0.792949,2.2614363,2.1879853,30143407772.79333,1.0,60094837533.814285,1.5,60094837533.814285,13497057550.533333,1.0,30502443139.92857,1.5,30502443139.92857,0.1316852,0.162425,-59248933333.333336,1022866857142.8572,1022866857142.8572,16210428603.82,1.0,28551827827.285713,1.5,28551827827.285713,16.5508128,None
