Symbol,Name,Sector,Value,Close,MA,Grade
PAM,Pampa Energia S.A. Pampa Energi,Utilities,0.00007,19.46, ,966.5536
LEN.B,Lennar Corporation,Consumer Cyclical,726.70457,90.31, ,810.8514
GHLD,Guild Holdings Company,Financial Services,0.88581,13.93, ,647.7065
ZIM,ZIM Integrated Shipping Service,Industrials,0.00366,63.63, ,603.2578
PKX,POSCO,Basic Materials,0.00079,63.95, ,537.7636
SB,Safe Bulkers  Inc,Industrials,0.01853,3.6, ,522.2616
BABA,Alibaba Group Holding Limited,Consumer Cyclical,5737.96785,129.81, ,518.8229
FINV,FinVolution Group,Financial Services,313.67863,4.67, ,508.621
UMC,United Microelectronics Corpora,Technology,0.02783,11.4, ,475.5308
GGB,Gerdau S.A.,Basic Materials,0.77623,5.12, ,431.4066
QFIN,360 DigiTech  Inc.,Financial Services,98661502.33411,19.55, ,414.3754
LBTYB,Liberty Global plc,Communication Services,2035.71009,28.19, ,408.8731
TSM,Taiwan Semiconductor Manufactur,Technology,768.46519,139.19, ,398.8559
KARO,Karooooo Ltd.,Technology,0.73486,33.2, ,393.5601
WLK,Westlake Chemical Corporation,Basic Materials,43.31655,105.04, ,390.5786
BEN,Franklin Resources  Inc.,Financial Services,644.31937,35.16, ,383.4463
DAC,Danaos Corporation,Industrials,6.1984,73.04, ,348.234
BRK.A,Berkshire Hathaway Inc.,Financial Services,1175938.91006,480000.1, ,311.9847
SEB,Seaboard Corporation,Industrials,389.14059,4019.99, ,305.7476
WIT,Wipro Limited,Technology,5593.78094,8.63, ,299.5857
BIO.B,Bio-Rad Laboratories  Inc.,Healthcare,229.08756,679.04, ,289.7544
OPY,Oppenheimer Holdings  Inc.,Financial Services,1636205.54846,47.88, ,255.8208
MT,Arcelor Mittal NY Registry Shar,Basic Materials,73572.13899,37.28, ,255.3657
ONEW,OneWater Marine Inc.,Consumer Cyclical,4909.16075,55.21, ,248.9226
IMOS,ChipMOS TECHNOLOGIES INC.,Technology,0.08784,36.78, ,247.9648
PANL,Pangaea Logistics Solutions Ltd,Industrials,7.6421,3.95, ,226.2206
CCS,Century Communities  Inc.,Consumer Cyclical,3465.71144,70.88, ,223.3093
BIO,Bio-Rad Laboratories  Inc.,Healthcare,119.45912,663.16, ,222.9741
CMRE,Costamare Inc.,Industrials,3104.00334,12.65, ,196.4692
DHI,D.R. Horton  Inc.,Consumer Cyclical,4511.12376,99.76, ,192.259
ASX,ASE Technology Holding Co.  Ltd,Technology,211.60243,7.64, ,188.3798
JEF,Jefferies Financial Group Inc.,Financial Services,34308865.86534,38.06, ,186.7518
BZH,Beazer Homes USA  Inc.,Consumer Cyclical,18713.81353,20.97, ,173.1281
SID,Companhia Siderurgica Nacional ,Basic Materials,9.84693,4.69, ,172.9021
X,United States Steel Corporation,Basic Materials,480573.24514,25.42, ,171.3321
LYB,LyondellBasell Industries NV,Basic Materials,10.924,101.37, ,162.4887
STLD,Steel Dynamics  Inc.,Basic Materials,6.85554,62.82, ,161.8325
PHI,PLDT Inc. Sponsored,Communication Services,39267908.78981,37.79, ,154.9657
VIPS,Vipshop Holdings Limited,Consumer Cyclical,640042122.16306,9.1, ,154.3438
STLA,Stellantis N.V.,Consumer Cyclical,735.31501,21.59, ,142.9081
IFS,Intercorp Financial Services In,Financial Services,4210657499.45928,31.74, ,141.4293
BNTX,BioNTech SE,Healthcare,5.90077,211.84, ,137.9534
FOA,Finance of America Companies In,Financial Services,135749193.48687,4.16, ,134.691
MDC,M.D.C. Holdings  Inc.,Consumer Cyclical,31822319.24398,55.4, ,131.1359
TX,Ternium S.A. Ternium S.A.,Basic Materials,91298.0403,46.91, ,128.6385
CO,Global Cord Blood Corporation,Healthcare,501655.56103,4.51, ,127.5234
