Symbol,Name,Sector,Country,sss_value,sss_value_normalized,annualized_revenue,annualized_revenue_bonus,annualized_earnings,annualized_retained_earnings,annualized_retained_earnings_bonus,quarterized_revenue,quarterized_revenue_bonus,quarterized_earnings,quarterized_earnings_bonus,quarterized_retained_earnings,quarterized_retained_earnings_bonus,effective_earnings,effective_retained_earnings,effective_revenue,annualized_total_revenue,annualized_total_revenue_bonus,annualized_net_income,quarterized_total_revenue,quarterized_total_revenue_bonus,quarterized_net_income,quarterized_net_income_bonus,effective_net_income,effective_total_revenue,enterprise_value_to_revenue,evr_effective,evr_effective_normalized,trailing_price_to_earnings,forward_price_to_earnings,effective_price_to_earnings,trailing_12months_price_to_sales,trailing_12months_price_to_sales_normalized,pe_effective,pe_effective_normalized,enterprise_value_to_ebitda,effective_ev_to_ebitda,effective_ev_to_ebitda_normalized,ebitda,quarterized_ebitd,annualized_ebitd,ebitd,profit_margin,annualized_profit_margin,annualized_profit_margin_boost,quarterized_profit_margin,quarterized_profit_margin_boost,effective_profit_margin,effective_profit_margin_normalized,held_percent_institutions,held_percent_insiders,held_percent_insiders_normalized,forward_eps,trailing_eps,previous_close,trailing_eps_percentage,price_to_book,price_to_book_normalized,shares_outstanding,net_income_to_common_shareholders,nitcsh_to_shares_outstanding,employees,enterprise_value,market_cap,nitcsh_to_num_employees,eqg,rqg,eqg_yoy,rqg_yoy,niqg_yoy,trqg_yoy,eqg_effective,eqg_factor_effective,eqg_factor_effective_normalized,rqg_effective,rqg_factor_effective,rqg_factor_effective_normalized,price_to_earnings_to_growth_ratio,effective_peg_ratio,effective_peg_ratio_normalized,annualized_cash_flow_from_operating_activities,annualized_cash_flow_from_operating_activities_bonus,quarterized_cash_flow_from_operating_activities,quarterized_cash_flow_from_operating_activities_bonus,annualized_ev_to_cfo_ratio,quarterized_ev_to_cfo_ratio,ev_to_cfo_ratio_effective,ev_to_cfo_ratio_effective_normalized,annualized_debt_to_equity,annualized_debt_to_equity_bonus,quarterized_debt_to_equity,quarterized_debt_to_equity_bonus,debt_to_equity_effective,debt_to_equity_effective_used,debt_to_equity_effective_used_normalized,financial_currency,summary_currency,financial_currency_conversion_rate_mult_to_usd,summary_currency_conversion_rate_mult_to_usd,last_dividend_0,last_dividend_1,last_dividend_2,last_dividend_3,fifty_two_week_change,fifty_two_week_low,fifty_two_week_high,two_hundred_day_average,previous_close_percentage_from_200d_ma,previous_close_percentage_from_52w_low,previous_close_percentage_from_52w_high,dist_from_low_factor,eff_dist_from_low_factor,eff_dist_from_low_factor_normalized,annualized_total_ratio,annualized_total_ratio_bonus,quarterized_total_ratio,quarterized_total_ratio_bonus,annualized_other_current_ratio,annualized_other_current_ratio_bonus,quarterized_other_current_ratio,quarterized_other_current_ratio_bonus,annualized_other_ratio,annualized_other_ratio_bonus,quarterized_other_ratio,quarterized_other_ratio_bonus,annualized_total_current_ratio,annualized_total_current_ratio_bonus,quarterized_total_current_ratio,quarterized_total_current_ratio_bonus,total_ratio_effective,other_current_ratio_effective,other_ratio_effective,total_current_ratio_effective,effective_current_ratio,effective_current_ratio_normalized,annualized_total_assets,annualized_total_assets_bonus,quarterized_total_assets,quarterized_total_assets_bonus,effective_total_assets,annualized_total_stockholder_equity,annualized_total_stockholder_equity_bonus,quarterized_total_stockholder_equity,quarterized_total_stockholder_equity_bonus,effective_total_stockholder_equity,calculated_roa,calculated_roa_normalized,calculated_roe,calculated_roe_normalized,annualized_working_capital,quarterized_working_capital,effective_working_capital,annualized_total_liabilities,annualized_total_liabilities_bonus,quarterized_total_liabilities,quarterized_total_liabilities_bonus,effective_total_liabilities,altman_z_score_factor,altman_z_score_factor_normalized,skip_reason
TLV:TRLT,TERA LIGHT LTD,Utilities,Israel,460870914150.2768,-2.0988758396743266,1959428.5714286,0.0,-2394428.5714286,-59968000.0,0.125,10710000.0,0.0,876750.0,0.0,-101016000.0,0.25,876750.0,-101016000.0,10710000.0,1959428.5714286,1.0,-2394428.5714286,10710000.0,1.0,876750.0,0.25,876750.0,10710000.0,8.9539113,8.9539113,8.362956115062797e-05,138.0,138.0,138.0,15.968211,0.01491431490457244,138.0,0.013338064091307738,11.6548628,11.6548636,0.000116548636,8228001.1164571,8228000.0,843857.1428571,8228000.0,0.32745,-0.7060367,0.0,0.4093226,1.0,0.0112453,3.3999190629815926e-05,0.07937,0.69193,0.7717007015156754,0.0,0.055,762.8,7.21e-05,1.919575,0.0001919575,72728400,3507000,0.0482205,8,95896236,17101953225,438375.0,-0.037852,1456.2,-0.037852,0.0,-0.037852,0.0,-0.037852,0.2462148,0.0016766663097552393,1092.15,330.7269281,1.0,-3645.7783965,27.4289847,0.00015914200359707148,-1590857.1428571,0.5,-7710000.0,0.5,1658.9359439,1243790.3618995,1243790.3618995,0.005079469779529317,6.1402724,2.0,0.0802488,1.0,0.0802488,0.2842822,0.0006150258476912589,USD,ILS,1.0,0.3098132,0.0,0.0,0.0,0.0,762.8,680.0,1060.0,812.86,-6.1585021,12.1764706,-28.0377358,0.4357895,0.4367895,0.0068248359375,420.1023678,12.0,19.5769573,1.0,0.0,1.0,0.0,1.0,266.75,1.0,53.872,1.0,37.4052962,0.3333333,31.9582482,1.0,19.5869573,0.01,53.882,31.9682482,25.7776028,0.007092044109625168,132619333.3333333,2.0,234667600.0,1.0,234667600.0,103882666.6666667,2.0,215276800.0,1.0,215276800.0,0.1037361,0.12514349699832508,0.1040727,0.023069771669051466,39999333.3333333,150275000.0,150275000.0,7184166.6666667,0.5,19390800.0,1.0,19390800.0,23.0109644,0.21148214814261282,None
TLV:RMN,RAM-ON INVESTMENTS,Basic Materials,Israel,512855595.8412264,-2.0378529433755155,3758901.59296,4.0,18659987.07336,39822872.3726667,1.0,1139492.9496,1.0,23565011.6184,1.0,154741159.7512,1.0,23565011.6184,154741159.7512,1139492.9496,3758901.59296,4.0,18659987.07336,1139492.9496,1.0,23565011.6184,1.0,23565011.6184,1139492.9496,25.9341532,25.9341532,0.00024222507664657726,4.3355734,4.3355734,4.3355734,28.0209929,0.02617161760007984,4.3355734,0.0004190446078389058,-6359.0175487,15.7256994,0.000157256994,-15000.0003898,-15000.0,413066.6666667,-15000.0,20.6218,964.84218,36.9075,6.7889936,0.6875,330.7519912,1.0,0.21949,0.19257,0.214770864236084,0.0,4.613,1999.0,0.0023077,2.0597322,0.00020597322,16632800,75847000,4.5600861,308,95385268,10306122144,246256.4935065,-0.919,0.325,5.8813939,0.006388,5.8813939,0.006388,0.7810985,9.0879776,0.06188704280055576,0.245347,5.2032515,0.015732772441277364,5.5506105,5.5506105,3.220444671278492e-05,6084380.1263733,1.0,-1291301.4176,0.5,15.6770725,7386754.7024952,7386754.7024952,0.03016649624364284,0.3526728,1.0,0.1846181,1.0,0.1846181,0.430672,0.0009317305546280768,ILS,ILS,0.3098132,0.3098132,39.7278,31.3007,361.163,30.0968,1999.0,1283.0,2130.0,1550.13,28.9569262,55.806703,-6.1502347,1.690673,23.3538048,0.3649032,9.2270556,2.0,3.977618,0.5,0.0,1.0,0.0,1.0,3.0506921,0.1666667,5.005603,0.5,1.7002319,1.0,1.7088442,1.0,3.987618,0.01,5.015603,1.7188442,2.8532311,0.000784993118761002,149079261.55856,2.0,41263799.7963911,0.6666667,41263799.7963911,55949537.56384,1.0,51613061.5492267,1.0,51613061.5492267,0.671082,0.8095691688103754,0.5565707,0.12337490011005904,21519533.3333333,18085600.0,18085600.0,17834665.3627733,1.0,9545489.2714933,1.0,9545489.2714933,25.5658652,0.23496295060195174,None
TLV:SPRG,SPRING VENTURES,Financial Services,Israel,141.8304033,-2.0015844081027026,4315635.91336,1.0,1399281.6449067,317067.9924333,0.25,27220187.752,1.0,18834783.6808,1.0,44842982.1944,1.0,18834783.6808,44842982.1944,27220187.752,4315635.91336,1.0,1399281.6449067,27220187.752,1.0,18834783.6808,1.0,18834783.6808,27220187.752,0.6769418,0.6769418,6.322638650498601e-06,3.392412,3.392412,3.392412,0.7274124,0.0006794034472046248,3.392412,0.0003278855701458077,0.7320886,0.7311522,7.311522e-06,81464610.0296234,81673000.0,9508200.0,81673000.0,0.69194,0.0296302,0.1,1.8463926,2.75,0.8569876,0.0025910277875902323,0.01,0.77936,0.8692102651037775,0.0,7.222,2416.0,0.0029892,1.5902895,0.00015902895,8419880,60794000,7.2202929,5,59486751,6391045194,12158800.0,14.774,8.832,1.2863332,1.1409514,1.2863332,1.1409514,11.4020833,34.016971,0.23164776949079008,6.9092379,26.5354291,0.08023365152769367,0.2975256,0.2975256,1.7262330568663319e-06,-2121559.4851733,0.5,-2645185.1016,0.5,3566.4402988,2248869.1496838,2248869.1496838,0.009184074128448386,0.0831781,1.0,0.1833385,1.0,0.1833385,0.4291805,0.0009285037924465843,ILS,ILS,0.3098132,0.3098132,0.0,0.0,0.0,0.0,2416.0,755.0,2995.0,1876.353,28.7604198,220.0,-19.3322204,1.4830357,10.6392168,0.1662377625,16.5607022,1.0,6.8347758,1.0,5.1624876,2.0,3.4666667,1.0,3.4611032,0.3333333,8.2125533,1.0,12.0292093,0.5,11.2312893,1.0,6.8447758,3.4766667,8.2225533,11.2412893,9.0430326,0.0024879577275501493,23434187.8311467,1.0,43728831.96456,1.0,43728831.96456,21596665.0877333,1.0,36727549.34568,1.0,36727549.34568,0.5307177,0.6402387297855615,0.6128244,0.1358446449570681,36352800.0,32053800.0,32053800.0,1837522.7434133,1.0,7001282.61888,1.0,7001282.61888,23.5963771,0.216862380504624,None
TLV:CDEV,COHEN DEV&IND BLDG,Energy,Israel,4892475.2363271,-1.846706809527502,11127800.0,1.0,6299600.0,5756300.0,0.5,48240000.0,3.0,15574000.0,1.0,42574000.0,1.0,15574000.0,42574000.0,48240000.0,11127800.0,1.0,6299600.0,48240000.0,3.0,15574000.0,1.0,15574000.0,48240000.0,9.9403565,9.9403565,9.284296258058668e-05,32.554807,32.554807,32.554807,9.5627113,0.008931575845892398,32.554807,0.0031465079872909692,11.0485583,12.0292154,0.000120292154,12285977.8756099,10105000.0,10349400.0,10105000.0,0.9685299,2.2140923,4.75,6.0735424,6.868125,3.0863882,0.009331427420292427,0.4627,0.24634,0.27473985925075,0.0,2.372,7656.0,0.0003098,25.251797,0.0025251797,6427430,15574000,2.4230524,10000000,159839004,15376839726,1.5574,0.072,0.177,-0.2415517,0.3384045,-0.2415517,0.3384045,-0.0063879,0.2493612,0.0016980925720149161,0.2173511,4.9120931,0.01485241352501771,-5096.3014199,19.6220733,0.00011384657849514204,8039400.0,1.0,11962000.0,1.0,19.8819569,13.3622308,13.3622308,5.456952362296893e-08,0.0875734,0.5,0.1950031,1.0,0.1950031,0.4425916,0.0009575178254953373,USD,ILS,1.0,0.3098132,91.177,83.579,106.373,75.981,7656.0,6000.0,8375.0,6954.135,10.0927721,27.6,-8.5850746,1.3945263,7.3546208,0.11491595,3.5840484,0.5,6.1380365,1.0,0.7747924,0.5,0.525,1.0,2.0462828,1.0,0.5115707,1.0,3.7034161,1.0,2.5302247,1.0,6.1480365,0.535,0.5215707,2.5402247,4.3441306,0.0011951757528505498,10329366.6666667,0.5,21591733.3333333,1.0,21591733.3333333,8865600.0,0.5,18081533.3333333,1.0,18081533.3333333,0.8212946,0.990780242459863,0.9613208,0.21309576244980566,3738666.6666667,5453866.6666667,5453866.6666667,2927533.3333333,1.0,3510200.0,1.0,3510200.0,51.3375629,0.4718176037201859,None
TLV:HGGE,HAGAG EUROPE DEVEL,Real Estate,Israel,8.369956134315882e+17,-1.822683880088503,231466.6666667,0.0,6679866.6666667,1717750.0,0.25,71094000.0,0.0,-20796000.0,0.0,28610000.0,0.6666667,-20796000.0,28610000.0,71094000.0,231466.6666667,1.0,6679866.6666667,71094000.0,3.0,-20796000.0,0.25,-20796000.0,71094000.0,10.7706559,10.7706559,0.00010059796172220534,85.2389336,85.2389336,85.2389336,10.2950889,0.009615616791709997,85.2389336,0.008238567821967569,245.4231736,245.4231772,0.002454231772,1040000.0302967,1040000.0,-2807866.6666667,1040000.0,-0.21939,61.1021424,0.0,-1.702338,4.0,19.7278048,0.05964530924946401,0.10074,0.8094,0.9027134938603437,0.0,-0.146,1716.0,-8.51e-05,14.671417,0.0014671417,42497800,-5199000,-0.1223357,11,255240115,24397301928,-472636.3636364,1.2999949,705.667,1.2999949,0.9783065,1.2999949,0.9783065,1.2999949,11.6517318,0.07934562081306148,529.4948266,230.3575459,0.6965188689756405,65.5686683,65.5686683,0.000380427105143771,-22998533.3333333,0.5,1486000.0,0.5,9010.5480865,171.7632001,171.7632001,7.01457424714868e-07,6.2970747,1.0,2.9833943,1.0,2.9833943,1.7282505,0.0037389563215190474,USD,ILS,1.0,0.3098132,0.0,0.0,0.0,0.0,1716.0,1071.0,2299.0,1484.0364,15.630587,60.2240896,-25.3588517,1.0504886,1.3438415,0.0209975234375,1.4814916,1.0,1.7219769,1.0,1.8814233,0.5,0.3160125,1.0,2.4628322,0.3333333,17.0597049,2.0,1.0788438,1.0,1.7406373,1.0,1.7319769,0.3260125,17.0697049,1.7506373,1.7413071,0.0004790758418235649,182159733.3333333,2.0,120137333.3333333,1.0,120137333.3333333,26309333.3333333,2.0,32426466.6666667,1.0,32426466.6666667,1e-06,1.206364004414327e-06,1e-06,2.2166977189072123e-07,1614733.3333333,17076400.0,17076400.0,126321066.6666667,2.0,72479066.6666667,1.0,72479066.6666667,14.2510116,0.1309738476833806,None
TLV:VTNA,VITANIA LTD,Real Estate,Israel,147.4879723,-1.8143944359232285,97263066.6666667,0.0,105028466.6666667,902145733.3333334,2.0,113629000.0,0.0,139558000.0,0.0,1998754000.0,1.0,139558000.0,1998754000.0,113629000.0,97263066.6666667,1.0,105028466.6666667,113629000.0,1.0,139558000.0,1.0,139558000.0,113629000.0,7.0033274,7.0033274,6.541110107447328e-05,10.273588,10.273588,10.273588,3.7592727,0.003511162074446679,10.273588,0.0009929693854470296,11.5219529,11.522584,0.00011522584,69057565.5283678,69050000.0,50734200.0,69050000.0,1.22819,1.1323526,0.0,0.7998371,1.0,1.0544599,0.003188068184183315,0.21924,0.61035,0.6807155682946142,0.0,2.851,3016.0,0.0009453,1.566059,0.00015660590000000002,47073200,139558000,2.9647018,10000000,795765187,42716240266,13.9558,286.517,0.762,0.0858855,-0.0263632,0.0858855,-0.0263632,214.9092214,146.8478245,1.0,0.5649092,7.7660442,0.023481741401026244,0.0478043,0.0478043,2.773588656584684e-07,20560933.3333333,0.5,135721000.0,1.0,38.7027755,5.8632429,5.8632429,2.39446823459115e-08,2.7883173,2.0,1.6159126,1.0,1.6159126,1.2721855,0.0027522896810212812,USD,ILS,1.0,0.3098132,31.8652,31.8652,63.7305,63.7305,3016.0,1570.0,3500.0,2563.565,17.648665,92.1019108,-13.8285714,1.4984456,11.3199857,0.1768747765625,0.5775307,0.3333333,1.6290221,1.0,0.5419911,0.5,0.3140907,0.5,6.2089335,0.3333333,35.5432812,2.0,0.123952,0.5,0.3501446,1.0,1.6390221,0.3240907,35.5532812,0.3601446,0.9995834,0.00027500965155879807,4005151333.3333335,2.0,2309995266.6666665,1.0,2309995266.6666665,1655982400.0,2.0,877975000.0,1.0,877975000.0,0.1604148,0.19351864049532339,0.2589544,0.05740236277809858,-432235400.0,-406918533.3333333,-406918533.3333333,2325095733.333333,2.0,1418930600.0,1.0,1418930600.0,4.3829835,0.04028178696646142,None
TLV:BCOM,B COMMUNICATIONS L,Communication Services,Israel,430848.0139969,-1.6174011420923042,686800540.6142857,0.25,-94891357.2571429,-1728509805.44,0.25,2715822511.2000003,1.0,73115915.2,1.0,-4891743885.866667,0.375,73115915.2,-4891743885.866667,2715822511.2000003,691559861.4866668,0.25,-87016200.7733333,2715822511.2000003,1.0,73115915.2,1.0,73115915.2,2715822511.2000003,0.4569745,0.4569745,4.268143341114809e-06,6.8,1.3263559,6.1157945,0.0565685,5.283499965520909e-05,6.1157945,0.0005911076739874446,1.1751215,1.1404075,1.1404075e-05,3622950699.709992,3837000000.0,3952066666.6666665,3837000000.0,0.02692,-0.031151,0.31875,0.0550994,2.75,0.0179562,5.4289015569802556e-05,0.00056,0.72529,0.8089066839164426,10.51,2.05,1369.0,0.0014974,24.20139,0.002420139,114819000,236000000,2.0554089,9848,4005873215,49587984523,23964.2567019,0.7499023,-0.017,0.7499023,-0.0293991,0.4999163,-0.0320291,0.7499023,8.90969,0.06067294514124722,-0.0200998,0.24799,0.0007498331068010787,8.155455,8.155455,4.731766279871652e-05,986259340.88,1.0,975911580.0,1.0,4.0616834,4.1047502,4.1047502,1.6763238590766328e-08,-39.8315983,2.0,409.4894986,4.0,409.4894986,20.2368469,0.0437810876631415,ILS,ILS,0.3098132,0.3098132,1188.0,315.0,32.0,73.0,1369.0,550.0,1514.0,828.5435,65.2297073,148.9090909,-9.5772787,1.6991701,24.066957,0.376046203125,2.0440558,2.0,4.3110446,4.0,0.0063514,0.0833333,1.0287624,4.0,1.1831819,1.0,5.3226368,4.0,0.507784,0.5,2.2852703,2.0,4.3210446,1.0387624,5.3326368,2.2952703,3.3081574,0.0009101543841921138,5181481190.506667,1.0,5016350754.906667,1.0,5016350754.906667,-5018973.84,1.0,16575006.2,1.5,16575006.2,0.1145755,0.13821975898777372,4.511215,1.0,-59800000.0,485600000.0,485600000.0,2530182441.76,0.5,3103777484.977777,0.6666667,3103777484.977777,3.3558429,0.03084185664644005,None
TLV:ASPF,ALTSHU FUND PEN,Financial Services,Israel,6.6428128,-1.6051187138561362,3055178133.333333,0.0,105057200.0,87898866.6666667,1.0,3884241000.0,0.0,463048000.0,0.0,989025000.0,1.5,463048000.0,989025000.0,3884241000.0,3055178133.333333,4.0,105057200.0,3884241000.0,3.0,463048000.0,2.0,463048000.0,3884241000.0,0.8237933,0.8237933,7.694232146104419e-06,14.221453,14.221453,14.221453,0.7743373,0.0007232313209386062,14.221453,0.001374540953518266,2.9506609,2.9331623,2.9331623e-05,365749908.4418312,370088000.0,185233000.0,370088000.0,0.17882,0.1441119,0.0,2.942603,16.0,1.0895116,0.00329404396341545,0.03029,0.69921,0.7798199926391042,0.0,1.156,1626.0,0.0007109,7.138515,0.0007138515,196840000,192798000,0.9794656,951,1066403722,100257091762,202731.8611987,0.977,0.696,0.7439338,0.3160708,0.7439338,0.3160708,0.9187335,9.8350585,0.06697449235960591,0.6010177,8.0025332,0.024196799595285208,15.4794113,15.4794113,8.981099941279084e-05,191098400.0,2.0,177331000.0,1.0,5.5803906,6.013634,6.013634,2.4558859035939502e-08,1.574585,1.0,6.0382028,2.0,6.0382028,2.4582755,0.00531831740870921,USD,ILS,1.0,0.3098132,20.8211,17.2129,0.0,0.0,-0.2290185,1557.0,2349.0,1836.2,-11.4475547,4.4315992,-30.7790549,0.1742424,0.1752424,0.0027381625,1.6358858,1.0,1.4034558,1.0,0.0038442,0.1666667,8.4166901,2.0,96.3518231,6.0,0.5971034,0.25,1.7859364,2.0,13.3088809,1.0,1.4134558,8.4266901,0.6071034,13.3188809,7.3661683,0.0020266116639256555,1260298533.3333333,2.0,1576574866.6666667,1.0,1576574866.6666667,490330933.3333333,2.0,588887400.0,1.5,588887400.0,0.393705,0.4749515403579427,0.8863099,0.19646811335748796,-44909200.0,587480000.0,587480000.0,769967600.0,2.0,1183983266.6666667,1.0,1183983266.6666667,7.4405227,0.06838208501595325,None
TLV:CPTP,CAPITAL POINT LTD,Financial Services,Israel,4.3482156,-1.5667657225647007,11589905.2698667,1.0,1432059.8814667,4515238.2310133,1.0,16999450.284,1.0,10099290.6936,1.0,36337370.6016,1.0,10099290.6936,36337370.6016,16999450.284,11589905.2698667,1.0,1432059.8814667,16999450.284,1.0,10099290.6936,1.0,10099290.6936,16999450.284,0.2865772,0.2865772,2.6766319956481746e-06,3.0703702,3.0703702,3.0703702,0.5908753,0.0005518777459499822,3.0703702,0.0002967593805191403,0.3745642,0.3734257,3.7342570000000003e-06,42259116.6253102,42516000.0,29734000.0,42516000.0,0.5941,0.0143892,0.1,1.5694447,2.75,0.726978,0.002197955021714167,0.10897,0.75088,0.8374468844450887,0.0,0.27,80.2,0.0033666,0.562797,5.6279699999999996e-05,126234000,32598000,0.2582347,37,15732531,3242132778,881027.027027,11.648,0.14,0.6489507,0.7140446,0.6489507,0.7140446,8.8982377,30.079914,0.2048373144268133,0.2835111,5.5745765,0.016855526497420396,0.3450537,0.3450537,2.0019894198483703e-06,-3201403.0666667,0.5,-7570595.3552,0.5,20348.9383434,207811.016533,207811.016533,0.0008486717783538607,0.1575948,1.0,0.1610201,1.0,0.1610201,0.4022731,0.0008702914017511142,ILS,ILS,0.3098132,0.3098132,10.0,10.0,0.0,0.0,80.2,55.8,121.4,84.542,-5.1359088,43.7275986,-33.937397,0.7439024,0.7449024,0.0116391,7.3752733,1.0,7.2153195,1.0,1.7016308,1.0,0.4650659,1.0,7.6001255,1.0,4.3265831,1.0,3.2983629,1.0,3.1365396,1.0,7.2253195,0.4750659,4.3365831,3.1465396,5.1859296,0.0014267750868056203,54916888.8598133,1.0,62494837.11496,1.0,62494837.11496,47456587.0038133,1.0,53818394.52368,1.0,53818394.52368,0.261602,0.3155872362827968,0.287655,0.06376441823322541,47728133.3333333,50268600.0,50268600.0,7460301.856,1.0,8676442.59128,1.0,8676442.59128,15.1157265,0.13892100545582603,None
TLV:FRDN,FRIDENSON LOGISTIC,Industrials,Israel,0.0007481,-1.5057027301553434,330588533.3333333,0.0,5542800.0,56457133.3333333,1.0,489902000.0,0.0,62803000.0,0.0,293811000.0,1.0,62803000.0,293811000.0,489902000.0,330588533.3333333,1.0,5542800.0,489902000.0,1.0,62803000.0,1.0,62803000.0,489902000.0,0.1164898,0.1164898,1.0880151172063121e-06,2.2180835,2.2180835,2.2180835,0.0704987,6.584581154162987e-05,2.2180835,0.00021438362233965354,1.3746412,1.326905,1.326905e-05,47783324.5436105,51102000.0,41789800.0,51102000.0,0.11983,0.016561,0.0,0.2202556,1.0,0.1198822,0.0003624534490784344,0.01,0.70701,0.7885192331284923,0.0,39.196,8490.0,0.0046167,0.8273853,8.273853e-05,1371760,11090000,8.0845046,450,61122937,3694857484,24644.4444444,23.494,0.577,0.2843789,0.1527864,0.2843789,0.1527864,17.6915947,42.3113774,0.2881307744535228,0.4709466,7.1125549,0.021505823371749812,0.125375,0.125375,7.274213361963352e-07,25763800.0,1.0,42574000.0,1.0,2.3724349,1.435687,1.435687,5.863149412273989e-09,1.8357103,0.5,5.7167853,2.0,5.7167853,2.39198,0.005174891453494231,USD,ILS,1.0,0.3098132,490.253,142.967,109.349,182.247,8490.0,5555.0,11400.0,9411.725,-9.7933694,52.8352835,-25.5263158,1.0042772,1.0259389,0.0160302953125,1.2888047,1.0,1.5283056,1.0,0.4861749,1.0,0.3949973,0.5,2.6154262,12.0,0.2425684,1.0,1.0058856,1.0,1.0872283,1.0,1.5383056,0.4049973,0.2525684,1.0972283,1.3177669,0.00036254965419065335,812440266.6666666,2.0,421317533.3333333,1.0,421317533.3333333,86687933.3333333,1.0,181462400.0,1.5,181462400.0,0.2490633,0.30046099994064684,0.4460937,0.09888548872088783,-8466.6666667,18590533.3333333,18590533.3333333,636425066.6666666,2.0,298342466.6666667,1.0,298342466.6666667,3.1618159,0.029058652516253024,None
