Symbol,Name,Sector,Value,Close,Grade
BABA,Alibaba Group Holding Limited,Consumer Cyclical,-0.16948,120.25,362.5623
GTN.A,Gray Television  Inc.,Communication Services,-0.33419,17.6,222.3401
LBTYB,Liberty Global plc,Communication Services,-0.41131,28.0,209.873
PKX,POSCO,Basic Materials,-0.342,60.18,188.2124
SID,Companhia Siderurgica Nacional ,Basic Materials,-0.28064,4.48,174.9126
LEN.B,Lennar Corporation,Consumer Cyclical,-0.00271,88.97,167.2991
OPY,Oppenheimer Holdings  Inc.,Financial Services,-0.19787,44.04,147.5464
SVA,None,Healthcare,-0.32247,6.47,132.2989
FOX,Fox Corporation,Communication Services,-0.21504,34.32,127.256
VIPS,Vipshop Holdings Limited,Consumer Cyclical,-0.08669,8.47,126.8825
USM,United States Cellular Corporat,Communication Services,-0.29104,32.39,120.6539
CO,Global Cord Blood Corporation,Healthcare,-0.31093,3.9,119.2499
EPD,Enterprise Products Partners L.,Energy,-0.19218,21.05,114.7328
FOR,Forestar Group Inc,Real Estate,-0.29281,21.29,107.7952
TME,Tencent Music Entertainment Gro,Communication Services,-0.11724,6.29,101.8122
GGB,Gerdau S.A.,Basic Materials,-0.21961,5.2,101.6264
GTN,Gray Television  Inc.,Communication Services,-0.13819,18.83,94.3676
UMC,United Microelectronics Corpora,Technology,-0.03955,11.01,94.1716
BIO.B,Bio-Rad Laboratories  Inc.,Healthcare,-0.43854,720.35,93.3902
ORAN,Orange,Communication Services,-0.04053,10.38,91.4283
TSM,Taiwan Semiconductor Manufactur,Technology,-0.09065,116.57,89.9384
SEB,Seaboard Corporation,Industrials,-0.43831,3738.79,80.3279
UHS,Universal Health Services  Inc.,Healthcare,-0.11982,128.3,73.6291
LYB,LyondellBasell Industries NV,Basic Materials,-0.26666,89.11,70.0638
ELP,Companhia Paranaense de Energia,Utilities,-0.0714,5.44,69.6832
QRTEB,Liberty Interactive Corporation,Consumer Cyclical,-0.35429,7.75,69.3931
TX,Ternium S.A. Ternium S.A.,Basic Materials,-0.14899,43.31,66.9821
DAC,Danaos Corporation,Industrials,-0.22989,69.51,65.3473
LX,LexinFintech Holdings Ltd.,Financial Services,-0.08017,3.71,64.1237
SNFCA,Security National Financial Cor,Financial Services,-0.18538,8.69,61.4502
PANL,Pangaea Logistics Solutions Ltd,Industrials,-0.27829,3.67,61.1535
JEF,Jefferies Financial Group Inc.,Financial Services,-0.06606,38.23,61.1473
ABEV,Ambev S.A.,Consumer Defensive,-0.11838,2.79,55.7613
MDC,M.D.C. Holdings  Inc.,Consumer Cyclical,-0.13737,54.19,55.3959
FRO,Frontline Ltd.,Energy,-0.23568,6.72,53.3769
THO,Thor Industries  Inc.,Consumer Cyclical,-0.17158,98.68,53.1755
WLK,Westlake Chemical Corporation,Basic Materials,-0.44381,92.24,52.0349
GHC,Graham Holdings Company,Consumer Defensive,-0.1908,571.77,51.8322
AM,Antero Midstream Corporation,Energy,-0.17783,9.46,49.599
BBY,Best Buy Co.  Inc.,Consumer Cyclical,-0.15618,100.22,49.459
DISH,DISH Network Corporation,Communication Services,-0.13786,32.3,48.2271
MFC,Manulife Financial Corporation,Financial Services,-0.06295,18.43,46.8019
ULH,Universal Logistics Holdings  I,Industrials,-0.39928,17.42,46.3337
PHI,PLDT Inc. Sponsored,Communication Services,0.25478,35.5,45.9737
BIO,Bio-Rad Laboratories  Inc.,Healthcare,-0.11795,734.34,44.6586
VALE,VALE S.A.,Basic Materials,-0.24841,14.16,43.0358
SEM,Select Medical Holdings Corpora,Healthcare,-0.18464,28.15,42.9645
AMKR,Amkor Technology  Inc.,Technology,-0.29721,21.71,42.0874
OBCI,Ocean Bio-Chem  Inc.,Industrials,-0.33491,8.33,41.1883
IMOS,ChipMOS TECHNOLOGIES INC.,Technology,-0.07862,32.52,41.0838
KMPR,Kemper Corporation,Financial Services,-0.08499,54.32,40.9129
HNNA,Hennessy Advisors  Inc.,Financial Services,-0.24533,10.7,40.7443
SENEB,Seneca Foods Corp.,Consumer Defensive,-0.28901,46.0,40.4813
JRSH,Jerash Holdings (US)  Inc.,Consumer Cyclical,-0.36597,6.59,40.4784
IPGP,IPG Photonics Corporation,Technology,-0.22041,165.18,39.691
QIWI,QIWI plc,Technology,-0.1461,7.79,39.4944
BEDU,Bright Scholar Education Holdin,Consumer Defensive,-0.17116,1.66,39.3803
SMLP,Summit Midstream Partners  LP,Energy,-0.24102,24.52,39.1701
FCNCA,First Citizens BancShares  Inc.,Financial Services,-0.07677,785.54,38.897
STNE,StoneCo Ltd.,Technology,-0.14904,15.64,38.8549
CIG,Comp En De Mn Cemig,Utilities,-0.09592,2.44,38.8387
TGS,Transportadora de Gas del Sur S,Energy,-0.14765,4.5,37.0762
ASX,ASE Technology Holding Co.  Ltd,Technology,-0.06681,7.24,37.05
WIT,Wipro Limited,Technology,0.04606,8.81,36.7441
ZIM,ZIM Integrated Shipping Service,Industrials,0.0024,49.76,36.4047
ESGR,Enstar Group Limited,Financial Services,-0.09598,243.14,36.2693
FF,FutureFuel Corp.,Basic Materials,-0.2416,7.4,35.2474
BRFS,BRF S.A.,Consumer Defensive,-0.13355,3.59,34.1557
LBTYK,Liberty Global plc,Communication Services,-0.08039,27.4,33.7263
MPB,Mid Penn Bancorp,Financial Services,-0.02683,29.75,33.3464
BSVN,Bank7 Corp.,Financial Services,-0.23064,22.27,32.92
CMCL,Caledonia Mining Corporation Pl,Basic Materials,-0.11615,11.5,31.7976
BSBR,Banco Santander Brasil SA,Financial Services,-0.12771,5.63,31.6384
BIDU,Baidu  Inc.,Communication Services,-0.58483,140.17,31.1623
MPLX,MPLX LP,Energy,-0.191,28.76,31.12
FDP,Fresh Del Monte Produce  Inc.,Consumer Defensive,-0.16964,26.46,30.9736
BEN,Franklin Resources  Inc.,Financial Services,-0.14064,34.16,30.8328
WOR,Worthington Industries  Inc.,Industrials,-0.27489,51.22,30.7945
OVLY,Oak Valley Bancorp (CA),Financial Services,-0.14447,17.35,29.9292
KNOP,KNOT Offshore Partners LP,Industrials,-0.11791,13.2,29.8402
WLKP,Westlake Chemical Partners LP,Basic Materials,-0.23929,24.1,29.6614
RRBI,Red River Bancshares  Inc.,Financial Services,-0.16761,54.22,27.7563
LBTYA,Liberty Global plc,Communication Services,-0.0826,27.39,27.2752
TTEC,TTEC Holdings  Inc.,Technology,-0.31459,83.81,27.0015
BDL,Flanigan's Enterprises  Inc.,Consumer Cyclical,-0.3303,31.65,26.9806
CANG,Cango Inc.,Communication Services,-0.21637,2.71,26.933
APT,Alpha Pro Tech  Ltd.,Industrials,-0.1856,6.13,26.8332
VMW,Vmware  Inc.,Technology,-0.17355,114.42,26.5336
HBT,HBT Financial  Inc.,Financial Services,-0.17208,18.14,26.5196
LDI,loanDepot  Inc.,Financial Services,-0.18979,4.71,26.2719
ATHM,Autohome Inc.,Communication Services,-0.11585,28.89,26.2047
DHI,D.R. Horton  Inc.,Consumer Cyclical,0.26916,104.47,26.074
AGR,Avangrid  Inc.,Utilities,-0.24861,48.48,26.0728
SHG,Shinhan Financial Group Co Ltd,Financial Services,-0.10018,31.54,25.4427
IP,International Paper Company,Consumer Cyclical,-0.13549,47.01,25.0002
