Symbol,Name,Sector,Country,sss_value,sss_value_normalized,annualized_revenue,annualized_earnings,annualized_retained_earnings,quarterized_revenue,quarterized_earnings,quarterized_retained_earnings,effective_earnings,effective_retained_earnings,effective_revenue,annualized_total_revenue,annualized_net_income,quarterized_total_revenue,quarterized_net_income,effective_net_income,effective_total_revenue,enterprise_value_to_revenue,evr_effective,evr_effective_normalized,trailing_price_to_earnings,forward_price_to_earnings,effective_price_to_earnings,trailing_12months_price_to_sales,trailing_12months_price_to_sales_normalized,pe_effective,pe_effective_normalized,enterprise_value_to_ebitda,effective_ev_to_ebitda,effective_ev_to_ebitda_normalized,ebitda,quarterized_ebitd,annualized_ebitd,ebitd,profit_margin,annualized_profit_margin,annualized_profit_margin_boost,quarterized_profit_margin,quarterized_profit_margin_boost,effective_profit_margin,effective_profit_margin_normalized,held_percent_institutions,held_percent_insiders,held_percent_insiders_normalized,forward_eps,trailing_eps,previous_close,trailing_eps_percentage,price_to_book,price_to_book_normalized,shares_outstanding,net_income_to_common_shareholders,nitcsh_to_shares_outstanding,employees,enterprise_value,market_cap,nitcsh_to_num_employees,eqg,rqg,eqg_yoy,rqg_yoy,niqg_yoy,trqg_yoy,eqg_effective,eqg_factor_effective,eqg_factor_effective_normalized,rqg_effective,rqg_factor_effective,rqg_factor_effective_normalized,price_to_earnings_to_growth_ratio,effective_peg_ratio,effective_peg_ratio_normalized,annualized_cash_flow_from_operating_activities,quarterized_cash_flow_from_operating_activities,annualized_ev_to_cfo_ratio,quarterized_ev_to_cfo_ratio,ev_to_cfo_ratio_effective,ev_to_cfo_ratio_effective_normalized,annualized_debt_to_equity,quarterized_debt_to_equity,debt_to_equity_effective,debt_to_equity_effective_used,debt_to_equity_effective_used_normalized,financial_currency,summary_currency,financial_currency_conversion_rate_mult_to_usd,summary_currency_conversion_rate_mult_to_usd,last_dividend_0,last_dividend_1,last_dividend_2,last_dividend_3,fifty_two_week_change,fifty_two_week_low,fifty_two_week_high,two_hundred_day_average,previous_close_percentage_from_200d_ma,previous_close_percentage_from_52w_low,previous_close_percentage_from_52w_high,dist_from_low_factor,eff_dist_from_low_factor,eff_dist_from_low_factor_normalized,annualized_total_ratio,quarterized_total_ratio,annualized_other_current_ratio,quarterized_other_current_ratio,annualized_other_ratio,quarterized_other_ratio,annualized_total_current_ratio,quarterized_total_current_ratio,total_ratio_effective,other_current_ratio_effective,other_ratio_effective,total_current_ratio_effective,effective_current_ratio,effective_current_ratio_normalized,annualized_total_assets,quarterized_total_assets,effective_total_assets,calculated_roa,calculated_roa_normalized,annualized_working_capital,quarterized_working_capital,effective_working_capital,annualized_total_liabilities,quarterized_total_liabilities,effective_total_liabilities,altman_z_score_factor,altman_z_score_factor_normalized,skip_reason
EQC,Equity,Real Estate,United States,5671481.7013838,-1.9410239480330833,118415933.3333333,410423600.0,-703854133.3333334,62309000.0,16517000.0,-2834854000.0,16517000.0,-2834854000.0,62309000.0,118415933.3333333,410423600.0,62309000.0,16517000.0,16517000.0,62309000.0,7.206,7.206,0.001451035116016359,375.57144,26.6260928,331.9532716,51.44248,0.01665413781631786,331.9532716,0.040594822324377014,-163.266,27.1829858,0.000271829858,-2469499.6202516,-2189000.0,34364133.3333333,-2189000.0,0.26508,33.2911269,5.625,-0.2729133,0.0,19.0702506,0.7163331703155256,0.9691001,0.02315,0.02583186413443728,-0.07,0.07,26.4,0.0026515,1.0319517,0.0010319517,121922000,8529000,0.0699546,28,448981376,3205329408,304607.1428571,1.3535851,-0.4357218,1.3535851,-0.4357218,1.3535851,-0.4357218,1.3535851,11.8843676,0.05476222202930497,-0.4357218,0.2064278,0.003951730416544506,117.83,117.83,0.0003299239999999604,62764800.0,23098000.0,7.1533945,19.4381062,19.4381062,4.7196224852044295e-06,0.0468993,0.0289753,0.0289753,0.1712215,1.9430822435082297e-06,USD,USD,1.0,1.0,3.5,3.5,2.5,0.25,26.4,25.8,31.76,27.888767,-5.3382317,2.3255814,-16.8765743,0.2013423,0.2023423,0.0031809649873462734,64.3605041,90.4270608,8.8863273,0.7085132,7.9572105,6.3936771,74.9924587,94.6144562,90.4370608,0.7185132,6.4036771,94.6244562,92.5307585,0.606396091383581,3386491000.0,3356453000.0,3356453000.0,0.104921,0.10370148095412757,2808360733.333333,2994665133.333333,2994665133.333333,146671600.0,90749466.6666667,90749466.6666667,4.5931185,0.4935687173063487,None
SCCO,Southern Copper Corporation,Basic Materials,United States,22701.3984812,-1.758566370305382,7591300000.0,1488060000.0,6574240000.0,8797700000.0,2119400000.0,27081700000.0,2119400000.0,27081700000.0,8797700000.0,7591300000.0,1488060000.0,8797700000.0,2119400000.0,2119400000.0,8797700000.0,6.206,6.206,0.0012496702650565536,23.947464,19.249266,23.3601893,5.7679296,0.0018673262734070976,23.3601893,0.002856735616812981,11.495,11.5064981,0.000115064981,4740483555.284906,4731000000.0,3724120000.0,4731000000.0,0.2409,1.1136916,5.625,8.0961969,30.078125,4.9890101,0.18740149233640258,0.08282,0.89025,0.9933830257314379,3.41,2.741,67.71,0.0404815,6.7433734,0.0067433734000000006,773073024,2119399936,2.7415262,13777,54600871936,50744512512,153836.0990056,2.556,0.0719461,0.1816665,0.0719461,0.1816665,0.0719461,1.9624166,14.2586282,0.06570262630732737,0.0719461,2.9322771,0.056133760112770256,1.42,1.42,3.975999999999523e-06,2424213333.333333,3091000000.0,22.52313,17.6644684,17.6644684,4.288978637734941e-06,1.3268931,1.3018159,1.3018159,1.1419715,1.2959497167367756e-05,USD,USD,1.0,1.0,0.7,0.6,0.5,0.4,67.71,42.02,83.29,69.96246,-3.2195266,61.1375535,-18.705727,1.2449721,3.7235551,0.058536936673916684,1.7614028,1.7738673,0.1257778,0.127552,2.2178832,1.9726568,3.1397773,3.6672649,1.7838673,0.137552,1.9826568,3.6772649,2.7305661,0.017894639978602446,16237126666.666666,16922013333.333334,16922013333.333334,0.2252451,0.2226270284086175,2947013333.333333,3488860000.0,3488860000.0,9236073333.333334,9539453333.333334,9539453333.333334,2.6690737,0.2868141291162225,None
BIO,"Bio-Rad Laboratories, Inc.",Healthcare,United States,63494.9414944,-1.672896456970853,2423375133.333333,2555887533.333333,7020119800.0,2700778000.0,4097769000.0,35065456000.0,4097769000.0,35065456000.0,2700778000.0,2423375133.333333,2555887533.333333,2700778000.0,4097769000.0,4097769000.0,2700778000.0,6.426,6.426,0.0012939705322677106,5.4426966,58.83135,12.1162783,8.199433,0.0026545082429475526,12.1162783,0.0014817090443196125,26.791,26.4062864,0.000264062864,666990294.0166473,686146000.0,489793333.3333333,686146000.0,1.51726,44.4525147,34.8046875,3.4784822,2.5,26.6220404,1.0,0.81258,0.14342,0.1600348144346002,12.57,135.872,707.13,0.1921457,2.0746586,0.0020746586,24692600,4097768960,165.9512955,7800,17356136448,22144849920,525354.9948718,0.425,0.0691597,2.0383212,0.0691597,2.0383212,0.0691597,0.8283303,9.3512653,0.043089887813091136,0.0691597,2.8798241,0.05512963123313772,2.56,2.56,7.16799999999914e-06,473955800.0,626130000.0,36.6197364,27.7197011,27.7197011,6.730415157146634e-06,0.3546853,0.3237407,0.3237407,0.5699822,6.4683599427394135e-06,USD,USD,1.0,1.0,0.0,0.0,0.0,0.0,707.13,472.84,756.515,611.1967,15.6959781,49.5495305,-6.5279605,1.6518199,20.3130953,0.3193363173885448,3.8671913,4.1009229,0.0896251,0.0973206,0.067651,0.0382497,3.3097779,3.2732245,4.1109229,0.1073206,0.0482497,3.2832245,3.6970737,0.024228603305321804,10087435200.0,13166328066.666666,13166328066.666666,0.411231,0.406451174829127,1452290066.6666667,1495779533.3333333,1495779533.3333333,2552057866.6666665,3206599800.0,3206599800.0,2.8949642,0.3110879388027546,None
ZM,"Zoom Video Communications, Inc.",Technology,United States,26199030.4774194,-1.6171905785144107,1634272533.3333333,366072933.3333333,353153933.3333333,3279438000.0,872772000.0,2197541000.0,872772000.0,2197541000.0,3279438000.0,1634272533.3333333,366072933.3333333,3279438000.0,872772000.0,872772000.0,3279438000.0,32.066,32.066,0.006456965310877126,130.3793,80.7906,124.1807125,33.970963,0.010997858181701868,41.3935708,0.0050620517878864025,108.005,108.2782297,0.001082782297,968757500.7083006,963856000.0,381928200.0,963856000.0,0.26613,2.7754461,13.921875,1.6151213,6.25,2.095451,0.078711134402756,0.54127,0.14306,0.1596331094199826,4.68,2.9,386.02,0.0075126,26.559427,0.026559427,236782000,871873984,3.6821802,5059,105160040448,111405662208,172341.1709824,7.404,2.283187,15.4210395,2.283187,15.4210395,2.283187,9.4082599,30.9228868,0.142490206439648,2.283187,15.3602183,0.29404683797857434,4.39,4.39,1.2291999999998525e-05,833271600.0,1745514000.0,126.2013975,60.2458877,60.2458877,1.462785743140044e-05,-3.4896484,0.5321215,0.5321215,0.7304666,8.289593771435413e-06,USD,USD,1.0,1.0,0.0,0.0,0.0,0.0,386.02,230.0,588.84,353.59796,9.1691819,67.8347826,-34.4439916,0.8695798,0.8705798,0.013686134152329598,3.1284967,3.219934,0.2847471,0.2547484,1.8235666,2.5750686,3.3242714,3.2412269,3.229934,0.2647484,2.5850686,3.2512269,3.2405804,0.021236995354082622,3231164866.6666665,5135094866.666667,5135094866.666667,0.2699622,0.2668243720669301,2111556600.0,3199833866.6666665,3199833866.6666665,920563866.6666666,1589522866.6666667,1589522866.6666667,6.6828559,0.7181283510334351,None
COLM,Columbia Sportswear Company,Consumer Cyclical,United States,265913.9585765,-1.5654128754363064,2683540066.6666665,188513000.0,1788732600.0,2558932000.0,163700000.0,7031552000.0,163700000.0,7031552000.0,2558932000.0,2683540066.6666665,188513000.0,2558932000.0,163700000.0,163700000.0,2558932000.0,2.461,2.461,0.0004955588982120815,40.44661,19.571709,37.8372474,2.5871913,0.0008375848222593188,37.8372474,0.004627146248756827,19.89,19.8899375,0.000198899375,316679009.8039216,316681000.0,330800600.0,316681000.0,0.06397,0.1449102,2.5,0.0768001,1.0,0.1238873,0.004653561415224958,0.43775,0.4337,0.4839429578879243,5.09,2.463,100.31,0.0245539,3.5376422,0.0035376422,66457000,163700000,2.4632469,7275,6298705920,6620446720,22501.7182131,261.441,-0.057633,-0.0966967,-0.057633,-0.0966967,-0.057633,196.0565758,140.2702042,0.6463539605166998,-0.057633,0.2442367,0.004675521398893248,0.79,0.79,2.2119999999997346e-06,284712666.6666667,374222000.0,22.1230267,16.8314688,16.8314688,4.086724179308003e-06,0.525219,0.5211058,0.5211058,0.7228766,8.203459762399006e-06,USD,USD,1.0,1.0,0.26,0.26,0.26,0.24,100.31,73.11,114.98,102.24631,-1.8937701,37.2042128,-12.7587407,1.2992596,4.8103384,0.07562194374427539,2.9582099,2.9250682,0.2512449,0.3423999,1.3303181,1.4162505,3.2369386,3.5616652,2.9350682,0.3523999,1.4262505,3.5716652,3.2533667,0.021320789785998558,2757951733.333333,2774970466.6666665,2774970466.6666665,0.1589916,0.15714360689724907,1265601666.6666667,1281159933.3333333,1281159933.3333333,951762333.3333334,949635466.6666666,949635466.6666666,3.0956729,0.3326557550067617,None
QDEL,Quidel Corporation,Healthcare,United States,6.5786443,-1.4869524768333955,1117014466.6666667,460945400.0,547307333.3333334,1862353000.0,948134000.0,2785440000.0,948134000.0,2785440000.0,1862353000.0,1117014466.6666667,460945400.0,1862353000.0,948134000.0,948134000.0,1862353000.0,2.273,2.273,0.0004577023062316381,7.606323,12.312446,8.1945884,3.2316804,0.0010462335944902584,8.1945884,0.0010021225533220531,3.293,3.2936041,3.2936041e-05,1284835444.2757363,1284364000.0,660508066.6666666,1284364000.0,0.5091,0.8981108,2.25,1.2384561,2.5,1.0470209,0.03932910040959896,0.86737,0.11936,0.13318752929099065,11.49,18.599,142.95,0.1301084,4.4892583,0.0044892583,42542800,948134016,22.2865918,1370,4232515584,6018529792,692068.6248175,3.426,1.3364244,5.9161949,1.3364244,5.9161949,1.3364244,4.0485487,20.3710058,0.09386797683537315,1.3364244,11.8103825,0.2260909032420776,1.7,1.7,4.759999999999428e-06,391762866.6666667,1154040000.0,10.8037692,3.667564,3.667564,8.904940297283846e-07,0.7098814,0.4274757,0.4274757,0.6548163,7.431087365136727e-06,USD,USD,1.0,1.0,0.0,0.0,0.0,0.0,142.95,103.31,306.72,145.70406,-1.8901738,38.3699545,-53.393975,0.3897547,0.3907547,0.006142942031107667,2.9156685,3.3634146,0.2002082,0.0200125,0.4073371,0.516872,2.6123727,3.2364357,3.3734146,0.0300125,0.526872,3.2464357,3.3099251,0.021691442672140297,1410718200.0,1849017000.0,1849017000.0,0.6127773,0.6056548594187218,473271800.0,757869266.6666666,757869266.6666666,478773133.3333333,545101866.6666666,545101866.6666666,3.5391862,0.38031494137203964,None
AGIO,"Agios Pharmaceuticals, Inc.",Healthcare,United States,4635228.7611473,-1.4324453834583868,155266733.3333333,-351438266.6666667,-1587969800.0,116098000.0,1587211000.0,-5205282000.0,1587211000.0,-5205282000.0,116098000.0,155266733.3333333,-351438266.6666667,116098000.0,1587211000.0,1587211000.0,116098000.0,6.17,6.17,0.0012424211304220003,2.0976183,1337.0762555,168.9699479,14.57267,0.004717798491280374,168.9699479,0.020663465613994993,-4.04,0.7898738,7.898738e-06,-332252943.5643564,-354185000.0,-343152000.0,-354185000.0,7.8112297,-2.1285341,0.0,-2.4279036,0.0,3.5185639,0.13216732628803313,1.07712,0.0118,0.013166997701354639,-6.43,22.926,49.84,0.459992,1.4618355,0.0014618355,61574300,-334152992,-5.4268257,562,1253696384,2961108224,-594578.2775801,0.0884126,0.6551579,0.0884126,0.6551579,0.0884126,0.6551579,0.0884126,3.2234256,0.014853289156264873,0.6551579,8.3441826,0.1597360441840751,0.05,0.05,1.399999999999832e-07,-313508933.3333333,-306150000.0,2500.6766976,40950.3963417,40950.3963417,0.009942862198804147,0.7850883,0.5158574,0.5158574,0.7192322,8.162101820036385e-06,USD,USD,1.0,1.0,0.0,0.0,0.0,0.0,0.0242811,32.47,62.16,53.314964,-6.5178024,53.4955343,-19.8198198,1.1700909,2.5663607,0.04034501699151129,2.7936567,7.8597984,0.0,0.0,0.0041127,0.0010282,6.541312,16.9696878,7.8697984,0.01,0.0110282,16.9796878,12.4247431,0.0814249853175592,847859400.0,1740821266.6666667,1740821266.6666667,1.0117599,1.0,520294000.0,1481242933.3333333,1481242933.3333333,347280133.3333333,308127333.3333333,308127333.3333333,1.0188728,0.10948634157693253,None
BF.A,Brown Forman Inc,Consumer Defensive,United States,25741786974.194687,-1.4126182188802865,3402400000.0,861266666.6666666,2865466666.6666665,3461000000.0,903000000.0,12299000000.0,903000000.0,12299000000.0,3461000000.0,3402400000.0,861266666.6666666,3461000000.0,903000000.0,903000000.0,3461000000.0,10.179,10.179,0.002049692817919861,35.57979,35.57979,35.57979,9.641378,0.0031213277033147516,35.57979,0.004351080037340551,32.233,32.2329489,0.00032232948899999994,1092996534.1110044,1093000000.0,1130800000.0,1093000000.0,0.26091,0.0,0.0,0.0,0.0,0.1590914,0.005975928126080073,0.13687,0.73173,0.8164989176281551,0.0,1.88,66.6,0.0282282,12.056597,0.012056597,169136992,903000000,5.3388676,4700,35230445568,33368811520,192127.6595745,-0.062,0.0233468,0.0732867,0.0233468,0.0732867,0.0233468,-0.0281783,0.2471822,0.001138995946077271,0.0233468,1.7779646,0.034036291571965534,-1262.66479,79.1975834,0.0002217532335199734,779000000.0,817000000.0,45.225219,43.1217204,43.1217204,1.0470065298878682e-05,1.7562763,1.5557277,1.5557277,1.2482881,1.4166015610730109e-05,USD,USD,1.0,1.0,0.1795,0.1795,0.18,0.1743,66.6,61.53,83.01,69.458984,-4.1160752,8.239883,-19.7687026,0.472067,0.473067,0.00743694997866951,1.592191,1.6464835,3.7736807,2.5999809,0.4215178,0.4680607,3.9882309,3.9959258,1.6564835,2.6099809,0.4780607,4.0059258,2.8312046,0.018554169782875114,6032933333.333333,6469800000.0,6469800000.0,0.2395715,0.23678690962154164,2619866666.6666665,2907533333.333333,2907533333.333333,3782400000.0,3931400000.0,3931400000.0,3.0636197,0.32921137254426613,None
ROL,"Rollins, Inc.",Consumer Cyclical,United States,76096972.8880395,-1.4066250768005557,2044583666.6666667,236162000.0,328558333.3333333,2208873000.0,310199000.0,1775583000.0,310199000.0,1775583000.0,2208873000.0,2044583666.6666667,236162000.0,2208873000.0,310199000.0,310199000.0,2208873000.0,7.605,7.605,0.0015313796915493215,60.841274,55.550728,60.1799557,8.5397005,0.0027646674312179066,60.1799557,0.00735945332713624,34.327,34.327122,0.00034327122,489331478.7776386,489328000.0,423255266.6666667,489328000.0,0.14043,0.6587046,5.625,0.3766327,2.5,0.5140734,0.0193100676084918,0.41384,0.57361,0.6400611484300028,0.69,0.63,37.83,0.0166534,19.069653,0.019069653,492124000,310199008,0.6303269,15616,16797401088,18863114240,19864.1782787,1.141,0.0843334,0.1684959,0.0843334,0.1684959,0.0843334,0.897874,9.7256212,0.044814890068472425,0.0843334,3.1540213,0.060378698535949356,6.19,6.19,1.7331999999997922e-05,373249600.0,463308000.0,45.0031322,36.255366,36.255366,8.802896682543908e-06,0.9263374,0.9351742,0.9351742,0.9680441,1.098570741199502e-05,USD,USD,1.0,1.0,0.08,0.08,0.086667,0.053333,37.83,31.44,43.0,35.290436,7.196182,20.3244275,-12.0232558,1.1055363,1.8257366,0.028701878948280354,2.1524424,2.0729946,0.2070282,0.1776627,0.7049231,0.6582869,0.7437747,0.6734295,2.0829946,0.1876627,0.6682869,0.6834295,1.3832121,0.009064817197996651,1664441000.0,1856476933.3333333,1856476933.3333333,0.2670901,0.26398565509465244,-114710266.6666667,-160704933.3333333,-160704933.3333333,806333000.0,896131466.6666666,896131466.6666666,3.9905453,0.4288172240872685,None
ALGM,"Allegro MicroSystems, Inc.",Technology,United States,4779297.1636048,-1.395519653255962,606625000.0,32135400.0,79308400.0,664348000.0,40802000.0,238436000.0,40802000.0,238436000.0,664348000.0,606625000.0,32135400.0,664348000.0,40802000.0,40802000.0,664348000.0,7.471,7.471,0.0015043968015207075,128.0841,128.0841,128.0841,7.822198,0.0025323810889079593,42.6947,0.005221167884078113,29.926,30.5347489,0.000305347489,159380160.6629687,152896000.0,132650666.6666667,152896000.0,0.06142,0.0996175,2.5,0.230357,2.5,0.178869,0.006718831363504354,0.42242,0.55202,0.6159700060255752,0.0,0.214,27.12,0.0078909,8.405397,0.008405397,189590000,40802000,0.2152118,3874,4963655680,5196661760,10532.2663913,4.74,0.0987138,-0.0235363,0.0987138,-0.0235363,0.0987138,3.5491159,19.0890974,0.08796104473895844,0.0987138,3.3918747,0.06493202185508817,3.08,3.08,8.623999999998966e-06,105417133.3333333,133399000.0,47.0858533,37.2090921,37.2090921,9.034463847573922e-06,0.2913751,0.2727407,0.2727407,0.5232458,5.937978717452297e-06,USD,USD,1.0,1.0,0.0,0.0,0.0,0.0,0.5485876,16.78,34.66,27.183561,-0.2338215,61.6209774,-21.7541835,1.1565996,2.3938565,0.03763312817552877,4.4955286,4.6978726,0.8468088,4.6135198,1.7152318,2.3271819,3.3736834,3.7988039,4.7078726,4.6235198,2.3371819,3.8088039,4.2583383,0.027906825176506066,731303733.3333334,771286866.6666666,771286866.6666666,0.1529012,0.15112399690875275,286068133.3333333,319107600.0,319107600.0,160879066.6666667,165163000.0,165163000.0,4.6206978,0.4965323420691775,None
MKTX,"MarketAxess Holdings, Inc.",Financial Services,United States,179109970.4863065,-1.3534679301613914,588197333.3333334,247227800.0,669292200.0,715611000.0,305018000.0,3107546000.0,305018000.0,3107546000.0,715611000.0,588197333.3333334,247227800.0,715611000.0,305018000.0,305018000.0,715611000.0,23.863,23.863,0.004805169438453841,59.39625,52.973244,58.5933743,25.220741,0.008165035908915323,117.1867485,0.014330858109033182,40.377,40.2144443,0.00040214444299999997,426369914.1962008,429803000.0,342253933.3333333,429803000.0,0.42623,14.8139625,34.8046875,1.0459636,2.5,8.8348582,0.33186254949864774,0.95752,0.02745,0.030630007364591934,8.97,8.0,475.78,0.0168145,18.26453,0.01826453,37982700,305017984,8.030445,610,17076920320,18048239616,500029.4819672,0.075,0.2636749,0.3403358,0.2636749,0.3403358,0.2636749,0.141334,4.0094409,0.018475185232336332,0.2636749,5.3849289,0.10308586016544066,6.67,6.67,1.867599999999776e-05,327701400.0,260961000.0,52.1112217,65.4385917,65.4385917,1.5888659399722383e-05,0.302016,0.472234,0.472234,0.6881928,7.809855711988334e-06,USD,USD,1.0,1.0,0.66,0.66,0.6,0.6,475.78,431.19,606.45,496.18784,-4.1129263,10.3411489,-21.5467062,0.508844,0.509844,0.00801511059728279,4.9053065,3.2721174,2.0015439,3.3245005,1.0300061,0.0029461,5.4692104,6.659055,3.2821174,3.3345005,0.0129461,6.669055,4.9755862,0.0326072764660422,1096230800.0,1414859533.3333333,1414859533.3333333,0.3155818,0.311913725776244,569537733.3333334,860149533.3333334,860149533.3333334,266139066.6666667,456548200.0,456548200.0,5.3873785,0.5789185486698853,None
MNST,Monster Beverage Corporation,Consumer Defensive,United States,2229540.736011,-1.350544981705269,4305052733.333333,1234318533.3333333,5486935200.0,4780357000.0,1445953000.0,24752364000.0,1445953000.0,24752364000.0,4780357000.0,4305052733.333333,1234318533.3333333,4780357000.0,1445953000.0,1445953000.0,4780357000.0,9.651,9.651,0.0019433721766130836,34.778763,31.335548,34.3483611,10.428921,0.0033762891604271696,34.3483611,0.00420048764474368,26.504,26.5000896,0.000265000896,1741202210.0814972,1741716000.0,1565886000.0,1741716000.0,0.30248,10.2874225,34.8046875,0.7411871,2.5,6.1435063,0.23076767248839425,0.6542,0.28719,0.3204601754111897,3.01,2.712,94.58,0.0286741,9.129804,0.009129804,528561984,1445953024,2.7356357,3013,46135205888,49853964288,479904.7540657,0.13,0.1022336,0.2186864,0.1022336,0.2186864,0.1022336,0.1521716,4.1509179,0.019127100012054178,0.1022336,3.4473995,0.06599495543783503,2.51,2.51,7.027999999999156e-06,1245323000.0,1348504000.0,37.0467789,34.2121387,34.2121387,8.306795806859653e-06,0.2194134,0.2049687,0.2049687,0.4537347,5.1491421277908065e-06,USD,USD,1.0,1.0,0.01042,0.0,0.0,0.0,94.58,75.45,99.24,91.874855,2.9443802,25.3545394,-4.6956872,1.6082388,17.3022723,0.27200403666376866,5.5934966,5.8968856,0.578231,0.4362858,0.7206682,0.9745587,3.8163188,4.1595835,5.9068856,0.4462858,0.9845587,4.1695835,5.0382345,0.03301783923314441,5604528666.666667,6244998066.666667,6244998066.666667,0.3315378,0.32768426580258814,1978710666.6666667,2434980600.0,2434980600.0,998594133.3333334,1058390200.0,1058390200.0,5.9970466,0.6444324477995506,None
BIDU,"Baidu, Inc.",Communication Services,China,1215532106.7697604,-1.3257265371777534,16237106608.373331,2685638616.053333,20011644510.08,17359205170.399998,7408821187.2,40012010305.6,7408821187.2,40012010305.6,17359205170.399998,16237106608.373331,2685638616.053333,17359205170.399998,7408821187.2,7408821187.2,17359205170.399998,-0.064,3.283213,0.0006611236964142961,7.6368966,14.374233,8.4790637,0.5058801,0.0001637750921793168,8.4790637,0.0010369112577788939,-0.199,7.6927175,7.6927175e-05,-127377424944.7236,31647000000.0,31074733333.33333,31647000000.0,0.42679,0.4415039,2.5,1.5141393,2.5,1.0623364,0.03990439440547164,0.65235,0.00256,0.002856568992836261,11.41,21.476,167.06,0.1285526,0.2401476,0.00024014759999999998,347503008,47995998208,138.1167849,41000,56993968128,56993968128,1170634.1026341,624.683,0.0362074,5.4792047,0.0362074,5.4792047,0.0362074,469.8820512,217.0176293,1.0,0.0362074,2.1528248,0.04121239117818115,58.31,58.31,0.00016326799999998043,4234078751.68,3164819632.0,13.4607719,18.0085991,18.0085991,4.372534462199422e-06,0.7905221,0.6839559,0.6839559,0.8280163,9.396622327601286e-06,CNY,USD,0.1540808,1.0,0.0,0.0,0.0,0.0,167.06,115.59,354.82,223.21863,-25.1585766,44.5280734,-52.916972,0.4302972,0.4312972,0.006780298990080093,2.3489618,2.5457127,0.2132957,0.9558393,1.9564696,2.8489407,2.6858576,2.7855553,2.5557127,0.9658393,2.8589407,2.7955553,2.675634,0.017534644975087027,48420281738.02666,54437445139.62666,54437445139.62666,0.2360979,0.23335368401139442,107865200000.0,118158533333.33331,118158533333.33331,20604793957.76,21367514461.866665,21367514461.866665,1e-05,1.07458302525038e-06,None
TPL,Texas Pacific Land Corporation,Energy,United States,5849455058585.753,-1.279495433726448,342111666.6666667,213333800.0,129130500.0,289822000.0,168700000.0,516522000.0,168700000.0,516522000.0,289822000.0,342111666.6666667,213333800.0,289822000.0,168700000.0,168700000.0,289822000.0,38.866,38.866,0.007826246297403803,65.7569,34.193584,61.8114855,39.943333,0.01293137058370975,61.8114855,0.0075589743682414915,50.33,50.3298885,0.000503298885,223806008.4045301,223807000.0,277427933.3333333,223807000.0,0.58208,1.5034089,2.5,1.4838322,2.5,1.3761972,0.05169390397289007,0.5605,0.02215,0.024716016871610614,43.65,22.698,1462.99,0.0155148,23.859804,0.023859804000000002,7756160,168700000,21.7504538,102,11264106496,11576457216,1653921.5686275,-0.128,0.0973647,0.0579729,0.0973647,0.0579729,0.0973647,-0.0815068,0.2418493,0.001114422366422929,0.0973647,3.3703314,0.0645196097968153,-758.36009,131.8634793,0.00036921774203995566,234145466.6666667,190785000.0,48.1073012,59.0408391,59.0408391,1.4335268513025041e-05,0.1713107,0.1835669,0.1835669,0.4294471,4.8735178382160134e-06,USD,USD,1.0,1.0,2.75,2.75,10.0,16.0,1462.99,427.69,1773.95,1392.799,5.0395642,242.0678529,-17.5292427,1.5380387,13.2374278,0.20810178768514645,6.8574514,6.4768667,2.8269288,0.2240253,1.5207549,1.7797697,16.0584413,14.1915409,6.4868667,0.2340253,1.7897697,14.2015409,10.3442038,0.06779026622585381,510397933.3333333,596861200.0,596861200.0,0.3826453,0.37819773248574096,286229600.0,330009400.0,330009400.0,75431266.6666667,92620600.0,92620600.0,8.8651446,0.952633390355007,None
ERIE,Erie Indemnity Company,Financial Services,United States,399490.6051597,-1.25506840678339,2443820133.333333,292477533.3333333,2350860733.333333,2549929000.0,307544000.0,9712699000.0,307544000.0,9712699000.0,2549929000.0,2443820133.333333,292477533.3333333,2549929000.0,307544000.0,307544000.0,2549929000.0,3.951,3.951,0.0007955925261421918,31.433186,30.01461,31.255864,3.7914312,0.0012274489434779855,62.511728,0.007644607565150395,28.766,28.636283,0.00028636283,353422562.6781617,356610000.0,370175266.6666667,356610000.0,0.12061,0.6648888,5.625,0.2906565,2.5,0.4902112,0.018413735109499722,0.37238,0.45544,0.508201477381776,6.16,5.882,185.38,0.0317294,8.002164,0.008002164,46189100,307544000,6.6583675,5849,10074863616,9667879936,52580.6120704,0.24,0.0833598,0.0520853,0.0833598,0.0520853,0.0833598,0.1930213,4.6434193,0.021396507348170536,0.0833598,3.1372089,0.060056851999508463,4.01,4.01,1.1227999999998651e-05,328210933.3333333,356000000.0,30.6963071,28.3001787,28.3001787,6.871356620524249e-06,0.7979103,0.7489829,0.7489829,0.866438,9.832645391500388e-06,USD,USD,1.0,1.0,1.035,1.035,1.035,2.0,185.38,180.95,266.77,217.56616,-14.7937345,2.4481901,-30.5094276,0.1032393,0.1042393,0.0016387159956444321,2.256278,2.3360831,0.0,0.0,0.3834083,0.4685488,1.4164424,1.2377997,2.3460831,0.01,0.4785488,1.2477997,1.7969414,0.011776173232226772,2014963266.6666667,2110854466.6666667,2110854466.6666667,0.2456964,0.2428406186092175,239170000.0,140363933.3333333,140363933.3333333,892157666.6666666,903799200.0,903799200.0,3.8340999,0.4120058669654179,None
