"Maximal price_to_earnings_limit: 10000000000.0, Maximal enterprise_value_to_revenue_limit: 10000000000.0, Minimal profit_margin_limit: 0.0001"
Symbol,Name,Sector,Country,sss_value,annualized_revenue,annualized_revenue_bonus,annualized_earnings,annualized_retained_earnings,annualized_retained_earnings_bonus,quarterized_revenue,quarterized_revenue_bonus,quarterized_earnings,quarterized_earnings_bonus,quarterized_retained_earnings,quarterized_retained_earnings_bonus,effective_earnings,effective_retained_earnings,effective_revenue,annualized_total_revenue,annualized_total_revenue_bonus,annualized_net_income,quarterized_total_revenue,quarterized_total_revenue_bonus,quarterized_net_income,quarterized_net_income_bonus,effective_net_income,effective_total_revenue,enterprise_value_to_revenue,evr_effective,trailing_price_to_earnings,forward_price_to_earnings,effective_price_to_earnings,trailing_12months_price_to_sales,pe_effective,enterprise_value_to_ebitda,effective_ev_to_ebitda,ebitda,quarterized_ebitd,annualized_ebitd,ebitd,profit_margin,annualized_profit_margin,annualized_profit_margin_boost,quarterized_profit_margin,quarterized_profit_margin_boost,effective_profit_margin,held_percent_institutions,held_percent_insiders,forward_eps,trailing_eps,previous_close,trailing_eps_percentage,price_to_book,shares_outstanding,net_income_to_common_shareholders,nitcsh_to_shares_outstanding,employees,enterprise_value,market_cap,nitcsh_to_num_employees,eqg,rqg,eqg_yoy,rqg_yoy,niqg_yoy,trqg_yoy,eqg_effective,eqg_factor_effective,rqg_effective,rqg_factor_effective,price_to_earnings_to_growth_ratio,effective_peg_ratio,annualized_cash_flow_from_operating_activities,annualized_cash_flow_from_operating_activities_bonus,quarterized_cash_flow_from_operating_activities,quarterized_cash_flow_from_operating_activities_bonus,annualized_ev_to_cfo_ratio,quarterized_ev_to_cfo_ratio,ev_to_cfo_ratio_effective,annualized_debt_to_equity,annualized_debt_to_equity_bonus,quarterized_debt_to_equity,quarterized_debt_to_equity_bonus,debt_to_equity_effective,debt_to_equity_effective_used,financial_currency,summary_currency,financial_currency_conversion_rate_mult_to_usd,summary_currency_conversion_rate_mult_to_usd,last_dividend_0,last_dividend_1,last_dividend_2,last_dividend_3,fifty_two_week_change,fifty_two_week_low,fifty_two_week_high,two_hundred_day_average,previous_close_percentage_from_200d_ma,previous_close_percentage_from_52w_low,previous_close_percentage_from_52w_high,dist_from_low_factor,eff_dist_from_low_factor,annualized_total_ratio,annualized_total_ratio_bonus,quarterized_total_ratio,quarterized_total_ratio_bonus,annualized_other_current_ratio,annualized_other_current_ratio_bonus,quarterized_other_current_ratio,quarterized_other_current_ratio_bonus,annualized_other_ratio,annualized_other_ratio_bonus,quarterized_other_ratio,quarterized_other_ratio_bonus,annualized_total_current_ratio,annualized_total_current_ratio_bonus,quarterized_total_current_ratio,quarterized_total_current_ratio_bonus,total_ratio_effective,other_current_ratio_effective,other_ratio_effective,total_current_ratio_effective,effective_current_ratio,annualized_total_assets,annualized_total_assets_bonus,quarterized_total_assets,quarterized_total_assets_bonus,effective_total_assets,annualized_total_stockholder_equity,annualized_total_stockholder_equity_bonus,quarterized_total_stockholder_equity,quarterized_total_stockholder_equity_bonus,effective_total_stockholder_equity,calculated_roa,calculated_roe,annualized_working_capital,quarterized_working_capital,effective_working_capital,annualized_total_liabilities,annualized_total_liabilities_bonus,quarterized_total_liabilities,quarterized_total_liabilities_bonus,effective_total_liabilities,altman_z_score_factor,skip_reason
TLV:DUNI,DUNIEC BROS,Real Estate,Israel,0.0035208,71149804.6376933,1.0,14030031.6629467,186099113.3231333,2.0,409475940.5049,3.0,67213447.7978,2.0,602826317.8596001,1.5,67213447.7978,602826317.8596001,409475940.5049,71149804.6376933,1.0,14030031.6629467,409475940.5049,3.0,67213447.7978,2.0,67213447.7978,409475940.5049,0.4453325,0.4453325,8.7362134,8.7362134,8.7362134,0.0050242,8.7362134,1.3439391,1.3443551,147949603.6363636,147858000.0,63957933.3333333,147858000.0,0.24622,0.9237679,4.75,21.5967464,89.285625,7.5899114,0.03857,0.42147,0,21.76,18960,0.0011477,2.2212096,3866740,110027000,28.454719,42,198958363,224517133,2619690.4761905,13.407,7.882,-0.1656159,-0.1337305,-0.1656159,-0.1337305,10.013846,31.8946615,5.8780674,24.494726,0.8724134,0.8724134,4084312.3149733,0.5,65936705.6718,0.75,48.7128184,3.0174144,3.0174144,3.3172354,2.0,2.5256033,2.0,2.5256033,1.5902147,ILS,ILS,0.3054407,0.3054407,0,0,0,0,18960,56.14,19030,95.6,19732.6359833,33672.7110794,-0.3678403,1.9926214,62.5963164,1.6274212,1.0,1.8284566,1.0,0.6572112,1.0,0.2489389,0.5,8.1993441,1.0,14.3724265,2.0,1.2943549,1.0,2.8318898,2.0,1.8384566,0.2589389,14.3824265,2.8418898,2.3401732,218571919.1673533,1.0,214956519.41502,1.0,214956519.41502,167620765.4816667,2.0,143555937.78127,1.5,143555937.78127,0.4126839,0.5682039,123864066.6666667,143626866.6666667,143626866.6666667,134761536.42652,1.0,119252560.8941733,1.0,119252560.8941733,3.1676229,None
TLV:WILC,G. WILLI-FOOD,Consumer Defensive,Israel,2.194909,1654338133.3333333,0.0,46578200.0,757730266.6666666,2.0,451895000.0,0.0,72880000.0,0.0,2556661500.0,1.5,72880000.0,2556661500.0,451895000.0,1654338133.3333333,4.0,46578200.0,451895000.0,1.0,72880000.0,1.0,72880000.0,451895000.0,0.3940185,0.3940185,3.9837791,3.9837791,3.9837791,0.3941601,3.9837791,3.2651611,3.2371208,55504683.4424696,56458000.0,54496000.0,56458000.0,0.16128,0.1154936,0.0,0.1542331,1.0,0.1446689,0.1093,0.71197,0,5.196,6756,0.0007691,0.4734935,100000000,72882000,0.72882,181,178119000,178119000,402662.9834254,0.09,0.098,0.3111844,0.1449376,0.3111844,0.1449376,0.1452961,4.0617726,0.1097344,3.5626183,27.418348,27.418348,19146566.6666667,0.5,55591000.0,1.0,9.3029212,3.2040978,3.2040978,0.1525437,2.0,0.1518831,2.0,0.1518831,0.3907218,USD,ILS,1.0,0.3054407,0,0,0,0,6756,6749,6805,6756,0.0,0.1037191,-0.7200588,0.25,0.251,29.0546911,2.0,28.4427182,2.0,1.9578256,2.0,1.4964895,1.0,1.3621106,1.0,0.6431204,1.0,28.8579107,2.0,30.7980144,2.0,28.4527182,1.5064895,0.6531204,30.8080144,29.6303663,1141076266.6666667,2.0,984545000.0,1.5,984545000.0,1059827600.0,2.0,915102800.0,1.5,915102800.0,0.174024,0.1796413,485277000.0,558363400.0,558363400.0,40624333.3333333,1.0,46294800.0,1.0,46294800.0,2.6962183,None
TLV:ILX,ILEX MEDICAL,Healthcare,Israel,5.6447007,3163568000.0,0.0,89157400.0,538812133.3333334,2.0,1059234000.0,0.0,145703000.0,0.0,1208118000.0,1.0,145703000.0,1208118000.0,1059234000.0,3163568000.0,4.0,89157400.0,1059234000.0,1.0,145703000.0,1.0,145703000.0,1059234000.0,0.3060516,0.3060516,8.9945483,8.9945483,8.9945483,0.0034377,8.9945483,1.5278144,1.5083412,217662456.417433,223211000.0,147127533.3333333,223211000.0,0.13755,0.1183231,0.0,0.1344814,1.0,0.1311182,0.12716,0.61936,0,13.208,11820,0.0011174,3.1656363,10035000,145703008,14.5194826,240,324070686,364133559,607095.8666667,1.744,0.658,0.6897633,0.3095209,0.6897633,0.3095209,1.4804408,12.4173367,0.5708802,7.8056617,6.0755878,6.0755878,132796266.6666667,1.0,208369000.0,1.0,2.4403599,1.555273,1.555273,0.4856386,0.5,0.4361218,0.5,0.4361218,0.6613952,USD,ILS,1.0,0.3054407,0,0,0,0,11820,61.28,11950,99.88,11734.2010412,19188.5117493,-1.0878661,1.9781305,59.9141877,6.8481695,3.0,2.1575857,1.0,0.1770786,1.0,0.1026004,1.0,2.5352827,1.0,2.2443052,1.0,2.0259397,1.0,1.8809498,1.0,2.1675857,0.1126004,2.2543052,1.8909498,2.0292677,1348406533.3333333,2.0,1186639700.0,1.5,1186639700.0,664193333.3333334,2.0,422876066.6666667,1.0,422876066.6666667,0.2227862,0.4445525,239615333.3333333,268231466.6666667,268231466.6666667,589029466.6666666,2.0,552325600.0,1.5,552325600.0,1.8947559,None
TLV:GLRS,GLOBRANDS GROUP,Consumer Defensive,Israel,22.5751638,495437466.6666667,0.0,69362333.3333333,40491200.0,1.0,537167000.0,0.0,76178000.0,0.0,208616000.0,1.0,76178000.0,208616000.0,537167000.0,495437466.6666667,1.0,69362333.3333333,537167000.0,1.0,76178000.0,1.0,76178000.0,537167000.0,0.3824118,0.3824118,7.137951,7.137951,7.137951,0.0029884,7.137951,1.8952595,1.8725193,111064784.6897663,113730000.0,103019600.0,113730000.0,0.14181,0.1388383,0.0,0.1413935,1.0,0.1416806,0.04992,0.69952,0,62.609,44690,0.001401,7.774743,1176000,76178000,64.7772109,199,205445318,160525703,382804.0201005,0.271,0.141,0.0502436,0.0667107,0.0502436,0.0667107,0.2158109,4.8955451,0.1224277,3.7489666,33.0750263,33.0750263,34750266.6666667,0.5,30611000.0,0.5,5.9120501,6.7114867,6.7114867,4.1109098,1.0,1.7370025,0.5,1.7370025,1.3189539,USD,ILS,1.0,0.3054407,0,0,0,0,44690,44600,44860,44690,0.0,0.2017937,-0.3789568,0.6923077,0.6933077,1.2449222,1.0,0.6492813,0.5,1.4256588,1.0,0.8981938,1.0,2.3017417,1.0,10.5718992,4.0,1.1413942,1.0,0.6010724,0.5,0.6592813,0.9081938,10.5818992,0.6110724,0.6351769,254928933.3333333,1.0,296593800.0,1.0,296593800.0,49821866.6666667,1.0,67779666.6666667,1.0,67779666.6666667,0.3568429,1.2239064,26207000.0,41033400.0,41033400.0,205107066.6666667,1.0,343221200.0,1.5,343221200.0,2.1161819,None
TLV:DEDR.L,DELEK DRILLING,Energy,Israel,11205.7960379,580662400.0,1.0,345773866.6666667,1555296800.0,2.0,810924000.0,1.0,482493000.0,1.0,3935751000.0,1.0,482493000.0,3935751000.0,810924000.0,580662400.0,1.0,345773866.6666667,810924000.0,1.0,482493000.0,1.0,482493000.0,810924000.0,3.2440857,3.2440857,18.231454,18.231454,18.231454,0.0239411,18.231454,3.8088455,3.9167336,741663217.7225341,699647000.0,497818933.3333333,699647000.0,0.52439,0.6353629,1.1875,1.7433087,2.75,0.9686872,0.00019,0.55197,0,0.337,615,0.000548,6.4267786,1173810048,507353984,0.4322284,16,2984913913,2202804470,31709624.0,2.464,0.943,0.2119784,0.6213446,0.2119784,0.6213446,1.9009946,14.0376561,0.8625861,9.5375516,9.5904817,9.5904817,299402400.0,1.0,442919000.0,1.0,9.9695724,6.7391869,6.7391869,3.8443321,1.0,1.5406358,0.5,1.5406358,1.2422235,USD,ILS,1.0,0.3054407,0,0,0,0,615,2.52,615,3.363,18187.2435326,24304.7619048,0.0,2.0,64.0,2.5263087,2.0,2.6555487,2.0,0.2656462,1.0,1.0625846,0.125,5.6698747,2.0,22.5853687,4.0,0.9027501,1.0,1.2080225,1.0,2.6655487,1.0725846,22.5953687,1.2180225,1.9417856,8705072133.333334,2.0,4735453666.666667,1.0,4735453666.666667,904284933.3333334,1.0,1168032866.6666667,1.0,1168032866.6666667,0.2018895,0.5130817,-163043200.0,189472066.6666667,189472066.6666667,3448251133.3333335,1.0,3567420800.0,1.0,3567420800.0,1.1350817,None
TLV:LUZN,AMOS LUZON DEVELOP,Industrials,Israel,28864.3450308,301611206.67968,1.0,7554973.9009333,-671892976.1978667,0.25,343007768.0151,1.0,6224576.0253,0.5,-1697057851.5072,0.375,6224576.0253,-1697057851.5072,343007768.0151,301611206.67968,1.0,7554973.9009333,343007768.0151,1.0,6224576.0253,0.5,6224576.0253,343007768.0151,0.2855871,0.2855871,17.541177,17.541177,17.541177,0.1469506,17.541177,2.9658292,2.9188153,111654148.5066941,115194000.0,105932066.6666667,115194000.0,0.03629,0.003552,0.1,0.0209806,0.6875,0.0212742,0.05006,0.72362,0,0.085,150,0.0005667,1.8849557,362363008,40758000,0.1124784,10000000,320648538,16502449366,4.0758,0.5202077,0.39,0.5202077,0.1621028,0.5202077,0.1621028,0.5202077,7.4625428,0.3330257,6.0208378,33.7195623,33.7195623,8936339.64804,0.5,36547812.3992,0.6666667,35.881418,8.7733989,8.7733989,6.6957773,1.0,4.456228,1.0,4.456228,2.111978,ILS,ILS,0.3054407,0.3054407,0,0,0,0,150,75,196.4,145.8065,2.8760721,100.0,-23.6252546,1.2355848,3.5582416,0.6433105,0.5,2.7726701,2.0,0.2125503,1.0,0.2081365,1.0,10.7872235,1.0,9.715969,1.0,1.690379,1.0,7.6517768,4.0,2.7826701,0.2181365,9.725969,7.6617768,5.2222234,253587946.4560533,0.5,494970095.6485533,1.0,494970095.6485533,59918424.29528,1.0,122261192.5146,1.5,122261192.5146,0.1125757,0.1509121,540318466.6666666,614093533.3333334,614093533.3333334,394682388.5428067,1.0,357258450.0397267,1.0,357258450.0397267,5.0834328,None
TLV:VRDS,VERIDIS ENVIRONMEN,Industrials,Israel,47067.7969923,3412422285.714286,0.0,177062428.5714286,340447333.3333333,2.0,2689386000.0,0.0,49581000.0,0.0,534934500.0,1.5,49581000.0,534934500.0,2689386000.0,3412422285.714286,4.0,177062428.5714286,2689386000.0,3.0,49581000.0,0.5,49581000.0,2689386000.0,1.5339232,1.5339232,16.211051,16.211051,16.211051,1.3513285,16.211051,7.44023,7.5634498,186573806.2728355,180394000.0,159595000.0,180394000.0,0.24479,0.2416919,0.0,0.0900934,1.0,0.1931918,0.26005,0.66349,0,2.407,3901,0.000617,7.5840625,106000000,228848000,2.1589434,824,1434131212,126333943578,277728.1553398,-0.449,0.121,7.1755368,0.0694095,7.1755368,0.0694095,1.4571342,12.3211814,0.1081024,3.5378927,11.1252972,11.1252972,529590000.0,2.0,306119000.0,1.0,2.7080028,4.6848814,4.6848814,0.8864767,0.5,3.0325212,2.0,3.0325212,1.7424136,USD,ILS,1.0,0.3054407,0,0,0,0,3901,3574,4108,3868.463,0.8410834,9.1494124,-5.0389484,1.2247191,3.3745739,4.7254946,3.0,13.4261865,8.0,0.0035901,0.0833333,0.0008975,1.0,0.2069198,0.3333333,0.2153558,0.5,12.0729552,12.0,9.5184514,8.0,13.4361865,0.0108975,0.2253558,9.5284514,11.482319,2976057333.3333335,2.0,2504126500.0,1.5,2504126500.0,1088028666.6666667,2.0,957944357.1428572,1.5,957944357.1428572,0.1197997,0.1517577,1377666.6666667,76354333.3333333,76354333.3333333,1888028666.6666667,2.0,664248666.6666666,0.6666667,664248666.6666666,10.7596447,None
TLV:MRHL,MERCHAVIA HOLD,Healthcare,Israel,47995.1828404,6673400.0,0.0,2891266.6666667,-14226800.0,0.5,9000000.0,0.0,3647000.0,0.0,-63624000.0,0.25,3647000.0,-63624000.0,9000000.0,6673400.0,1.0,2891266.6666667,9000000.0,1.0,3647000.0,1.0,3647000.0,9000000.0,1.5818774,1.5818774,15.348837,15.348837,15.348837,1.5237178,15.348837,2.7535479,2.7535826,5170130.338325,5170000.0,4006133.3333333,5170000.0,0.40522,0.4320473,0.0,0.4147172,1.0,0.4183282,0.06772,0.6603701,0,0.043,67,0.0006418,1.3121272,68026200,3647000,0.0536117,1,14236560,1371345975,3647000.0,0.742,0.745,1.1457228,0.3238612,1.1457228,0.3238612,0.8429307,9.4311257,0.6397153,8.2482204,18.2088955,18.2088955,-4429600.0,0.5,-5488000.0,0.5,31114.2568833,259412.5452429,259412.5452429,0.0661812,2.0,0.0239653,1.0,0.0239653,0.1558071,USD,ILS,1.0,0.3054407,0,0,0,0,67,59,113.9,75.0705,-10.7505611,13.559322,-41.1764706,0.291439,0.292439,63.4660464,2.0,43.8026172,1.0,1.1015682,1.0,0.2043256,1.0,14.0516388,1.0,16.5988889,1.0,9.1779586,1.0,7.3665235,1.0,43.8126172,0.2143256,16.6088889,7.3765235,25.5945704,66651466.6666667,2.0,40192400.0,1.0,40192400.0,64544533.3333333,2.0,39256000.0,1.0,39256000.0,0.1907385,0.192903,7714200.0,5715200.0,5715200.0,1053466.6666667,1.0,936400.0,1.0,936400.0,29.6191711,None
TLV:SEMG,SEACH MEDICAL,Industrials,Israel,85210.1032163,122440533.3333333,0.0,1633800.0,1612216.6666667,0.25,40134000.0,0.0,13493000.0,0.0,39048000.0,1.5,13493000.0,39048000.0,40134000.0,122440533.3333333,4.0,1633800.0,40134000.0,1.0,13493000.0,1.0,13493000.0,40134000.0,0.7733759,0.7733759,10.323528,10.323528,10.323528,0.8978804,10.323528,8.2523968,7.1705844,5097524.0950477,6434000.0,6451800.0,6434000.0,0.3362,0.1207598,0.0,0.3200997,1.0,0.2600198,0.04439,0.64291,0,0.034,34.9,0.0009742,1.404,336121984,13493000,0.0401432,73,31037662,3603552979,184835.6164384,0.848,0.435,0.5300739,0.3888743,0.5300739,0.3888743,0.7685185,9.0165186,0.4234686,6.7574463,13.4330251,13.4330251,-4469333.3333333,0.5,-17748000.0,0.5,14399.7099675,174879.7733333,174879.7733333,0.3089266,1.0,0.1823148,1.0,0.1823148,0.4279833,USD,ILS,1.0,0.3054407,0,0,0,0,34.9,32.7,77.5,52.9095,-34.0383107,6.7278287,-54.9677419,0.0982143,0.0992143,5.0961647,1.0,13.1417001,2.0,1.6873501,1.0,0.7412929,1.0,0.0,1.0,0.0,1.0,9.9519185,2.0,13.1996317,2.0,13.1517001,0.7512929,0.01,13.2096317,13.1806659,74344600.0,1.0,94901600.0,1.0,94901600.0,59314400.0,1.0,120497300.0,1.5,120497300.0,0.2421788,0.2119776,40284133.3333333,55471133.3333333,55471133.3333333,15030200.0,1.0,14570066.6666667,1.0,14570066.6666667,12.2585919,None
TLV:SPRG,SPRING VENTURES,Financial Services,Israel,88733.3456887,4254727.86286,1.0,1379533.1029067,312593.1030583,0.25,26836019.902,1.0,18568961.9158,1.0,44210097.7994,1.0,18568961.9158,44210097.7994,26836019.902,4254727.86286,1.0,1379533.1029067,26836019.902,1.0,18568961.9158,1.0,18568961.9158,26836019.902,0.6817436,0.6817436,28.31683,28.31683,28.31683,0.8371584,28.31683,0.7373338,0.7363735,81460801.5741508,81673000.0,9508200.0,81673000.0,0.69194,0.0296302,0.1,1.8463926,2.75,0.8569876,0.01,0.77936,0,1.01,2843,0.0003553,3.258888,8419880,60794000,7.2202929,5,59907345,7355273845,12158800.0,14.774,8.832,1.2863332,1.1409514,1.2863332,1.1409514,11.4020833,34.016971,6.9092379,26.5354291,2.4834786,2.4834786,-2091617.1881733,0.5,-2607852.6966,0.5,3491.4202523,2297190.5364254,2297190.5364254,0.0831781,1.0,0.1833385,1.0,0.1833385,0.4291805,ILS,ILS,0.3054407,0.3054407,0,0,0,0,2843,728.8,2995,1483.653,91.6216258,290.0933041,-5.0751252,1.8658547,42.1955812,16.5607022,1.0,6.8347758,1.0,5.1624876,2.0,3.4666667,1.0,3.4611032,0.3333333,8.2125533,1.0,12.0292093,0.5,11.2312893,1.0,6.8447758,3.4766667,8.2225533,11.2412893,9.0430326,23103453.0971467,1.0,43111671.95406,1.0,43111671.95406,21291863.9427333,1.0,36209200.83918,1.0,36209200.83918,0.5307177,0.6128244,36352800.0,32053800.0,32053800.0,1811589.1544133,1.0,6902471.11488,1.0,6902471.11488,25.4665635,None
